"Enseigne","Nombre d'établissement"
"POKEGO",1
"POKE FUN",1
"POKE FRESH",1
"POKE FIVE",1
"POKE ET SUSHI",1
"POKE DELI",1
"POKE &CO",1
"POKE BURGER",1
"POKE BOWL SANDWICH",1
"POKE BENTO",1
"POKEBEL",1
"POKE BART",1
"POKÉ BAR",1
"POKAINA",1
"POJO",1
"POINT TABAC",1
"POINT D'ISTANBUL",1
"POINT COURSE",1
"POINT CHAUD",1
"POINT BAR",1
"POINT B",1
"POINT 36",1
"POINCON",1
"POILANE COMPTOIR",1
"POGGI",1
"POGET & WITTE",1
"POCO LOCO",1
"POCK AND ROLL",1
"POBU",1
"PO",1
"PNY MARAIS",1
"PM THAI",1
"PLUME",1
"PLOC",1
"PLIAGE",1
"PLEIN SOLEIL",1
"PLEIN OUEST",1
"PLEINE TERRE",1
"PLAY OFF",1
"PLAT ROYAL",1
"PLANTE DE JADE",1
"PLANET ISTAMBUL",1
"PLANETE AFRIKA",1
"PLANER GRIL",1
"PLAN D",1
"PLAISIR HUIT",1
"PLADINE",1
"PLACE VERTE",1
"PLACE DU LIBAN",1
"PIZZ’ARIA",1
"PIZZY",1
"PIZZICO",1
"PIZZERIA VILLA POSITANO",1
"PIZZERIA ST LAZARE",1
"PIZZERIA ROUDANA",1
"PIZZERIA REBELATTO",1
"PIZZERIA POSITANO",1
"PIZZERIA POPOLARE",1
"PIZZERIA NAPOLETANA",1
"PIZZERIA DI ROMA",1
"PIZZERIA DA VITO",1
"PIZZERIA CORDIAL",1
"PIZZERIA CASIMODO",1
"PIZZERIA BARI",1
"PIZZERIA",1
"PIZZE",1
"PIZZA WAWA",1
"PIZZA VOLTAIRE",1
"PIZZA VESUVIO",1
"PIZZA VERONA",1
"PIZZA VERDI",1
"PIZZA VENEZIA",1
"PIZZA VALENTINO",1
"PIZZA UNICA",1
"PIZZA TRIONFO",1
"PIZZA TIME",1
"PIZZA TAC 8",1
"PIZZAS ARTISANALES",1
"PIZZA SARNO",1
"PIZZA SANT'ANTONIO",1
"PIZZA SAN MARCO",1
"PIZZA SANDRO",1
"PIZZA SAINT'ANTONIO",1
"PIZZA RUSTICA",1
"PIZZA ROYALE",1
"PIZZA ROSSI",1
"PIZZA PRONTO",1
"PIZZA POLLINO",1
"PIZZA POGGIA",1
"PIZZA PINO",1
"PIZZA PERNETY",1
"PIZZA PATACCA",1
"PIZZA PASTA",1
"PIZZA PART",1
"PIZZA PARISIENNE",1
"PIZZA ONE",1
"PIZZA ODESSA",1
"PIZZA NINO",1
"PIZZA NELLIE",1
"PIZZA NELLA",1
"PIZZA & MOZZA",1
"PIZZAMORE",1
"PIZZA MOMO",1
"PIZZA MARINARA",1
"PIZZA MARIA",1
"PIZZA MANCINI",1
"PIZZA MAMA",1
"PIZZA LA GOURMANDISE",1
"PIZZA KING",1
"PIZZA JUMIN",1
"PIZZA JULA",1
"PIZZA ITALIENNE",1
"PIZZA ITALIAN",1
"PIZZAIOLO",1
"PIZZA IL FORNO",1
"PIZZA HUIT",1
"PIZZA HOUSE",1
"PIZZA GRENELLA",1
"PIZZA GREMS",1
"PIZZA GIRL",1
"PIZZA GIOVANNI",1
"PIZZA GIGI",1
"PIZZA FLORENZA",1
"PIZZA FLORA",1
"PIZZA FLAVOR",1
"PIZZA FIRENZE",1
"PIZZA FACTORY",1
"PIZZA EXELMANS",1
"PIZZA EVA",1
"PIZZA ET EPICERIE ITALIENNE",1
"PIZZA ENZA FAMIGLIA",1
"PIZZA EN VILLE",1
"PIZZA E MOZZA",1
"PIZZA E FICHI",1
"PIZZA DI PELLEPORT",1
"PIZZA DI GIO",1
"PIZZA DI FAOUSTO",1
"PIZZA DE VENISE",1
"PIZZA DE OUT",1
"PIZZA DEL PARCO",1
"PIZZA DEL MONDO",1
"PIZZA DEL MAESTRO",1
"PIZZA DELLA ROCCIA",1
"PIZZA DELIZIA",1
"PIZZA DELICIA",1
"PIZZA DEL ARTE",1
"PIZZA DELAMBRE",1
"PIZZA CREPES",1
"PIZZA COSY",1
"PIZZA COSTA",1
"PIZZA CORDIAL",1
"PIZZA CLIP",1
"PIZZA CINQ",1
"PIZZA CHIC",1
"PIZZA CHEZ GINNO",1
"PIZZA CHADOK",1
"PIZZA CASA FESTA",1
"PIZZA CARAVELLE",1
"PIZZA CARATELLO",1
"PIZZA BURG",1
"PIZZA BELLA VITA",1
"PIZZA ARNAUD",1
"PIZZA ARLECCHINO",1
"PIZZA APERITIVO",1
"PIZZA AMALFI",1
"PIZZA ABRADAVIO",1
"PIZZA 67",1
"PIZZA 5 DIAMANTS",1
"PIZZA 404",1
"PIZZA 18",1
"PIZZA 140",1
"PIZZA 14",1
"PIZZA 13",1
"PIXEXEXPRESS",1
"PIUPIUPIU",1
"PIU PIU",1
"PITZMAN",1
"PITA PIT",1
"PITANGA",1
"PITA KEBAB ¨BAOBAB",1
"PITA KEBAB",1
"PISTACHE",1
"PISCOBAR",1
"PIROUETTE",1
"PIROSMANI",1
"PIROJKI BAR",1
"PIQUETEADERO",1
"PIQUE-POULE",1
"PIOUPIOU",1
"PIOU PIOU",1
"PIOU",1
"PINZUTI",1
"PIN-UP",1
"PINOT GRIGIO",1
"PINK PARADISE",1
"PINK FIZZ",1
"PING WOO",1
"PINGUS",1
"PING-PONG BAR",1
"PIMP MY POKE",1
"PIMP MY CREPE",1
"PIMPANICAILLE",1
"PIMENT CAFE",1
"PILOS",1
"PILI PILI",1
"PILGRIM",1
"PILE OU FACE",1
"PIKNIK",1
"PIKE POKE",1
"PIIA",1
"PIGNON",1
"PIGALLE FROMAGE CLUB",1
"PIGALLE COUNTRY CLUB",1
"PIETRO PASTA",1
"PIERROT",1
"PIERRE HERME LE CAFE",1
"PIERO",1
"PIDE PARIS",1
"PIDE",1
"PIC PAUSE",1
"PICOTTE",1
"PIC/NIC",1
"PICK AND CO",1
"PICHETTO",1
"PICCOLINO",1
"PICCOLI CUGINI",1
"PICCOLA TOSCANA",1
"PICCOLA ROMA",1
"PICCOLA ITALIA",1
"PIATTO AND FAST",1
"PIANOVINS",1
"PIANO TERRA",1
"PIANO",1
"PIADINERIA",1
"PIACERE PIZZA",1
"PIACERE",1
"PHUKETWOK",1
"PHOTO OLIVE",1
"PHO TAI",1
"PHO PASSION",1
"PHO ODESSA",1
"PHO MUI",1
"PHO MONTMARTRE",1
"PHO HOA",1
"PHO HANOI",1
"PHO GAMBETTA",1
"PHO FAIT MAISON",1
"PHOENIX",1
"PHO DUPIN",1
"PHO DAU",1
"PHO CO",1
"PHO BOM",1
"PHO BOBUN",1
"PHO BELLEVILLE",1
"PHO 7",1
"PHO 68",1
"PHO 5",1
"PHO 21",1
"PHO 20",1
"PHO 19",1
"PHO 18",1
"PHO 168",1
"PHO 156",1
"PHO 15",1
"PHO 14",1
"PHO 138",1
"PHO 121",1
"PHO 114",1
"PHO11",1
"PHO 11",1
"PHILO",1
"PHILIPPE EXCOFFIER",1
"PHENICE",1
"PHEBE",1
"PHARAMOND  L ANNEXE LE PETIT BOUILLON",1
"PHARAMOND",1
"PH7",1
"P.F.C",1
"PETRUS",1
"PETROGRAD",1
"PETIT YEEAN",1
"PETIT XI'AN",1
"PETITS RAVIOLIS",1
"PETIT SAIGON",1
"PETIT PLISSON",1
"PETIT PAYS",1
"PETIT PACHE",1
"PETIT NUAGLE",1
"PETIT MYOMY",1
"PETIT LEON",1
"PETIT INDIA",1
"PETIT GRIS",1
"PETITE FLEUR",1
"PETIT DELI",1
"PETIT CREME",1
"PETIT COMBAT",1
"PETITBON",1
"PETIT BAR DU THEATRE",1
"PETIT ALBERT",1
"PETILLANT CHAMPAGNE ET CANAPES",1
"PERTINENCE",1
"PERSIL",1
"PERSHING XVII",1
"PERSEPOLIS",1
"PERLOUSE",1
"PERLITA",1
"PER LIMPINPIN",1
"PERLE NOIRE",1
"PERLE ET LAGUNES",1
"PERLAMATTA",1
"PÈRE & FISH",1
"PERE & FILS",1
"PERE ET FILS",1
"PERCHIANA",1
"PERCEPTION",1
"PEPPERICO",1
"PEPPE MARTYRS",1
"PEPONE PIZZA",1
"PEPONE",1
"PEPE SANTANA",1
"PÉPÉ RONCHON",1
"PEPERICO",1
"PEPERE JEAN",1
"PEN-TY",1
"PENTHIEVRE",1
"PENNY KA",1
"PENDINO",1
"PENDANT LA PAUSE...C’EST VOUS LE CHEF",1
"PENATI",1
"PEMA THANG",1
"PELLICANO",1
"PELAGIE",1
"PEE AND BEE",1
"PEDZOUILLE LA BRESSECOUR",1
"PEDZOUILLE",1
"PECO-PECO",1
"PECHE",1
"PEACE & LOVE",1
"PCJ",1
"PAZZI",1
"PAYUSS",1
"PAVILLON ROYAL",1
"PAVILLON POISSONS VIVANTS",1
"PAVILLON PASSY",1
"PAVILLON MONTSOURIS",1
"PAVILLON LEDOYEN",1
"PAVILLON GRAVELLE",1
"PAVILLON ELYSEE",1
"PAVILLON DES PRINCES",1
"PAVILLON D'ERMENONVILLE",1
"PAVILLON DAUPHINE",1
"PAUSE SANDWICHS",1
"PAUSE KEBAB",1
"PAUSE GOURMANDE (KIOSQUE)",1
"PAUSE DELICES",1
"PAUSE DEJEUNER",1
"PAUSE CROISSANTS",1
"PAUSE BOBUN",1
"PAULETTE",1
"PAUL CHENE",1
"PATTY",1
"PATROL",1
"PATRICK'S LE BALLON VERT",1
"PATOCHE",1
"PATIOS DU MARAIS",1
"PATHYA",1
"PATHUMTHIP",1
"PATE DANSANTES",1
"PATATI PATATA",1
"PATAQUES",1
"PATA-PIZZA",1
"PATAKREP",1
"PASTORE",1
"PASTICIO",1
"PASTICCERIA SIMONA",1
"PASTEUR EXPRESS",1
"PASTEL’S",1
"PASTEL DE NATA",1
"PASTEL BAKERY",1
"PASTELARIA BELEM",1
"PASTEIS DE NATA",1
"PASTA’CO",1
"PASTASUTA",1
"PASTA SUBITO",1
"PASTA & PIZZA",1
"#PASTA #PIZZA",1
"PASTA PEPINO",1
"PASTA ORO",1
"PASTAMANIA",1
"PASTA LAND",1
"PASTA ET PIZZA",1
"PASTA E. FAGIOLI",1
"PASTA DEL MONNO",1
"PASTA DEL",1
"PASTA CORNER",1
"PASTA & BASTA",1
"PASTA AND CO",1
"PASTA AMORE",1
"PASSIONNE",1
"PASSION GUARANI",1
"PASSIONE",1
"PASSERINI",1
"PASSERINA",1
"PASSAK",1
"PASSAGES",1
"PASCO",1
"PARTISAN",1
"PARTIE DE CAMPAGNE",1
"PARTAGES",1
"PARTAGE CAFE",1
"PARTAGE",1
"PARM'S",1
"PARME CLICHY",1
"PARKER PIZZA",1
"PARK AVENUE XIX",1
"PARIS TEXAS",1
"PARISTAMBUL",1
"PARIS SUD",1
"PARIS POLSKA",1
"PARIS PECHE",1
"PARIS ORSAY",1
"PARIS NORD CAFE",1
"PARIS NICE",1
"PARIS MILAN",1
"PARIS LONDON",1
"PARIS ITALIE",1
"PARISII",1
"PARIS FOLLIE'S",1
"PARIS FENI",1
"PARIS FAST FOOD",1
"PARIS EUROPE",1
"PARIS DEL SOL",1
"PARIS-BREST",1
"PARIS BREIZH",1
"PARIS BOCA",1
"PARIS BERLIN",1
"PARIS BEAUBOURG",1
"PARIS BAGUETTE MONTPARNASSE",1
"PARIS AUBER",1
"PARIS 2000",1
"PARIS 13",1
"PARI'GO",1
"PARIGINI",1
"PARIGINA",1
"PARIGI CAFFE",1
"PARFUM D'ASIE",1
"PARENTHESE",1
"PARDI ! MAISON DIMANCHE",1
"PARA LLEVAR",1
"PARADIS THAI",1
"PARADISE PIZZA",1
"PARADISE",1
"PARADIS DU SUSHI",1
"PARADIS AFRIQUE",1
"PAPY YOUDA",1
"PAPYRUS",1
"PAPY CHARLY",1
"PAPY AUX FOURNEAUX",1
"PAP'S CAFE",1
"PAPOTERIE CAFE CERAMIQUE",1
"PAPOTERIE",1
"PAPO",1
"PAPITA",1
"PAPILLES",1
"PAPILLADES",1
"PAPILLA",1
"PAPA YOYO",1
"PAPAYOTE",1
"PAPA POULE",1
"PAPA OURS",1
"PAPAGAIO",1
"PAPACIONU",1
"PANTAGRUEL",1
"PANSHI",1
"PANOZZI",1
"PANINI JOURDAIN",1
"PANINI",1
"PANE ET OLIO",1
"PANDA WOK",1
"PANDA SUSHI",1
"PANDA STYLE",1
"PANDA'S BAO BAO",1
"PANDA HOUSE",1
"PANDA EXPRESS",1
"PANDA BAR",1
"PANDA",1
"PAN COOKER",1
"PANANGKAI",1
"PANAM PARIS",1
"PANAME VIP",1
"PANAME BREWING COMPANY",1
"PANACHE",1
"PAMELA POPO",1
"PALOMINO",1
"PALOMA",1
"PALISSADE",1
"PALETTE BATIGNOLLES",1
"PALERMO",1
"PALATINO",1
"PALAMIA",1
"PALAIS ROYAL HONG KONG",1
"PALAIS DU GRAND MOGHOL",1
"PALAIS D'ORLEANS",1
"PALAIS DE VAN DAN",1
"PALAIS DE MONTMARTRE",1
"PALAIS DE COURCELLES",1
"PALACE GRILL",1
"PAJOLINI",1
"PAIOMA",1
"PAIN VIN FROMAGES",1
"PAIN  VIENNOISERIE PATISSERIE",1
"PAIN VIANDE",1
"PAINS SALADES ET FANTAISIES",1
"PAINS ET DELICES",1
"PAINS DE CHARONNE",1
"PAIN D'EPICES",1
"PAIN CHAUD",1
"PAIN BAYARD",1
"PAGES",1
"PAGE 35",1
"PAGE",1
"PADAM",1
"PACO",1
"PACIFIQUE",1
"PACIFIC BOWL",1
"PACHUCO",1
"PACHAMAMA",1
"PACHA KEBAB",1
"PACHA GRILL",1
"PABLO MINI",1
"PABLO",1
"O’TACOS",1
"O’ SUSHI",1
"O’ SNACK",1
"O’PREMIUM",1
"O’PETIT COUS",1
"O’MILAWI",1
"O’MIAMS",1
"O’LAYA",1
"O’GOURMET",1
"O’FIVE",1
"O’FAM",1
"O’DELICES",1
"O’ DELICE",1
"O’COIN PIZZ",1
"O’CHODRON",1
"O’ CHICKEN GRILL",1
"O’BOTHE",1
"O’BEST",1
"O’BERLINOIS",1
"O’AHU",1
"O’  31",1
"OZUMAKI",1
"OZ THE AUSTRALIAN",1
"OZ THAI HOUSE",1
"OZONE",1
"OZO",1
"OZLEM",1
"OZIO",1
"OZGUL",1
"OYSTER CLUB",1
"O'YES",1
"OYA NOUILLES",1
"OYAMA",1
"OYA",1
"OXTE",1
"O'WOKS",1
"O'WIT",1
"O VINGT DEUX",1
"OU YOBO",1
"OUNISSI",1
"OUMMI",1
"OULALA",1
"OUI MON GENERAL",1
"OUIGHOUR",1
"OTTO PIZZA",1
"OTTO",1
"OTIS",1
"OTIAMO",1
"O.T. BUBBLE",1
"OTAKUNI",1
"OTAKU",1
"OSTERIA MARCO POLO",1
"OSTERIA FERRARA",1
"OSTERIA DEL SESTO",1
"OSTERIA DEL PASSE PARTOUT",1
"OSTERIA BRUTTO",1
"OSTERIA AMMARE",1
"OSTERIA",1
"OSSEK GARDEN",1
"O'SOLEIL DE NAPLES",1
"O'SOLEIL",1
"O'SNACK",1
"OSMOZ",1
"OS'MINHOTOS",1
"OSHA",1
"OSE AFRICAN CUISINE",1
"OSE",1
"O'SCIA",1
"O SAVEUR BAR",1
"OSAKA SUSKI",1
"OSAKA SHIYATO",1
"OSAKA BISTRO",1
"OSABA",1
"ORTENSIA",1
"ORSEL BAR",1
"ORPHEE",1
"OROYONA",1
"O'ROYAL",1
"ORONZA",1
"ORNANO EXPRESS",1
"O'RIZ BLANC",1
"ORILLON",1
"ORIGINES",1
"ORIGINAL'S MACDO",1
"ORIGINALS",1
"ORIGINAL'S",1
"ORIGINAL GREEN",1
"ORIGINAL BURGER",1
"ORIENT EXPRESS",1
"ORIENTAL BOWL",1
"O'RDV",1
"ORCHID THAI",1
"ORCHIDEE THAI",1
"ORCHIDEE",1
"ORANTA",1
"O'QUATRE",1
"O Q DE POULE",1
"OPTI PARIS",1
"OPS PIZZA",1
"O POULET GRILLE",1
"O POULET DORE",1
"O'PORTES D'ITALIE",1
"OPLATO",1
"OPERASIE",1
"OPERA MANDARIN",1
"OPERA LA FAYETTE",1
"OPERA GUIBINE",1
"OPERA FOOD",1
"OPERA CAFE",1
"O'PAYS",1
"O PARIS NOUS VOICI",1
"ONZEBAR",1
"ONZE BAR",1
"ONZE A TABLE",1
"ON THE BAB",1
"ON PARTAGE",1
"ONOUL",1
"ONOR",1
"ONO POKE",1
"ON & OFF",1
"ONOA",1
"ONO",1
"ONIWA",1
"ONII SAN",1
"ONIGI-RIZ SANKARU",1
"ONIGIRIZ",1
"ONI COFFE SHOP",1
"ONÏ",1
"ON FAIT TA CREPE",1
"ONE TEA",1
"ONE PIZZ",1
"ONE MORE SUSHI",1
"O'NEIL",1
"ONE AND ONE",1
"ONDA",1
"ONCE",1
"ON A TOUS UN GRAIN",1
"O'NAN KEBAB",1
"OM SHIVA",1
"O'MOKE",1
"OMMABAB",1
"OMILGOUT",1
"OMI",1
"O'MEXICO",1
"O MESNIL BON TEMPS",1
"OMEGA PIZZA",1
"OMAR DHIAB",1
"O MAKI",1
"OLYMPIE",1
"OLLIE COFFEE",1
"OLIVIA",1
"OLIVE & THYM - PAR MAN'OUCHE",1
"OLIVE & POPEY",1
"OLIVE CHICKEN",1
"OLIVEA",1
"OLIO E FARINA",1
"O LIEU DE…",1
"OLA'S",1
"OKY SUSHI",1
"OKYAMA",1
"OKUDA",1
"OKO SUSHI",1
"OKOMUSU",1
"O'KOME",1
"OKOLO",1
"OKIYAMA",1
"OKIRAMA",1
"OKINAWA SUSHI",1
"OKETA",1
"OKAZAKI",1
"OKAYA SUSHI",1
"OKAYAMA",1
"OKAWARI",1
"OKASUSHI",1
"OKA SUSHI",1
"O'KASLIK",1
"O'KARTIER",1
"O KAIDO",1
"OKA",1
"O'JULES",1
"O'JASON",1
"OISHII",1
"OIP",1
"OINARI",1
"OH VIN DIEU !",1
"O' HUA",1
"OH PUREE !",1
"OH! POPOTES",1
"OH MY SAJ",1
"OH MY PPOKE",1
"OH MY POKE !",1
"OH MY POKE",1
"OH MY NOODLE",1
"OH MY FRENCH BURGER",1
"OH MY BAO",1
"OH MY BA",1
"OH MON CAKE",1
"OH MA MIE",1
"OH LA LA C BON",1
"OH!HAPPY",1
"OH ! FALAFEL DU LIBAN",1
"OH CESAR",1
"OHAYO",1
"O HARAS",1
"O'HALAL FOOD",1
"OH AFRICA",1
"OH 102",1
"O GUSTO",1
"OGOURA",1
"OGOO",1
"O'GINKGO",1
"OGIMI",1
"OGGI PIZZE",1
"OGATA",1
"O' FRENCHY",1
"OFOOD",1
"O FIVE PIZZA",1
"O FIL ROUGE",1
"O FESTIN D’ITALIE",1
"OFC",1
"OENOSTERIA",1
"O'DJERBA",1
"ODETTE MA FILLE",1
"ODETTE ET AIME",1
"O'DELLYS",1
"O'DELICES DE MONTMARTRE",1
"O DELICES",1
"O'DELICES",1
"OCTOPUSSY",1
"OCTOPUS",1
"O CROC'CHAUD",1
"O CONE MIO",1
"O COFFEE",1
"O' COCHER",1
"O'CINCO",1
"O'CHURRASCO",1
"O CHATEAU",1
"OCEAN SUSHI",1
"OCCO CHICKEN",1
"OCCO CAFE",1
"OBURG’KAMPF",1
"OBU ORGANISATION DES BURGERS UNIS",1
"O.B.U ORGANISATION DES BURGERS UNIS",1
"O. BUBBLE",1
"OBTB",1
"OBRIGADO",1
"O'BOURPIF",1
"O BONG BBQ COREEN",1
"OBJECTIF LUNE",1
"O BISTROT D OR",1
"O BEST OF",1
"OBER MAMMA",1
"OBERKAFE",1
"O BERET BASQUE",1
"O'BENTO",1
"O BELLA CIAO",1
"O BARRIO",1
"O BAO BAR",1
"O BANH MI",1
"O ATLANTICO",1
"O'ASIE",1
"O ARGOSELO",1
"O 9 POKE",1
"O'54",1
"O' 5",1
"O'32",1
"O' 31",1
"NY HAV",1
"NUZA POKE",1
"NUTS DONER",1
"NUR MALAYSIA",1
"NUNO'S BAR",1
"NUN",1
"NUL BAR AILLEURS",1
"NUDE",1
"NUANCE",1
"NSNW",1
"NPC",1
"NOVETTINO",1
"NOUVELLE AMITIE",1
"NOUVELLE 16",1
"NOUVEAU CARILLON",1
"NOUVEAU BAGEL & SALADE",1
"NOUSH",1
"NOUS 4",1
"NOUILLE VIVANTE",1
"NOUILLES YAOJI",1
"NOUILLE SHOP",1
"NOUILLES FRAICHES",1
"NOUILLES FAITES MAISON",1
"NOUILLES ET GAITE",1
"NOUILLES DU BONHEUR",1
"NOUILLES DE JIANG NAN",1
"NOUILLES DANSEUSES",1
"NOUILLES CEINTUTRES",1
"NOUILLES 73",1
"NOUILLE 2",1
"NOTRE TABLE",1
"NOTRE DAME",1
"NOTRE CANTINE",1
"NOTO",1
"NOSTRA PIZZA",1
"NOSTALGIQUE FRENCH PUB",1
"NOST",1
"NOSSA CHURRASQUERIA",1
"NOSSA",1
"NOROUZ",1
"NORMA BAKERY",1
"NORMA",1
"NORIETA",1
"NORD NORD",1
"NORD MARAIS",1
"NORCIA",1
"NO PROBLEMO",1
"NO.PI NORTH PIGALLE",1
"NOO-YORK",1
"NOO WOK",1
"NOORI",1
"NOON BIEN DANS MON ASSIETTE",1
"NOOK",1
"NOOI",1
"NOODY",1
"NOODLE CORNER",1
"NOODLE",1
"NON SOLO PIZZA",1
"NON NO NINO",1
"NONNO",1
"NONNI PINEDA",1
"NONNA TRIPLETA",1
"NONNA FENZA",1
"NONNA CLELIA",1
"NONNA",1
"NONETTE",1
"NON COUPABLE",1
"NOMIKAI",1
"NOMICOS",1
"NOMAS TACOS",1
"NOMAS",1
"NOMAD'S",1
"NOMADE",1
"NOLITA'S",1
"NOLINSKI LE RESTAURANT",1
"NOLI",1
"NOE",1
"NODDI",1
"NODAIWA",1
"NO COMMENT",1
"NOBLESS LUNCH",1
"NJUTBAR",1
"NI UNE NI DEUX",1
"NISHIKURA",1
"NIRVANA INDE",1
"NIRVANA DREAM",1
"NIRVANA",1
"NINO FRESCO",1
"NINI",1
"NINA’S",1
"NINA TONIO",1
"NINA'S VENDOME",1
"NINAR",1
"N'IMPORTE QUOI",1
"NIKOU",1
"NIKKO",1
"NIKI CLUB SHORTS COCKTAILS",1
"NIJI SUSHI",1
"NIHONKAKU",1
"NIGATA",1
"NIELI",1
"NICOLE'S PIZZA",1
"NICOLAS FLAMEL",1
"NICO",1
"NGOUN HENG",1
"NGOLLITUBH DURE",1
"NGOC XUYEN SAIGON",1
"NEW YORK DELI",1
"NEW YORK CAFE",1
"NEW YORK",1
"NEW WORLD",1
"NEWTON",1
"NEW THAI SAN",1
"NEW THAÏ",1
"NEW SOUL FOOD",1
"NEW SHANGHAI",1
"NEW SANNA",1
"NEW RALLYE",1
"NEWNEW",1
"NEW KASHMIR",1
"NEW KALYAN",1
"NEW JIOKO",1
"NEW JHELUN",1
"NEW GINKO",1
"NEW DYNASTIE",1
"NEW DELICE’S",1
"NEW DELICE'S",1
"NEW DELHI PALACE",1
"NEW DELHI",1
"NEW CREPERIE",1
"NEW CHICKEN KING",1
"NEW BOMBAY",1
"NEW BALAL",1
"NEW BAI FERN",1
"NEW AQIB",1
"NEVA CUISINE",1
"NEULO",1
"NEUHAUS",1
"N ET C",1
"NEST",1
"NESSIA",1
"NESO",1
"NESLE",1
"NEO CAFE",1
"NENE MARKET",1
"NEM STAR",1
"NEMESIS",1
"NELSON'S",1
"NELL’ ARTE",1
"NELLY",1
"NELLU",1
"NELLO",1
"NEKO RAMEN",1
"N'EIGE D'ETE",1
"NEFIS",1
"NEFELI",1
"NEELKANTH",1
"NAY KITCHEN",1
"NAW'ADE",1
"NAVY PUB",1
"NAVONA",1
"NAVIGLI",1
"NAVEL",1
"NAVARRO",1
"NAUTILUS",1
"NATURELLEMENT VOTRE",1
"NATURELLEMENT",1
"NATURALE",1
"NATIVES",1
"NATHEMA",1
"NASSIM",1
"NARUTO RAMEN",1
"NA RUGA",1
"NARRO",1
"NARJISSE",1
"NARITAKE",1
"NAPOLITANO",1
"NAPOLI STREAT",1
"NAPOLETANO CHEZ TONI",1
"NAPOLETANA",1
"NAPOLEON III",1
"NAOPPE",1
"NANIWA-YA",1
"NANG LOAN",1
"NANDI",1
"NANCHANG",1
"NANAUMI",1
"NANASHI",1
"NANA",1
"NAMOO",1
"NAMDO",1
"NAMASTE PARIS",1
"NAKED BURGER",1
"NAKATANI",1
"NAKAMA",1
"NAINA",1
"NAÏ",1
"NAGOYA VOUILLE",1
"NAGHAM CAFE",1
"NAGASAKI",1
"NAFNAFA",1
"NACHITOS CHICKEN",1
"NABUCCO",1
"NAB'S",1
"NABOU",1
"NAAN WICH",1
"NAAN STYLE",1
"NAAN NATION",1
"NAAN & CURRY",1
"NAAN CANTINE",1
"NA",1
"N 7 NOUILLES",1
"MY WAY",1
"MYUNG KA",1
"MYUMYU",1
"MY THO",1
"MY THE",1
"MY TANNOUR",1
"MY TACOS",1
"MYSTERY CUISINE",1
"MY SALAD",1
"MYO",1
"MYLO",1
"MYL MAKE YOUR LUNCH",1
"MY LITTLE PUB",1
"MY KIM",1
"MY GARDEN",1
"MY FRENCH CANTINE",1
"MY BAAR",1
"MYAMOR",1
"MUV",1
"MUTO DONBURI",1
"MUTINERIE",1
"MUSSUBI",1
"MUSIC LUNCH",1
"MUSHI MUSHI",1
"MUSA",1
"MURPHYS HOUSE",1
"MURPHY",1
"MÛRE",1
"MURAT",1
"MURAGUCHI",1
"MUNIYANDI",1
"MUNICH KEBAB",1
"MUMU",1
"MUM DIM SUM",1
"MUMBAI LOUNGE",1
"MULINO MULE",1
"MULBERRY",1
"MUKI SUSHI",1
"MUGUNG",1
"MUGUET",1
"MUFTAK",1
"MT PLATS VIET",1
"MTF",1
"M'SUSHI",1
"M. SUCRE",1
"MR ZHAO",1
"MR ZHANG",1
"MR WINGS",1
"MR. T",1
"MR SHNITZ",1
"MR POKE",1
"MR NOODLE",1
"MR. LOBSTER",1
"MR CULBUTO",1
"MR. CREPES",1
"MR ANTOINE",1
"MOZZA & CO",1
"MOZART SUSHI",1
"MOZART EST LÀ",1
"MOZAMI",1
"MOYADO",1
"MOVA",1
"MOUNT EVEREST",1
"MOUNTAIN",1
"MOUFLET",1
"MOUFFETARD SAIGON'S",1
"MOUDIBA S TASTE",1
"MOTSUYA",1
"MO'TOWN",1
"MOTORS COFFEE",1
"MOTHURA",1
"MOT HAI BA YO!",1
"MOTEK",1
"MOTA",1
"MOT",1
"MOSOGO",1
"MOSHIMO",1
"MOSHI",1
"MOSARPI",1
"MOSAIQUE",1
"MOSAICO",1
"MORTENSEN",1
"MORRY'S BAGEL & TOASTS",1
"MORNY",1
"MORNING",1
"MORI CAFE",1
"MORI",1
"MORELLO PIZZA",1
"MORELLI",1
"MOREAU BAR",1
"MORANN",1
"MORA",1
"MOPA",1
"MOOTY",1
"MOORTHIES",1
"MOORIS",1
"MOONLIGHT",1
"MOONKEY",1
"MOOM MAM",1
"MOOK'S ALL STAR",1
"MOOK",1
"MOODIZ",1
"MOO",1
"MONZA",1
"MON WAFFLE",1
"MON VILLAGE",1
"MON VIET",1
"MONTS ET RIZIERES",1
"MONTPARNASSE CAFE",1
"MONT KITA SUSHI",1
"MONTHAI",1
"MONTEZUMA",1
"MONTEROSSO",1
"MONTELEONE",1
"MONTEE",1
"MONTE CRISTO",1
"MONTECITO",1
"MONTE CARLO",1
"MONTCHOUK",1
"MON SQUARE",1
"MONSIEUR PRINTEMPS",1
"MONSIEUR POIROT",1
"MONSIEUR MI",1
"MONSIEUR MADAME ET LA BOUTIQUE",1
"MONSIEUR M",1
"MONSIEUR LE ZINC",1
"MONSIEUR LA MOTTE",1
"MONSIEUR HENRI",1
"MONSIEUR ALPHONSE",1
"MON POKE",1
"MON PETIT POULET",1
"MON PETIT",1
"MON PAUL",1
"MON PARIS",1
"MONOPRIX",1
"MONOP DAILY",1
"MONO",1
