"Enseigne","Nombre d'établissement"
"PLANET SUSHI",4
"PIZZA FIVE",4
"PITAYA",4
"PIERRE SANG",4
"PHO",4
"PARISTANBUL",4
"O’31",4
"O'SULLIVANS",4
"OSAKA",4
"NINA SUSHI",4
"NAGOYA",4
"MIKUNA",4
"MARZO",4
"MARCEL",4
"MAISON PRADIER",4
"LINA'S",4
"LE VOLTIGEUR",4
"LE VALOIS",4
"LE SELECT",4
"LE SAINT CLAUDE",4
"L'EPOQUE",4
"LE PETIT CAMBODGE",4
"LE JEAN BART",4
"LE JARDIN",4
"LE FLASH",4
"LE DOME",4
"LE DAUPHIN",4
"LE CHIQUITO",4
"LE CENTRAL",4
"LE CELTIQUE",4
"LE CELTIC",4
"L'AVENUE",4
"L'ARTISTE",4
"LA PLACE",4
"LA PIZZA",4
"LA MAISON",4
"LA CROISSANTERIE",4
"LA CREPERIE",4
"LA CANTINE",4
"LA CABANE",4
"KAPUNKA",4
"JOAYO",4
"JARDIN DE LUXEMBOURG (KIOSQUE)",4
"ISTANBUL GRILL",4
"ILLY",4
"ILIA",4
"HOKI SUSHI",4
"HANOI",4
"GUSTO ITALIA",4
"GOOD NEWS",4
"GOMU",4
"GEMINI FAMILY",4
"FIVE PIZZA",4
"ELGI",4
"DS CAFE",4
"CREPERIE ELO",4
"CLASICO",4
"CHICKEN STREET",4
"CHEZ VOUS",4
"CHEZ FRED",4
"CHEZ BOUBOULE",4
"CAFE DE LA POSTE",4
"BRAVO",4
"BODRUM",4
"ANG",4
"ALLEGRIA",4
"AFTER PLACE",4
"231 EAST STREET",4
"YUMMY",3
"YUM",3
"YOSHI",3
"YEMMA",3
"YATAI RAMEN",3
"YAMATO",3
"VERONA",3
"TRIPLETTA",3
"TOYAMA",3
"TOKYO YAKI",3
"THE ALLEY",3
"TESORO D'ITALIA",3
"TENTAZIONI",3
"TASTY",3
"TANG GOURMET",3
"TAKSIM",3
"SUNNY",3
"STREET WOK",3
"STRADINA",3
"SOYA",3
"SONATA",3
"SOLEIL LEVANT",3
"SO FRESH",3
"SIAM SQUARE",3
"SAUVAGE",3
"SANTA MARIA",3
"SALON DE THE",3
"SAIGON",3
"SABOR PERUANO",3
"ROYAL FOOD",3
"ROOMIES",3
"ROBERTA CAFFE",3
"RIMAL",3
"RESTAURANT CHINOIS",3
"PRIVE DE DESSERT",3
"POULET BRAISE",3
"PLANET FOOD",3
"PIZZOU",3
"PIZZA PRESTO",3
"PIZZA",3
"PIETRO",3
"PHO 13",3
"PEDRA ALTA",3
"PAZZO",3
"PAYA THAI",3
"OSAKA SUSHI",3
"NOODLE PANDA",3
"NAOKO",3
"NAGANO",3
"MONSIEUR",3
"MIZNON",3
"MIMI",3
"MARCELLE",3
"MANJE & CO",3
"MAMAGAYA",3
"MAISON DE GYROS",3
"MAESTRO",3
"MAC DONER",3
"LUCKY LUCIANO",3
"LOULOU",3
"LOUISE_",3
"L'OLIVIER",3
"LITTLE ITALY",3
"L'INATTENDU",3
"LIBSHOP",3
"LE VIZIR",3
"LE TRIOMPHE",3
"L'ETOILE",3
"LE TIRE BOUCHON",3
"LE THERMIDOR",3
"LES TONTONS",3
"LE SQUARE",3
"LE SOLEIL",3
"LES COMEDIENS",3
"LE SANCERRE",3
"LES AMBASSADES",3
"LE SAINT GEORGES",3
"LES AFFRANCHIS",3
"LE RUBIS",3
"LE REPAIRE",3
"LE RELAIS DE L'ENTRECOTE",3
"LE REINITAS",3
"LE PROVENCAL",3
"LE PRINCE",3
"LE PRESIDENT",3
"LE PERROQUET",3
"LE PARISIEN",3
"LE PARADIS",3
"LE NEMROD",3
"LE MONDIAL",3
"LE MOLIERE",3
"LE MISTRAL",3
"L'EMBUSCADE",3
"LE LUTECE",3
"LE LONGCHAMP",3
"LE GEVAUDAN",3
"LE GAVROCHE",3
"LE DISQUE BLEU",3
"LE CONFIDENTIEL",3
"L'ECLUSE",3
"LE CARREFOUR",3
"LE CARDINAL",3
"LE CAMELIA",3
"LE CAMBODGE",3
"LE BRAZZA",3
"LE BOUILLON",3
"LE BERGERAC",3
"LE BASILIC",3
"LA VILLA",3
"LAURA TODD",3
"LA TAVERNE",3
"LA REGALADE",3
"LA PARISIENNE",3
"LA MARGHERITA",3
"LA MAISON DU COUSCOUS",3
"LA GRANGE",3
"LA FAVORITE",3
"LADUREE",3
"LA CREME DE PARIS",3
"LA CONSIGNE",3
"LA COMETE",3
"LA CERISE SUR LA PIZZA",3
"LA CANTINE DU TROQUET",3
"LA CANTINA",3
"LA BRIOCHE DOREE",3
"LA BRIGADE",3
"LA BOHEME",3
"LA BELLE EPOQUE",3
"KYO",3
"KONAPOKE",3
"KITO",3
"KITCHEN",3
"KINTARO",3
"KIM",3
"JIN",3
"ISTANBUL",3
"HUBSY",3
"HOKI",3
"GRILL ISTAMBUL",3
"GOIKO",3
"GLORIA",3
"GAP RESTAURANT",3
"FOOD CHERI",3
"FLUNCH",3
"FLAM'S",3
"FALAFEL",3
"FACTORY & CO",3
"ERNEST",3
"DOCHILAK",3
"DI LORETTA",3
"DESIREE",3
"DEPOT LEGAL",3
"CŒUR DE BREIZH",3
"CORSO",3
"COLUMBUS CAFE",3
"COCO",3
"CLINT",3
"CHIPOTLE",3
"CHICKEN'S KING",3
"CHEZ PIERROT",3
"CHEZ MARIE",3
"CHEZ LY",3
"CHEZ HELENE",3
"CHEZ GUSTO",3
"CHEZ GLADINES",3
"CHATIME",3
"CHAMAS TACOS",3
"CALA",3
"CAFE NOISETTE",3
"CAFE DU MUSEE",3
"CAFE DE PARIS",3
"CAFE DE L'INDUSTRIE",3
"CAFE DE LA MAIRIE",3
"BURGER & FRIES",3
"BRASSERIE MARTIN",3
"BONBON CHA",3
"BO BUN",3
"BLOOM",3
"BISTRO REGENT",3
"BAR ET CANTINA DE CAFE",3
"BAR DU MARCHE",3
"BAR A IODE",3
"BALDORIA",3
"BAGEL CORNER",3
"AUX SPORTS",3
"AU VIEUX CEDRE",3
"AU PETIT BAR",3
"AU CLAIR DE LUNE",3
"ASSANABEL",3
"ANTALYA",3
"ALMA",3
"ALICE PIZZA",3
"ZOE BOUILLON",2
"ZINO",2
"ZICATELA",2
"ZEN ZOO",2
"ZAMANE",2
"ZAATAR",2
"YUZU",2
"YOYO",2
"YOOKOSO",2
"YOOKI",2
"YOKO",2
"YOKI",2
"YI FANG",2
"YAYA",2
"YAMAYA",2
"YAKITORI",2
"XV BURGER",2
"XIN GAINIAN",2
"WE POK",2
"WEN ZHOU",2
"WELCOME INDIA",2
"WE CANTINE",2
"WAKO",2
"WAGYU",2
"VOLVER",2
"VISCONTI",2
"VICTORIA",2
"VERT MIDI",2
"VAPIANO",2
"VALMA",2
"URFA DURUM",2
"UPPER CAFE",2
"UNIVERS PIZZA",2
"UNICO",2
"UN AIR DE FAMILLE",2
"UMAMI",2
"TRATTORIA",2
"TRAN TRAN ZAI",2
"TRA DI NOI",2
"TOTO RESTAURANT",2
"TORTAS",2
"TOMO",2
"TIN TIN",2
"TIGER SUGAR",2
"TIGER MILK",2
"TIGER",2
"THE SMOKED MEAT",2
"THE FROG",2
"THE 46 BAR",2
"TERRA",2
"TAVOLA CALDA",2
"TAOKAN",2
"TANTE JULIETTE",2
"TAMBO",2
"TAKE OTAC",2
"TAGAWA",2
"TACOS",2
"SWEET RAVIOLIS",2
"SWAGAT",2
"SUSHI TOKYO",2
"SUSHI LOUNGE",2
"SUSHI KING",2
"SUSHI CALY",2
"SURPRIZ",2
"SUNTEA",2
"SUNNY THE",2
"SUKIYAKI",2
"SUCREPICE",2
"SUAN THAI",2
"STREET FOOD",2
"STRADA CAFE",2
"STAR FOOD",2
