"X","Y","OBJECTID","c_ord","arro","qua","xbis","ybis","num","let","typ_voie","lib_voie","seq","sit","type","codact","ens","bio","surf","cc_id","cc_niv","niv47","niv18","niv8","niv2"
651430.135700002,6.8627135604e6,4,1623,1,3,651430.1357,6.8627135604e6,196,"","RUE","SAINT HONORE",1,"R","C","CH106","ENZA FAMIGLIA",0,1,0,"",11101,111,5,1
650959.5176,6.863140338e6,14,2522,1,4,650959.5176,6.863140338e6,14,"","RUE","MARCHE SAINT HONORE",1,"A","C","CH106","NOMAD'S",0,1,0,"",11101,111,5,1
651045.025200002,6.863251712e6,15,2556,1,4,651045.0252,6.863251712e6,12,"","RUE","GOMBOUST",1,"R","C","CH103","KOOK IL KWAN",0,1,0,"",11101,111,5,1
651119.567100003,6.8634532646e6,23,3360,2,5,651119.5671,6.8634532646e6,19,"","RUE","ANTIN",1,"R","C","CH103","GATT",0,1,0,"",11101,111,5,1
651239.360200003,6.8632237593e6,26,3551,2,5,651239.3602,6.8632237593e6,38,"","RUE","PETITS CHAMPS",1,"R","C","CH101","LA BELLE EPOQUE",0,1,0,"",11101,111,5,1
651389.410899997,6.8634036974e6,27,3735,2,6,651389.4109,6.8634036974e6,9,"","RUE","SAINT AUGUSTIN",1,"R","C","CH108","RANI MAHAL",0,1,0,"",11101,111,5,1
651784.080600001,6.8635108194e6,36,4388,2,7,651784.0806,6.8635108194e6,135,"","RUE","MONTMARTRE",1,"A","C","CH303","SOUP & JUICE",0,1,0,"",11103,111,5,1
651939.427299999,6.863044895e6,39,4696,2,7,651939.4273,6.863044895e6,64,"","RUE","MONTMARTRE",1,"R","C","CH303","ELGI",0,1,0,"",11103,111,5,1
652315.717200004,6.8635371495e6,42,5107,2,8,652315.7172,6.8635371495e6,21,"","BD","BONNE NOUVELLE",1,"R","C","CH201","CO MY",0,1,0,"",11102,111,5,1
652336.796700001,6.8629260949e6,51,5994,2,8,652336.7967,6.8629260949e6,120,"","RUE","SAINT DENIS",6,"CC","C","CH403","LES CARIATIDES",0,1,16,0,11104,111,5,1
652670.495899998,6.8633626945e6,54,6295,3,9,652674.33492522,6.86336157116327e6,6,"","RUE","BLONDEL",2,"R","C","CH104","DJOLIBA",0,1,0,"",11101,111,5,1
652672.383699998,6.8633812275e6,55,6302,3,9,652668.56715642,6.86338242499533e6,5,"","RUE","SAINTE APOLLINE",2,"R","C","CH105","ATTIEKE IVOIRE",0,1,0,"",11101,111,5,1
653104.463799998,6.8633015973e6,59,6717,3,9,653100.56166178,6.86330247668461e6,13,"","BD","SAINT MARTIN",2,"R","C","CH303","HAK YOLU",0,1,0,"",11103,111,5,1
653211.812700003,6.8631923392e6,60,6840,3,9,653215.24460106,6.86319439396401e6,203,"","RUE","TEMPLE",2,"R","C","CH202","TABAC DU TEMPLE",0,1,0,"",11102,111,5,1
652663.851300001,6.86295928e6,64,7088,3,9,652660.04129127,6.86296049812704e6,55,"","RUE","MAIRE",2,"R","C","CH103","RESTAURANT PAN VIET",0,1,0,"",11101,111,5,1
653344.0348,6.8631475662e6,73,7846,3,10,653338.09899384,6.86315292961358e6,9,"","PL","REPUBLIQUE",3,"R","C","CH201","CAFE REPUBLIQUE",0,1,0,"",11102,111,5,1
