"X","Y","OBJECTID","c_ord","arro","qua","xbis","ybis","num","let","typ_voie","lib_voie","seq","sit","type","codact","ens","bio","surf","cc_id","cc_niv","niv47","niv18","niv8","niv2"
653614.939099997,6.8621336438e6,81,8288,3,11,653614.9391,6.8621336438e6,63,"","BD","BEAUMARCHAIS",1,"A","C","CH202","BAR’EN",0,1,0,"",11102,111,5,1
652639.123199999,6.8629067916e6,88,9100,3,12,652639.1232,6.8629067916e6,67,"","RUE","GRAVILLIERS",1,"R","C","CH403","LA TRINQUETTE BAR A VINS",0,1,0,"",11104,111,5,1
652358.152000003,6.862396091e6,90,9667,4,13,652358.152,6.862396091e6,91,"","RUE","SAINT MARTIN",1,"R","C","CH106","AL SOLITO POSTO",0,1,0,"",11101,111,5,1
652747.830600001,6.8620858868e6,94,10395,4,14,652747.8306,6.8620858868e6,12,"","RUE","BOURG TIBOURG",1,"R","C","CH107","BOCAMEXA",0,1,0,"",11101,111,5,1
653229.325900003,6.8618930019e6,95,10706,4,14,653229.3259,6.8618930019e6,1,"","PL","MARCHE SAINTE CATHERINE",1,"R","C","CH403","LE DOUBLE FOND",0,1,0,"",11104,111,5,1
653255.944600001,6.8619343791e6,96,10752,4,14,653255.9446,6.8619343791e6,6,"","RUE","JARENTE",1,"R","C","CH101","LES BOUGRESSES",0,1,0,"",11101,111,5,1
653572.996399999,6.8617350387e6,102,11282,4,15,653572.9964,6.8617350387e6,3,"","RUE","TOURNELLES",1,"R","C","CH403","LES AMOUREUSES",0,1,0,"",11104,111,5,1
652229.516099997,6.8613679838e6,106,11614,5,17,652229.5161,6.8613679838e6,23,"","RUE","FREDERIC SAUTON",1,"R","C","CH101","LA GRANGE AUX CANARD",0,1,0,"",11101,111,5,1
652548.342699997,6.8613043401e6,110,11744,5,17,652546.60051817,6.86130073943305e6,3,"","RUE","POISSY",2,"R","C","CH501","LA MAIN AU PANIER",0,1,0,"",11105,111,5,1
652219.096100003,6.8612244566e6,113,11924,5,17,652217.84211854,6.86122065824108e6,5,"","RUE","MONTAGNE SAINTE GENEVIEVE",2,"R","C","CH101","LA PIE NOIR",0,1,0,"",11101,111,5,1
652530.7051,6.8606669742e6,115,12125,5,17,652530.7051,6.8606669742e6,9,"","RUE","NAVARRE",1,"R","C","CH103","LE MEKONG",0,1,0,"",11101,111,5,1
652554.245499998,6.8605934471e6,118,12510,5,18,652554.2455,6.8605934471e6,9,"","RUE","LACEPEDE",1,"R","C","CH107","EL PICAFLOR",0,1,0,"",11101,111,5,1
652320.221199997,6.8602380934e6,120,12754,5,18,652316.23636046,6.86023774547213e6,1,"","RUE","ARBALETE",2,"R","C","CH105","LES SAVEURS D'ABYSSINIE",0,1,0,"",11101,111,5,1
652279.9516,6.8602057682e6,121,12765,5,18,652279.9516,6.8602057682e6,127,"","RUE","MOUFFETARD",1,"A","C","CH107","BOCAMEXA",0,1,0,"",11101,111,5,1
652282.25,6.8604367819e6,125,12835,5,18,652282.06715357,6.86043278608129e6,73,"","RUE","MOUFFETARD",2,"R","C","CH303","DOSE DEALER DE CAFE",0,1,0,"",11103,111,5,1
651748.731899999,6.8607991445e6,133,13585,5,19,651748.7319,6.8607991445e6,210,"","RUE","SAINT JACQUES",1,"R","C","CH103","BOBUN 210",0,1,0,"",11101,111,5,1
651916.1241,6.8616364809e6,140,14357,5,20,651916.1241,6.8616364809e6,3,"","RUE","HARPE",1,"R","C","CH106","LES BALKANS",0,1,0,"",11101,111,5,1
651906.782899998,6.8614744437e6,142,14440,5,20,651906.7829,6.8614744437e6,8,"","RUE","BOUTEBRIE",1,"R","C","CH101","GRAINS NOBLES",0,1,0,"",11101,111,5,1
651913.015000001,6.8615119616e6,143,14467,5,20,651913.015,6.8615119616e6,24,"","RUE","PARCHEMINERIE",1,"R","C","CH101","HEUREUX COMME ALEXANDRE",0,1,0,"",11101,111,5,1
651626.409199998,6.8618306631e6,148,14698,6,21,651626.4092,6.8618306631e6,1,"","RUE","PONT DE LODI",1,"A","C","CH101","RELAIS LOUIS 13",0,1,0,"",11101,111,5,1
651410.124600001,6.8619117136e6,151,14833,6,21,651410.1246,6.8619117136e6,15,"","RUE","MAZARINE",1,"A","C","CH402","LE BALTO",0,1,0,"",11104,111,5,1
651412.367899999,6.861677859e6,152,14913,6,21,651412.3679,6.861677859e6,10,"","RUE","GREGOIRE DE TOURS",1,"R","C","CH101","LA CITROUILLE",0,1,0,"",11101,111,5,1
651809.7566,6.8616187456e6,154,15075,6,21,651809.7566,6.8616187456e6,1,"","RUE","HAUTEFEUILLE",1,"A","C","CH103","HONG KONG",0,1,0,"",11101,111,5,1
651385.588,6.8615610023e6,155,15546,6,22,651385.588,6.8615610023e6,36,"","RUE","GREGOIRE DE TOURS",1,"R","C","CH106","CASA BINI",0,1,0,"",11101,111,5,1
651067.062799998,6.8606290651e6,166,16185,6,23,651067.0628,6.8606290651e6,90,"","RUE","ASSAS",1,"R","C","CH101","GALLERY",0,1,0,"",11101,111,5,1
650144.383599997,6.8609147041e6,171,16815,6,23,650144.3836,6.8609147041e6,105,"","RUE","CHERCHE MIDI",1,"R","C","CH106","MIMI",0,1,0,"",11101,111,5,1
650129.205799997,6.8607936606e6,172,16843,6,23,650129.2058,6.8607936606e6,132,"","RUE","VAUGIRARD",1,"R","C","CH502","PIZZA GIRL",0,1,0,"",11105,111,5,1
650485.928499997,6.8613066073e6,175,17101,6,23,650485.9285,6.8613066073e6,7,"","RUE","DUPIN",1,"R","C","CH103","PHO DUPIN",0,1,0,"",11101,111,5,1
650689.520400003,6.8613907938e6,176,17213,6,23,650689.5204,6.8613907938e6,22,"","RUE","CHERCHE MIDI",1,"R","C","CH106","LE CHERCHE MIDI",0,1,0,"",11101,111,5,1
651134.669699997,6.8616781906e6,179,17530,6,24,651134.6697,6.8616781906e6,2,"","RUE","CISEAUX",1,"R","C","CH103","TSUKIZI",0,1,0,"",11101,111,5,1
651073.808200002,6.8619471431e6,181,17665,6,24,651073.8082,6.8619471431e6,35,"","RUE","JACOB",1,"R","C","CH101","AU 35 RUE JACOB",0,1,0,"",11101,111,5,1
650952.257100001,6.8620293939e6,188,18042,7,25,650952.2571,6.8620293939e6,2,"","RUE","UNIVERSITE",1,"A","C","CH201","GALETTE CAFE",0,1,0,"",11102,111,5,1
649093.634800002,6.8621560391e6,194,19555,7,28,649093.6348,6.8621560391e6,29,"","RUE","CLER",1,"R","C","CH201","LE PETIT CLER",0,1,0,"",11102,111,5,1
649335.1096,6.8624330501e6,198,19889,7,28,649335.1096,6.8624330501e6,54,"","RUE","SAINT DOMINIQUE",1,"A","C","CH201","AU CANON DES INVALIDES",0,1,0,"",11102,111,5,1
649339.935599998,6.8624544144e6,199,19919,7,28,649339.9356,6.8624544144e6,28,"","RUE","SURCOUF",1,"R","C","CH108","CHEZ RAJA",0,1,0,"",11101,111,5,1
649125.225400001,6.863515599e6,214,20697,8,29,649125.2254,6.863515599e6,29,"","RUE","MARIGNAN",1,"R","C","CH101","L'ENTRECOTE",0,1,0,"",11101,111,5,1
648872.413599998,6.8636548312e6,217,20795,8,29,648872.4136,6.8636548312e6,75,"","AV","CHAMPS ELYSEES",1,"A","C","CH401","LADUREE",0,1,0,"",11104,111,5,1
648435.0669,6.8638700776e6,220,21188,8,29,648435.0669,6.8638700776e6,133,"","AV","CHAMPS ELYSEES",2,"CC","C","CH201","LE DRUGSTORE",0,1,601,0,11102,111,5,1
648598.269599997,6.8644609532e6,221,21215,8,30,648598.2696,6.8644609532e6,89,"","BD","COURCELLES",1,"R","C","CH106","VISCONTI",0,1,0,"",11101,111,5,1
648914.195200004,6.8639341234e6,223,21704,8,30,648911.35642484,6.86393130535891e6,30,"","RUE","WASHINGTON",2,"R","C","CH303","FLORIAN",1,1,0,"",11103,111,5,1
648960.117700003,6.8639789264e6,224,21710,8,30,648948.76063325,6.86396765621656e6,36,"","RUE","WASHINGTON",5,"R","C","CH303","PEPPERICO",0,1,0,"",11103,111,5,1
649300.968699999,6.8637873525e6,227,21908,8,30,649304.33285605,6.86378951639789e6,98,"","RUE","LA BOETIE",2,"R","C","CH303","LAYAL",0,1,0,"",11103,111,5,1
649430.082500003,6.8637319167e6,230,22392,8,30,649430.0825,6.8637319167e6,37,"","RUE","COLISEE",1,"R","C","CH108","AMASSINA",0,1,0,"",11101,111,5,1
650567.509199999,6.863648509e6,235,22901,8,31,650568.17627488,6.86365245298417e6,11,"","RUE","VIGNON",2,"R","C","CH201","LE SELECT VIGNON",0,1,0,"",11102,111,5,1
650189.872500002,6.8636351415e6,240,23501,8,31,650186.28996354,6.86363692066624e6,11,"B","RUE","SURENE",2,"R","C","CH302","L'ENTRE DEUX",0,1,0,"",11103,111,5,1
649729.627800003,6.8639974135e6,253,24301,8,32,649730.04370046,6.86398942431814e6,6,"","AV","PERCIER",3,"R","C","CH303","ROOMIES",0,1,0,"",11103,111,5,1
649994.099299997,6.8640378842e6,255,24368,8,32,649994.0993,6.8640378842e6,8,"","RUE","LA BOETIE",1,"R","C","CH303","MAMÉ",0,1,0,"",11103,111,5,1
650319.619199999,6.8642320121e6,263,24864,8,32,650319.6192,6.8642320121e6,16,"","RUE","ROCHER",1,"R","C","CH302","SANDWICHERIE",0,1,0,"",11103,111,5,1
650363.110799998,6.864276638e6,264,24881,8,32,650363.1108,6.864276638e6,27,"","RUE","ROME",1,"R","C","CH201","PUB 27",0,1,0,"",11102,111,5,1
650700.690700002,6.8643904137e6,267,25337,9,33,650700.6907,6.8643904137e6,32,"","RUE","LONDRES",1,"R","C","CH403","NSNW",0,1,0,"",11104,111,5,1
650662.023699999,6.8647868315e6,268,25436,9,33,650662.0237,6.8647868315e6,13,"","RUE","PARME",1,"A","C","CH201","LE PARME",0,1,0,"",11102,111,5,1
650781.004699998,6.8647180358e6,272,25653,9,33,650781.0047,6.8647180358e6,54,"","RUE","CLICHY",1,"R","C","CH302","BAGEL & CREAM",0,1,0,"",11103,111,5,1
651035.873800002,6.8643046971e6,273,25755,9,33,651035.8738,6.8643046971e6,2,"B","PL","ESTIENNE D ORVES",1,"R","C","CH103","YAM YAM",0,1,0,"",11101,111,5,1
651157.386100002,6.8646241084e6,276,25868,9,33,651157.3861,6.8646241084e6,35,"","RUE","JEAN BAPTISTE PIGALLE",1,"R","C","CH101","PIGALLE FROMAGE CLUB",0,1,0,"",11101,111,5,1
651090.1206,6.8649236276e6,278,25980,9,33,651093.53662033,6.86492154654136e6,26,"","RUE","DOUAI",2,"R","C","CH403","LE PLAISIR",0,1,0,"",11104,111,5,1
651406.5339,6.8645985537e6,282,26281,9,33,651407.68534872,6.86459472301261e6,4,"","PL","GUSTAVE TOUDOUZE",2,"R","C","CH108","KASTOORI",0,1,0,"",11101,111,5,1
651485.580499999,6.8642467681e6,286,26645,9,34,651486.53192183,6.86425065330225e6,5,"","RUE","BOURDALOUE",2,"R","C","CH303","JOVIA",0,1,0,"",11103,111,5,1
651292.844700001,6.8639681135e6,287,26765,9,34,651300.27879263,6.86397106887929e6,13,"","RUE","LA FAYETTE",3,"R","C","CH103","COMME GANG NAM",0,1,0,"",11101,111,5,1
651140.706,6.8640062279e6,289,26887,9,34,651140.706,6.8640062279e6,61,"","RUE","PROVENCE",1,"R","C","CH401","MOMOKO",0,1,0,"",11104,111,5,1
650741.599600002,6.8641471386e6,291,27216,9,34,650741.5996,6.8641471386e6,73,"","RUE","CAUMARTIN",1,"R","C","CH303","MC DONALD'S",0,1,0,"",11103,111,5,1
651940.832800001,6.8641919208e6,296,28304,9,35,651936.87581275,6.86419250582302e6,29,"","RUE","BLEUE",2,"R","C","CH302","GOJI",0,1,0,"",11103,111,5,1
651842.176899999,6.8645591415e6,304,29457,9,36,651842.1769,6.8645591415e6,28,"","RUE","LA TOUR D AUVERGNE",1,"R","C","CH101","L'INNOCENCE",0,1,0,"",11101,111,5,1
651990.537299998,6.8648482648e6,307,29698,9,36,651998.20785788,6.86485053692276e6,10,"","AV","TRUDAINE",3,"A","C","CH106","CORSO",0,1,0,"",11101,111,5,1
652195.586300001,6.8645504746e6,310,30030,9,36,652195.5863,6.8645504746e6,80,"","RUE","MAUBEUGE",1,"R","C","CH403","PACO",0,1,0,"",11104,111,5,1
652255.167499997,6.8643719378e6,311,30298,9,36,652255.1675,6.8643719378e6,109,"","RUE","FAUBOURG POISSONNIERE",1,"R","C","CH201","42 DEGRES",1,1,0,"",11102,111,5,1
652716.421899997,6.8645981392e6,313,30689,10,37,652716.4219,6.8645981392e6,23,"","RUE","DUNKERQUE",1,"R","C","CH201","CAFE DU NORD",0,1,0,"",11102,111,5,1
653025.077699997,6.8650716149e6,315,30952,10,37,653024.59923228,6.86506764361952e6,230,"","RUE","FAUBOURG SAINT DENIS",2,"A","C","CH201","LA ROTONDE",0,1,0,"",11102,111,5,1
652566.515299998,6.8638829449e6,325,32236,10,38,652580.69843568,6.86387553958688e6,10,"","RUE","PETITES ECURIES",5,"R","C","CH104","PIDE",0,1,0,"",11101,111,5,1
652743.713600002,6.8640856899e6,329,32325,10,38,652745.2385272,6.86408938781793e6,105,"","RUE","FAUBOURG SAINT DENIS",2,"R","C","CH201","L'ESCALIER",0,1,0,"",11102,111,5,1
652586.469800003,6.8636724403e6,330,32596,10,38,652585.10696911,6.86366867962294e6,40,"","RUE","FAUBOURG SAINT DENIS",2,"R","C","CH303","PIZZA VERDI",0,1,0,"",11103,111,5,1
652598.891000003,6.8637023168e6,331,32600,10,38,652598.891,6.8637023168e6,46,"","RUE","FAUBOURG SAINT DENIS",1,"A","C","CH403","LE MAURI 7",0,1,0,"",11104,111,5,1
652619.346000001,6.8637566755e6,332,32605,10,38,652619.346,6.8637566755e6,52,"","RUE","FAUBOURG SAINT DENIS",1,"R","C","CH101","52 FAUBOURG SAINT DENIS",0,1,0,"",11101,111,5,1
653053.8917,6.8636285567e6,335,33025,10,39,653051.87841351,6.86362510030339e6,6,"","RUE","LUCIEN SAMPAIX",2,"R","C","CH401","TEA SPACE",0,1,0,"",11104,111,5,1
651723.419399999,6.8625288452e6,337,655,1,2,651723.4194,6.8625288452e6,6,"","RUE","BAILLEUL",1,"R","C","CH101","GRANITE",0,1,0,"",11101,111,5,1
652839.608900003,6.8636627602e6,339,33213,10,39,652838.06076834,6.8636590719364e6,64,"","RUE","FAUBOURG SAINT MARTIN",2,"R","C","CH105","CHEZ GRAND YOUZE",0,1,0,"",11101,111,5,1
653490.094899997,6.8644461896e6,348,34051,10,40,653490.0949,6.8644461896e6,159,"","QU","VALMY",1,"R","C","CH201","LE VAILLANT",0,1,0,"",11102,111,5,1
654237.879100002,6.8632389139e6,356,35003,11,41,654237.8791,6.8632389139e6,4,"","RUE","TROIS COURONNES",1,"R","C","CH302","PIZZA HOUSE",0,1,0,"",11103,111,5,1
654155.167499997,6.8631788433e6,358,35176,11,41,654147.72364812,6.86317591258863e6,70,"","RUE","JEAN PIERRE TIMBAUD",3,"R","C","CH403","PILI PILI",0,1,0,"",11104,111,5,1
653824.740500003,6.86308836e6,363,35646,11,41,653828.58727384,6.86308726349145e6,19,"","AV","REPUBLIQUE",2,"R","C","CH103","CHEZ HUANG",0,1,0,"",11101,111,5,1
653796.059100002,6.8628973711e6,365,35902,11,41,653796.0591,6.8628973711e6,107,"","BD","RICHARD LENOIR",1,"R","C","CH106","OBER MAMMA",0,1,0,"",11101,111,5,1
654617.473999999,6.8633042538e6,371,36327,11,41,654614.81620758,6.86330724313763e6,19,"","BD","BELLEVILLE",2,"R","C","CH303","JWAJ'M JUICE",0,1,0,"",11103,111,5,1
654670.979999997,6.8631429227e6,376,36808,11,42,654667.23625323,6.86314151402683e6,156,"","RUE","OBERKAMPF",2,"R","C","CH303","CHEZ BAYA",0,1,0,"",11103,111,5,1
653693.793799996,6.861862541e6,386,37785,11,43,653693.7938,6.861862541e6,16,"","BD","BEAUMARCHAIS",1,"R","C","CH303","POKE SHOP",0,1,0,"",11103,111,5,1
653763.9652,6.8617146486e6,387,37890,11,43,653765.49441158,6.86170679611556e6,2,"","BD","RICHARD LENOIR",3,"R","C","CH303","MC DONALD'S",0,1,0,"",11103,111,5,1
654259.567900002,6.862243063e6,388,38243,11,43,654259.5679,6.862243063e6,30,"","RUE","POPINCOURT",1,"R","C","CH303","VERO L'AUTRE CANTINE",0,1,0,"",11103,111,5,1
654622.343699999,6.8624921628e6,394,38544,11,43,654624.51463872,6.8624888031832e6,30,"","RUE","SAINT MAUR",2,"R","C","CH107","LA PETITE PENA",0,1,0,"",11101,111,5,1
655048.796400003,6.8626818885e6,395,38624,11,43,655048.7964,6.8626818885e6,65,"","BD","MENILMONTANT",1,"A","C","CH201","AU ROND POINT",0,1,0,"",11102,111,5,1
654650.591300003,6.8620095604e6,402,39073,11,43,654641.68057304,6.86201759774689e6,144,"","BD","VOLTAIRE",4,"R","C","CH303","CHAI VALLEY",0,1,0,"",11103,111,5,1
654091.045599997,6.861597756e6,410,39634,11,43,654091.0456,6.861597756e6,13,"","RUE","CHARONNE",1,"A","C","CH101","CHEZ PAUL",0,1,0,"",11101,111,5,1
654245.786399998,6.8614626137e6,414,39983,11,44,654245.7864,6.8614626137e6,92,"","AV","LEDRU ROLLIN",1,"R","C","CH403","LE PETIT ROLLIN",0,1,0,"",11104,111,5,1
655010.508400001,6.8613375219e6,418,40408,11,44,655014.50812651,6.8613374751253e6,37,"","RUE","MONTREUIL",2,"R","C","CH302","*** NON RENSEIGNE ***",0,1,0,"",11103,111,5,1
655184.499200001,6.8615631667e6,421,40806,11,44,655187.46710308,6.86156048499321e6,205,"","BD","VOLTAIRE",2,"R","C","CH302","LE FOURNIL DE PARIS",0,1,0,"",11103,111,5,1
656520.043499999,6.8598028738e6,430,41739,12,45,656520.0435,6.8598028738e6,21,"","BD","SOULT",1,"R","C","CH303","ALL TIME FOOD",0,1,0,"",11103,111,5,1
656215.946000002,6.8601220779e6,431,41820,12,45,656211.95002328,6.8601218985398e6,32,"","RUE","LOUIS BRAILLE",2,"R","C","CH303","ONE PIZZ",0,1,0,"",11103,111,5,1
656393.291000001,6.8607998564e6,432,41894,12,45,656393.81864166,6.86080382144657e6,69,"","AV","DOCTEUR ARNOLD NETTER",2,"R","C","CH108","*** NON RENSEIGNE ***",0,1,0,"",11101,111,5,1
655753.872000001,6.8610002406e6,433,42034,12,46,655753.872,6.8610002406e6,26,"","PL","NATION",1,"A","C","CH201","IRISH PUB - IRISH CORNER",0,1,0,"",11102,111,5,1
655478.153700002,6.8601633237e6,442,43044,12,46,655478.1537,6.8601633237e6,164,"","AV","DAUMESNIL",1,"R","C","CH108","BEYIT JEDO",0,1,0,"",11101,111,5,1
655102.669699997,6.8605918289e6,446,43335,12,46,655105.96303806,6.86059409912563e6,25,"","RUE","MONTGALLET",2,"R","C","CH106","UFRAULINO",0,1,0,"",11101,111,5,1
654934.883100003,6.8597156845e6,448,43783,12,47,654934.8831,6.8597156845e6,1,"","PL","LACHAMBEAUDIE",1,"A","C","CH202","LA TERRASSE",0,1,0,"",11102,111,5,1
654498.888999999,6.8601383537e6,449,43797,12,47,654501.54418256,6.86013536204401e6,116,"","RUE","BERCY",2,"R","C","CH302","LE 116",0,1,0,"",11103,111,5,1
653774.5458,6.8609634677e6,465,45204,12,48,653774.5458,6.8609634677e6,28,"","AV","LEDRU ROLLIN",1,"R","C","CH101","LE QUINCY",0,1,0,"",11101,111,5,1
653828.450599998,6.8610089494e6,466,45212,12,48,653825.41396917,6.86100634577307e6,38,"","AV","LEDRU ROLLIN",2,"R","C","CH101","LE P'TIT ZINC",0,1,0,"",11101,111,5,1
653395.182700001,6.8579207085e6,479,46399,13,50,653397.02101853,6.85791715595373e6,34,"","AV","PORTE DE CHOISY",2,"R","C","CH401","MOMA’S TEA",0,1,0,"",11104,111,5,1
653403.4406,6.8587021884e6,481,46710,13,50,653403.4406,6.8587021884e6,101,"","RUE","TOLBIAC",13,"CC","C","CH103","DNJ CAFE",0,1,61,0,11101,111,5,1
651918.2522,6.8583844797e6,488,47286,13,51,651918.2522,6.8583844797e6,20,"","RUE","BOUSSINGAULT",1,"A","C","CH109","BURGER POINT",0,1,0,"",11101,111,5,1
652344.707099997,6.8588474424e6,500,48099,13,51,652348.61453719,6.85884829793178e6,18,"","RUE","BUTTE AUX CAILLES",2,"A","C","CH101","LE TEMPS DES CERISES",0,1,0,"",11101,111,5,1
650865.105999999,6.8603677183e6,507,48905,14,53,650861.5312607,6.86036951308102e6,118,"","BD","MONTPARNASSE",2,"R","C","CH106","TERRA MIA",0,1,0,"",11101,111,5,1
650469.743900001,6.8603965648e6,509,49090,14,53,650471.69046135,6.86040005920966e6,62,"","RUE","MONTPARNASSE",2,"R","C","CH101","LA BIGOUDENNE",0,1,0,"",11101,111,5,1
650954.967299998,6.8594572311e6,518,49824,14,55,650954.9673,6.8594572311e6,3,"","AV","GENERAL LECLERC",1,"R","C","CH303","DENFERT FOOD",0,1,0,"",11103,111,5,1
650784.392999999,6.8585678805e6,526,50267,14,55,650784.393,6.8585678805e6,35,"","RUE","PERE CORENTIN",1,"A","C","CH201","BAR DE L'EUROPE",0,1,0,"",11102,111,5,1
650300.643200003,6.8584254183e6,528,50560,14,55,650300.6432,6.8584254183e6,177,"","BD","BRUNE",1,"A","C","CH202","LA BOUFFARDE",0,1,0,"",11102,111,5,1
649951.860799998,6.8585462615e6,541,51504,14,56,649951.8608,6.8585462615e6,135,"","BD","BRUNE",1,"A","C","CH201","CAFE BRUNE L'IMPERATIF",0,1,0,"",11102,111,5,1
649693.585699998,6.8588135121e6,542,51511,14,56,649693.5857,6.8588135121e6,121,"","RUE","DIDOT",1,"A","C","CH108","SURAJ",0,1,0,"",11101,111,5,1
649574.411300004,6.8590832497e6,546,51659,14,56,649577.23972713,6.85908042127287e6,48,"","RUE","PIERRE LAROUSSE",2,"A","C","CH201","CAFE LAROUSSE",0,1,0,"",11102,111,5,1
648832.034100004,6.8593220431e6,554,52584,15,57,648832.0341,6.8593220431e6,73,"","RUE","BRANCION",1,"R","C","CH101","LES TONTONS",0,1,0,"",11101,111,5,1
648623.713500001,6.8601093303e6,570,53989,15,57,648623.7135,6.8601093303e6,301,"","RUE","VAUGIRARD",1,"A","C","CH201","LE COMMERCE",0,1,0,"",11102,111,5,1
649997.177500002,6.8607397482e6,576,54472,15,58,650000.86872912,6.86074128924757e6,138,"","RUE","VAUGIRARD",2,"R","C","CH106","CROCCANTE",0,1,0,"",11101,111,5,1
649107.716200002,6.8609610182e6,586,55327,15,58,649107.7162,6.8609610182e6,37,"","BD","GARIBALDI",1,"A","C","CH202","LA CAMELIA",0,1,0,"",11102,111,5,1
647877.929799996,6.8615142084e6,588,56257,15,59,647877.9298,6.8615142084e6,8,"","RUE","SAINT CHARLES",1,"A","C","CH201","LE SAINT MARTIN'S",0,1,0,"",11102,111,5,1
648244.146200001,6.8612970179e6,590,56418,15,59,648246.14680447,6.86130048165256e6,4,"B","RUE","VIOLET",2,"R","C","CH403","LE DIMA",0,1,0,"",11104,111,5,1
648177.010499999,6.8609791576e6,593,56753,15,59,648177.0105,6.8609791576e6,99,"","RUE","THEATRE",1,"A","C","CH201","LOLA",0,1,0,"",11102,111,5,1
648424.432999998,6.8607791348e6,602,57425,15,59,648424.433,6.8607791348e6,64,"","RUE","CROIX NIVERT",1,"R","C","CH101","LA VERAISON",0,1,0,"",11101,111,5,1
647680.595100001,6.8600176561e6,607,57726,15,60,647680.5951,6.8600176561e6,294,"","RUE","LECOURBE",1,"R","C","CH202","L'ETINCELLE",0,1,0,"",11102,111,5,1
646980.865199998,6.8604285114e6,612,58301,15,60,646980.8652,6.8604285114e6,46,"","RUE","BALARD",1,"A","C","CH101","LE COMPTOIR DES JASMINS",0,1,0,"",11101,111,5,1
646924.905900002,6.8613589646e6,616,58726,16,61,646921.95396248,6.86135626532882e6,21,"","AV","VERSAILLES",2,"R","C","CH103","CHEZ MYA",0,1,0,"",11101,111,5,1
645721.239600003,6.859932115e6,617,58858,16,61,645721.2396,6.859932115e6,131,"","BD","MURAT",1,"A","C","CH106","VILLA MURAT",0,1,0,"",11101,111,5,1
646363.675700001,6.8618365385e6,636,59922,16,61,646363.6757,6.8618365385e6,62,"","AV","MOZART",1,"R","C","CH101","CHASSE MAREE",0,1,0,"",11101,111,5,1
645802.260700002,6.860122893e6,637,60019,16,61,645802.2607,6.860122893e6,19,"","RUE","LE MAROIS",1,"R","C","CH103","HAPPY SUSHI",0,1,0,"",11101,111,5,1
