"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2012,"ago",75074651845,29225270982,91074626,12606543
2012,"bdi",268427713,1097114725,33382,823134
2012,"ben",1568628049,4634340990,1257110,5009930
2012,"bfa",4090995446,3762082838,752852,3898084
2012,"bwa",6237401641,9426854406,1205213,3657075
2012,"caf",209472488,438238928,209148,354656
2012,"civ",12486790356,10255137611,8673789,10741126
2012,"cmr",5737794047,7324822304,5582544,7255118
2012,"cod",7090983766,5891242052,2442412,4908849
2012,"cog",8481893664,8106551245,12883272,3948430
2012,"com",53920856,287185460,40560,484757
2012,"cpv",194335342,809213183,122206,770907
2012,"dji",111249138,3226592454,85196,3410807
2012,"dza",75957553685,54583277459,98395265,38817605
2012,"egy",37276817515,80097983102,46085272,83268088
2012,"eri",592217360,554855431,59073,311263
2012,"eth",2626980990,13042642144,1039598,8830786
2012,"gab",15097989871,5874599178,17635001,2562391
2012,"gha",18193031665,16668754636,12103713,13625725
2012,"gin",2083068423,3333994775,19074354,3293919
2012,"gmb",275285278,974580205,316289,1262539
2012,"gnb",180997691,306165240,161104,464225
2012,"gnq",15595870276,2585891824,18629817,1714180
2012,"ken",5565695995,16271083761,3292181,13402560
2012,"lbr",1369326388,12182122249,3079002,5540831
2012,"lby",59205989650,21985378343,68253058,18926645
2012,"lso",975930920,1571998003,131500,1010624
2012,"mar",26565805275,46888050884,27411740,49454770
2012,"mdg",1907823472,2577338090,1070960,2704693
2012,"mli",4464134262,3872662790,1017096,4663825
2012,"moz",6486802002,7978041020,11879950,15564907
2012,"mrt",4131380131,4807611902,17408114,5278324
2012,"mus",2762159550,5553369245,1148456,4464452
2012,"mwi",1512095704,2589366881,680832,2004589
2012,"myt",32239838,353413980,11819,175352
2012,"nam",6067920645,7954038861,2706808,4123762
2012,"ner",1339436570,2042947055,753401,1909947
2012,"nga",130136377030,47719437610,129015024,35508893
2012,"rwa",588404775,1760594455,195913,1282444
2012,"sdn",6673198220,9697063505,3511321,7231061
2012,"sen",3373011424,7809116276,5025336,8723602
2012,"shn",19321049,77108155,3229,33990
2012,"sle",1012477107,1484308329,5090161,1290773
2012,"som",488492270,1664252140,463336,2013679
2012,"ssd",646212258,123301329,834971,86552
2012,"stp",15648249,195976886,6126,155254
2012,"swz",2311746570,1970311136,2980655,1507506
2012,"syc",582790719,2241243491,384472,1093893
2012,"tcd",3323123974,799406381,4052061,406405
2012,"tgo",2999361590,6990960549,5461318,7535729
2012,"tun",19175303826,26069422344,12469591,16715534
2012,"tza",6929542786,12260585643,2856810,9119327
2012,"uga",2624262523,6069360554,2179461,5351417
2012,"zaf",114674025367,115165965530,191360933,58448144
2012,"zmb",13950490658,8913158865,4870631,4083282
2012,"zwe",4150652658,7181796668,1954255,4479144
