"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2023,"ago",42346810215,17080506148,65821389,8858176
2023,"bdi",340577906,1173642389,72128,1165512
2023,"ben",1905209957,5158342512,1287060,6067969
2023,"bfa",8317209399,6373741709,2241286,8868123
2023,"bwa",6519012566,6626756574,2122307,4522707
2023,"caf",231101235,859415286,329688,559969
2023,"civ",22602025183,19558423120,14941455,21812411
2023,"cmr",6987091650,9367428722,8170824,10901861
2023,"cod",32393478486,26424810237,6380219,17846687
2023,"cog",13049994699,5586050796,14827228,2823563
2023,"com",105054698,431744840,52147,671021
2023,"cpv",165384393,1819072409,425821,1934009
2023,"dji",4216032541,9867113808,3681543,8104123
2023,"dza",56251557378,40951433298,90744403,34481570
2023,"egy",51889857050,89015179855,65284400,74380990
2023,"eri",571981743,439080320,334733,341648
2023,"eth",3995221203,20502096553,1490883,16308368
2023,"gab",10616027784,4653012311,22388024,2296045
2023,"gha",27374221332,19198312671,18001640,21829808
2023,"gin",18052571212,6848278234,34987591,6983156
2023,"gmb",255513804,1770437822,293519,2932448
2023,"gnb",110843954,570018205,86140,525139
2023,"gnq",5197723567,1025022170,7285027,587870
2023,"ken",8679556012,20639992433,7625200,23487971
2023,"lbr",2450891335,16864768363,4959753,9489933
2023,"lby",35706962104,23050129526,93401879,18161861
2023,"lso",1143197298,1719210231,153559,1569411
2023,"mar",50581931673,72132923054,33629736,79145624
2023,"mdg",4255860127,5165981420,1551783,6889230
2023,"mli",8965009549,7627499346,1409664,9742404
2023,"moz",13003837324,17603577078,37432171,29889868
2023,"mrt",5087955642,5469573479,15529682,5713244
2023,"mus",2825246356,6675400882,1109937,4792304
2023,"mwi",959954099,3199242698,656730,2495981
2023,"nam",6270762533,7982021166,4105173,4703641
2023,"ner",1722449872,3189945760,846866,2487419
2023,"nga",62024513001,67420367763,94093476,38200491
2023,"rwa",1379448681,2238940684,165918,2248611
2023,"sdn",4984092727,6324729709,3440330,4648672
2023,"sen",5982907346,14280536811,7756770,16438639
2023,"shn",39112606,63124341,9080,39376
2023,"sle",1568378197,1970047507,10949577,1952413
2023,"som",1046500079,5233912860,196087,4424358
2023,"ssd",672081824,1627569624,1056769,1512570
2023,"stp",59199374,186146607,61424,138862
2023,"swz",2599472242,2088508495,2669578,2438269
2023,"syc",764365509,1670363326,202198,949816
2023,"tcd",4473416761,1617507935,5299684,780015
2023,"tgo",7104826559,9932044226,6924043,10653914
2023,"tun",24061351456,25528326160,13617094,17396051
2023,"tza",11980321707,18264867547,9201637,15030383
2023,"uga",7051972730,12176466032,5797114,10564298
2023,"zaf",156628884339,106199853294,229221377,66617719
2023,"zmb",15330314898,11052607334,5573404,6915828
2023,"zwe",9127821930,9367198612,4391320,6963432
