"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2003,"ago",9315582067,4330288968,40018848,3538677
2003,"bdi",79145148,182373819,29834,221815
2003,"ben",493738135,1607960653,1067828,2634484
2003,"bfa",498441069,1038809799,763237,2037670
2003,"bwa",2915222752,3894494015,479759,1991025
2003,"caf",168199204,127567518,135160,132882
2003,"civ",6339242857,3721695617,6339111,6935723
2003,"cmr",2917443313,2109372209,7308311,3416176
2003,"cod",1080196413,966832280,1168119,1269773
2003,"cog",2705128405,1025354561,10701196,1057678
2003,"com",26708305,120303381,3347,191610
2003,"cpv",21375457,395879012,3784,687146
2003,"dji",67174248,570853040,452059,503290
2003,"dza",27070167586,15304967284,115607039,22289720
2003,"egy",9820551131,17067512251,27195067,33516033
2003,"eri",21580716,591563880,265595,1597486
2003,"eth",675033332,2832070688,539432,3692950
2003,"gab",3679237634,1040274630,15756023,1215427
2003,"gha",2345722665,4140644008,4186146,6645464
2003,"gin",920916250,848018535,12921154,2004840
2003,"gmb",33462571,503014073,36531,1103676
2003,"gnb",111217439,134404552,148308,337494
2003,"gnq",2728814523,1047712181,10199450,505160
2003,"ken",2896030582,4145935987,3819863,7497812
2003,"lbr",963644529,3420698141,1220941,3034213
2003,"lby",13833102828,5534082435,60242317,7885708
2003,"lso",845659832,1091579136,75470,1000866
2003,"mar",10920145291,15392917596,22526163,31326946
2003,"mdg",1294455837,1463399883,443851,2029832
2003,"mli",975878022,1471376425,290233,2409112
2003,"moz",1247433608,1641953928,1454867,4456813
2003,"mrt",713107186,895243398,10052522,2352306
2003,"mus",2147399691,2708649922,1148979,2708746
2003,"mwi",702057290,868092489,538409,993484
2003,"myt",6994708,229753770,3044,207685
2003,"nam",1725485174,1518291628,1462489,1960284
2003,"ner",324879778,742339203,187433,975716
2003,"nga",27589932513,16943894237,98539573,28361154
2003,"rwa",159505946,375023825,334138,404652
2003,"sdn",4914517331,3832034619,12903045,5291313
2003,"sen",1164458647,2806065014,2605342,6223074
2003,"shn",19778758,33230518,6539,45593
2003,"sle",204630322,493334669,53122,496255
2003,"som",107619094,203798163,418883,510090
2003,"stp",16154779,66167722,13572,107717
2003,"swz",2123163246,1615290351,2256871,2449609
2003,"syc",531525211,1059219072,416470,558773
2003,"tcd",97466593,305545912,143486,281108
2003,"tgo",1058025409,1353766188,5429670,2674145
2003,"tun",9791269274,11540478545,12126960,16826547
2003,"tza",1616125980,2658795444,1216730,4343874
2003,"uga",710370984,1542064707,570285,2143598
2003,"zaf",50797471837,34272239071,169474051,41235137
2003,"zmb",1341037233,1708283766,1026289,1513864
2003,"zwe",2187376808,1472140835,2682623,3455835
