"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2021,"ago",34617519982,11974677936,66311839,7564226
2021,"bdi",180621590,1095649588,76119,1273721
2021,"ben",2327483333,4782427794,1790737,6218921
2021,"bfa",9321890834,5423017319,2046351,7217203
2021,"bwa",7482739337,7847850254,1775151,10720791
2021,"caf",172948700,634513154,249131,478448
2021,"civ",16272638573,15286497267,13824654,19472567
2021,"cmr",5670251768,8520865093,8404490,10566784
2021,"cod",28314962240,9818384962,5128467,9984107
2021,"cog",11016397114,3295985410,11009154,2060289
2021,"com",58112207,493729683,35602,706913
2021,"cpv",201748110,1332113271,122741,1756475
2021,"dji",2919765098,7306318388,1997080,6670667
2021,"dza",38545462098,34767969136,83712894,33161475
2021,"egy",49496450366,98170895562,69562137,97443884
2021,"eri",671550661,330350788,333534,320963
2021,"eth",4508950275,18189389660,1480437,13364662
2021,"gab",8762524512,3814340467,18709629,2143965
2021,"gha",22113001794,21335355304,18256400,24688446
2021,"gin",10179002313,5358663529,79444311,5985163
2021,"gmb",316281527,1872933650,210576,2617266
2021,"gnb",205936146,421865969,193063,532990
2021,"gnq",5247812147,992478144,10969507,630641
2021,"ken",7800103873,20645382446,6882950,22331945
2021,"lbr",1900629312,10936719566,4263864,8026310
2021,"lby",32801526440,17290081733,61351977,15945950
2021,"lso",1089996039,1674992969,155057,1399744
2021,"mar",43021438679,59779174266,39571375,66386912
2021,"mdg",3427384912,4602191306,1888146,6976871
2021,"mli",11620185976,6787864350,1211395,8633587
2021,"moz",9243696607,15456465051,120997271,32530032
2021,"mrt",4329828380,5076671194,13736718,5380669
2021,"mus",2529470945,5601711846,1276346,5713450
2021,"mwi",1243481476,3187729939,737086,2173470
2021,"nam",5526424806,7734927562,2860719,5149909
2021,"ner",3880689235,3028309367,652198,3379078
2021,"nga",58068581341,57276944962,102603610,41574965
2021,"rwa",1250359627,4088954557,547946,3374427
2021,"sdn",5648200503,8265741927,2750229,7072965
2021,"sen",5635439530,12284121647,7559982,16490966
2021,"shn",38816312,51284920,1799,29792
2021,"sle",975857419,1608737827,3912896,2212871
2021,"som",514890018,5121626296,173450,4922819
2021,"ssd",572115082,1370966291,1088881,1258140
2021,"stp",33005615,163001726,11870,137878
2021,"swz",2485451336,2178636397,2130556,2253858
2021,"syc",828005943,1933911122,283971,799053
2021,"tcd",2986743557,1235856755,4217070,626527
2021,"tgo",4046327868,8954379228,7786689,10446455
2021,"tun",19330666461,23020795980,12178663,17973734
2021,"tza",9762817589,14562091422,6298295,12394738
2021,"uga",5594434174,9587710620,2959162,10181747
2021,"zaf",152531365275,94922112740,220391003,141604666
2021,"zmb",13098361765,7386238140,5975476,5128762
2021,"zwe",7656691546,7717740063,3601388,5856467
