"year","origin_id","export_val","import_val","Export_ton","Import_ton"
1999,"ago",4781998578,1852346667,30486240,1932019
1999,"bdi",68178004,164408510,30470,237618
1999,"ben",321411443,1116130876,459656,2366497
1999,"bfa",293126906,951372681,350732,1628202
1999,"caf",245350447,118411585,106064,124768
1999,"civ",5352390212,3396428025,8464471,9542143
1999,"cmr",2041509666,1518969044,7392636,3782063
1999,"cod",1168551587,482244566,1043500,953132
1999,"cog",1854632396,599517737,8755598,752580
1999,"com",22524080,144623597,8780,297875
1999,"cpv",38572959,314854058,24907,506603
1999,"dji",18057676,430877345,63588,550152
1999,"dza",13957220994,10447949352,84272544,17772533
1999,"egy",5932565370,20524472439,25043293,44006614
1999,"eri",12457259,168108283,3813,150409
1999,"eth",513042280,1960777058,312366,2846599
1999,"gab",3006536058,1011445864,19460305,838890
1999,"gha",1956597831,3486941021,2610364,13544237
1999,"gin",946701652,790874115,15208143,1515265
1999,"gmb",102507117,392890823,52739,1044560
1999,"gnb",67962693,73073602,179862,339204
1999,"gnq",688407893,361288311,4472714,171550
1999,"ken",2030322712,3218962900,2774990,5436385
1999,"lbr",658156115,3184844347,798286,4565429
1999,"lby",8734080589,3686781487,65668137,5800321
1999,"mar",8662449455,11655679731,24533848,28501599
1999,"mdg",821100743,833711168,476701,1262105
1999,"mli",610249808,1024552694,319969,2022529
1999,"moz",282552985,1183900210,550584,21397023
1999,"mrt",641895111,498262842,10887265,1718257
1999,"mus",1818436162,2578207410,1009144,3290619
1999,"mwi",617184323,769266129,27577022,1087554
1999,"ner",552041249,474498050,1391677,971631
1999,"nga",14811501648,7171787914,110821470,12756747
1999,"rwa",87984122,342279462,51920,367725
1999,"sdn",718556647,1696827850,2462687,4033670
1999,"sen",852399867,1905066673,2167279,4303728
1999,"shn",8638449,40914749,1177,202218
1999,"sle",89367915,143874570,33022,364235
1999,"som",52871543,147302345,95071,420570
1999,"stp",16909529,59642192,25218,97664
1999,"syc",191940843,583121732,236511,7364805
1999,"tcd",114741334,90733923,81984,127033
1999,"tgo",520682266,897582673,3294243,2431775
1999,"tun",7243971020,9151857033,10359875,14155200
1999,"tza",844231744,2028334446,901711,3010761
1999,"uga",749408076,1140338324,413113,2705025
1999,"za1",34887657376,24323681605,176599266,39373674
1999,"zmb",1078467544,972170470,992017,11282235
1999,"zwe",1900202764,1527940667,2004769,3968379
