"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2022,"ago",53949252245,18614763117,65557558,8673753
2022,"bdi",186447612,1308678441,79643,1363222
2022,"ben",1908045341,5137761765,1458381,6389664
2022,"bfa",8410111833,6179042764,2401295,7527570
2022,"bwa",7982065253,7988887437,2404611,4320218
2022,"caf",238742545,876794707,324299,883401
2022,"civ",18691371974,18848070853,14263561,19926348
2022,"cmr",7651686707,8780105363,8728789,9797822
2022,"cod",30399976946,15372221106,5465009,11630698
2022,"cog",14941349179,4339482988,16921676,2368770
2022,"com",83653714,350367508,53433,662136
2022,"cpv",194894896,1816839186,140246,1937268
2022,"dji",3652268847,9401132855,2663474,6477725
2022,"dza",64851135493,35128598980,80171497,32276148
2022,"egy",60274085872,99853223649,62938519,87134965
2022,"eri",854263436,447020301,391863,319764
2022,"eth",4523722544,19587558964,1273469,13247288
2022,"gab",11046756128,4194726744,21232509,2139039
2022,"gha",29329880766,20384397463,17304610,21676010
2022,"gin",11448078588,6222751441,89665621,6221389
2022,"gmb",247361616,1873154870,263646,2716020
2022,"gnb",226172632,424343022,165301,430805
2022,"gnq",7682347143,1104523923,9464699,607743
2022,"ken",8753312337,22726554468,6583849,20472811
2022,"lbr",2248627832,14292592715,5297612,8773928
2022,"lby",40019775487,19744695532,49489595,16150800
2022,"lso",1170688804,1882360441,151599,1518285
2022,"mar",49036771879,73316213887,33184009,66740011
2022,"mdg",4636671314,5820080382,1463237,6666056
2022,"mli",9494256686,7540643388,1059997,8726384
2022,"moz",13141544137,20515965848,34216117,29619246
2022,"mrt",5073967616,6134851800,14785394,6056954
2022,"mus",2948108007,7250343990,1308096,6613922
2022,"mwi",1113902938,2053547200,669235,1475115
2022,"nam",6145837838,7856122720,3544736,4417380
2022,"ner",3262213903,4108825766,696746,3609449
2022,"nga",71555363902,64696665826,87190067,44325654
2022,"rwa",1565481510,5303490766,603159,4220957
2022,"sdn",6003603742,10048347363,3095980,7522650
2022,"sen",6998131020,13935365772,7085128,15650921
2022,"shn",39787295,44815318,9490,29236
2022,"sle",1343084800,1755811330,7670675,2105590
2022,"som",732067137,5795621522,149874,5130725
2022,"ssd",562036538,1575543307,756005,1543014
2022,"stp",24892425,238032910,11577,188932
2022,"swz",2268972181,2313921208,2298513,2395902
2022,"syc",780165071,2222549855,260390,825805
2022,"tcd",4792393268,1295652729,4912330,511353
2022,"tgo",4840906102,12514904962,6650532,11781342
2022,"tun",22365680306,27080720791,13725418,17157680
2022,"tza",11117225701,18533276298,8182486,13578627
2022,"uga",5522429581,9791277375,3653208,9560889
2022,"zaf",165680272890,111498860768,227107706,65734174
2022,"zmb",15333088895,9408952741,5445541,5413800
2022,"zwe",8717910721,8939434961,3144444,5764752
