"year","origin_id","export_val","import_val","Export_ton","Import_ton"
1997,"ago",4696994593,2186603119,27929524,1180816
1997,"bdi",103247142,148052259,46595,123932
1997,"ben",315945692,1071714804,430604,1311582
1997,"bfa",246747662,815802453,265460,1342973
1997,"caf",191853657,128582377,94469,99504
1997,"civ",5152222087,3050110030,7946140,7924013
1997,"cmr",2721053217,1779903029,9623993,3558825
1997,"cod",1283911529,824672173,1460751,822057
1997,"cog",2473102457,725596989,9516806,508103
1997,"com",14277571,152313058,3771,129533
1997,"cpv",71051101,288397608,52373,487554
1997,"dji",19300618,304040217,17334,249618
1997,"dza",15388014505,9783903951,82714579,14135795
1997,"egy",6997287646,20017547095,27515231,34161368
1997,"eri",49786587,202955349,13115,323723
1997,"eth",705628453,1649303283,415448,1571778
1997,"gab",3859609699,1227498003,22539768,1787536
1997,"gha",1784019950,3785025303,2465553,6463864
1997,"gin",1071905902,865044221,15895177,1380816
1997,"gmb",182347752,392033079,64508,580849
1997,"gnb",64024913,89340307,71404,192203
1997,"gnq",390572557,169647220,2076364,139610
1997,"ken",2155579682,3778466018,3285153,7599972
1997,"lbr",1154568348,3239276356,1192971,2832650
1997,"lby",10339576160,4851800872,67432500,6688621
1997,"mar",7957101253,8962582777,23389823,22192674
1997,"mdg",716144128,789543616,636810,1159389
1997,"mli",454536841,888931193,395271,1596380
1997,"moz",274151101,798809668,446532,595321
1997,"mrt",678092630,520161417,11828365,1311183
1997,"mus",1830306002,2569137934,1079912,2768431
1997,"mwi",705145198,430634242,988444,182837
1997,"ner",569590626,445246638,1246729,752222
1997,"nga",17974765138,7712741545,106123375,11507924
1997,"rwa",125638485,410992004,48288,670801
1997,"sdn",658583448,1986201308,1018076,3648762
1997,"sen",722324093,1977445381,1901184,4269750
1997,"shn",8033159,29549278,8544,59436
1997,"sle",204043832,193407344,129306,408730
1997,"som",39965336,112761238,42740,262236
1997,"stp",17611885,41369130,6458,39714
1997,"syc",151083891,407881458,72498,4870124
1997,"tcd",143239846,119228470,92833,90673
1997,"tgo",554370655,925117097,4170767,2321285
1997,"tun",6524178211,8675241159,10781930,12536374
1997,"tza",825742823,1647899166,799333,7969571
1997,"uga",798544378,977242635,453523,1883326
1997,"za1",32955468970,24412205108,124331607,19557004
1997,"zmb",1463063891,1236648202,2023916,35399376
1997,"zwe",2073608057,2081695770,6553956,851858
