"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Pop 2026","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025","Densité 2026"
"bel",18,"Europe","Belgium","Belgique",31000,31000,10500000,10600000,10700000,10800000,10700000,11000000,10800000,11200000,11200000,11200000,11400000,11400000,11500000,11500000,11600000,11600000,11700000,11600000,11700000,11700000,339,342,345,348,345,355,348,361,361,361,368,368,371,371,374,374,377,374,377,377
"blz",19,"Amérique","Belize","Belize",23000,23000,300000,300000,300000,300000,300000,300000,300000,330000,330000,370000,367000,375000,382000,390000,398000,405000,405000,411000,417000,423000,13,13,13,13,13,13,13,14,14,16,16,16,17,17,17,18,18,18,18,18
"ben",20,"Afrique","Benin","Bénin",113000,113000,8700000,9000000,9300000,8900000,9200000,9100000,9400000,9600000,9600000,10600000,11200000,11500000,11500000,11800000,12100000,12400000,17500000,13700000,14400000,14800000,77,80,82,79,81,81,83,85,85,94,99,102,102,104,107,110,155,121,127,131
"btn",21,"Asie","Bhutan","Bhoutan",47000,47000,900000,900000,700000,700000,700000,700000,800000,700000,700000,800000,784000,793000,801000,800000,800000,780000,780000,787000,792000,797000,19,19,15,15,15,15,17,15,15,17,17,17,17,17,17,17,17,17,17,17
"blr",22,"Europe","Belarus","Biélorussie",208000,208000,9700000,9700000,9700000,9700000,9600000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,9400000,9500000,9400000,9400000,9500000,9500000,9000000,8900000,47,47,47,47,46,46,46,46,46,46,46,46,45,46,45,45,46,46,43,43
"bol",23,"Amérique","Bolivia","Bolivie",1100000,1100000,9100000,9800000,10000000,9900000,10000000,10100000,10200000,11000000,11000000,10500000,10800000,11100000,11200000,11500000,11700000,11800000,12200000,12300000,12400000,12500000,8,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11
"bih",24,"Europe","Bosnia and Herzegovina","Bosnie-Herzégovine",51000,51000,3900000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,3700000,3800000,3800000,3500000,3300000,3300000,3200000,3200000,3200000,3100000,3100000,76,75,75,75,75,75,75,75,75,73,75,75,69,65,65,63,63,63,61,61
"bwa",25,"Afrique","Botswana","Botswana",582000,582000,1800000,1800000,1800000,2000000,2000000,2000000,2100000,1900000,1900000,2100000,2300000,2300000,2300000,2300000,2300000,2300000,2600000,2600000,2500000,2500000,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4
"bra",26,"Amérique","Brazil","Brésil",8557000,8557000,186800000,189300000,195100000,195100000,195400000,196700000,198400000,195500000,195500000,204500000,209600000,211200000,212900000,211100000,212500000,213900000,215300000,216400000,211900000,212800000,22,22,23,23,23,23,23,23,23,24,24,25,25,25,25,25,25,25,25,25
"brn",27,"Asie","Brunei","Brunei",6000,6000,400000,400000,400000,400000,400000,400000,400000,410000,410000,410000,429000,434000,434000,430000,437000,442000,450000,453000,463000,466000,67,67,67,67,67,67,67,68,68,68,72,72,72,72,73,74,75,76,77,78
"bgr",28,"Europe","Bulgaria","Bulgarie",111000,111000,7700000,7700000,7600000,7600000,7500000,7500000,7400000,7300000,7300000,7200000,7100000,7000000,7000000,7000000,7000000,6900000,6800000,6600000,6700000,6700000,69,69,68,68,68,68,67,66,66,65,64,63,63,63,63,62,61,59,60,60
"bfa",29,"Afrique","Burkina Faso","Burkina Faso",274000,274000,13600000,14800000,15200000,15800000,16300000,17000000,17500000,18000000,18000000,18500000,18600000,19200000,19700000,20300000,21000000,21400000,22600000,23200000,23500000,24000000,50,54,55,58,59,62,64,66,66,68,68,70,72,74,77,78,82,85,86,88
"bdi",30,"Afrique","Burundi","Burundi",28000,28000,7800000,8500000,8900000,8300000,8500000,10200000,8700000,10900000,10900000,10700000,11500000,12000000,11200000,11500000,11900000,12200000,12900000,13200000,14000000,14300000,279,304,318,296,304,364,311,389,389,382,411,429,400,411,425,436,461,471,500,511
"khm",31,"Asie","Cambodia","Cambodge",181000,181000,14100000,14400000,14700000,14800000,15000000,14700000,14500000,14400000,14400000,15400000,15800000,16100000,16200000,16500000,16700000,16900000,16800000,16900000,17600000,17800000,78,80,81,82,83,81,80,80,80,85,87,89,90,91,92,93,93,93,97,98
"cmr",32,"Afrique","Cameroon","Cameroun",476000,476000,17300000,18100000,18500000,18900000,19900000,20100000,20500000,21500000,21500000,23700000,23900000,24500000,24700000,25900000,26500000,27200000,27900000,28600000,29100000,29800000,36,38,39,40,42,42,43,45,45,50,50,51,52,54,56,57,59,60,61,63
"can",33,"Amérique","Canada","Canada",9982000,9982000,32600000,32900000,33300000,33700000,33900000,34500000,34700000,35300000,35300000,35800000,36300000,36600000,37000000,37400000,37700000,38000000,38400000,38700000,39700000,40100000,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"cpv",34,"Afrique","Cape Verde","Cap-Vert",4000,4000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,527000,533000,553000,500000,560000,562000,593000,599000,525000,527000,125,125,125,125,125,125,125,125,125,125,132,133,138,125,140,140,148,150,131,132
"chl",35,"Amérique","Chile","Chili",757000,757000,16400000,16600000,16800000,17000000,17100000,17300000,17400000,17600000,17600000,18000000,18000000,18300000,18500000,19000000,19100000,19200000,19600000,19600000,19700000,19800000,22,22,22,22,23,23,23,23,23,24,24,24,24,25,25,25,26,26,26,26
"chn",36,"Asie","China","Chine",9584000,9584000,1311400000,1318000000,1325000000,1338000000,1354000000,1353000000,1354000000,1360000000,1360000000,1370000000,1380000000,1390000000,1410000000,1430000000,1440000000,1440000000,1420000000,1426000000,1400000000,1400000000,137,138,138,140,141,141,141,142,142,143,144,145,147,149,150,150,148,149,146,146
"cyp",37,"Europe","Cyprus","Chypre",9000,9000,1000000,1000000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1300000,933500,111,111,122,122,122,122,122,122,122,133,133,133,133,133,133,133,133,133,144,104
"col",38,"Amérique","Colombia","Colombie",1140000,1140000,46800000,46200000,44400000,45100000,46300000,46900000,47600000,48000000,48000000,48200000,48600000,49100000,49500000,50300000,50900000,51200000,51800000,52000000,52800000,53400000,41,41,39,40,41,41,42,42,42,42,43,43,43,44,45,45,45,46,46,47
"com",39,"Afrique","Comoros","Comores",2200,2200,700000,700000,700000,700000,700000,800000,800000,800000,800000,800000,807000,826000,832000,900000,900000,888000,837000,852000,867000,883000,318,318,318,318,318,364,364,364,364,364,367,375,378,409,409,404,380,387,394,401
"cog",40,"Afrique","Republic of the Congo","Congo",342000,342000,3700000,3800000,3800000,3700000,3800000,4100000,4200000,4400000,4400000,4800000,4700000,4900000,5400000,5400000,5500000,5600000,6000000,6100000,6300000,6400000,11,11,11,11,11,12,12,13,13,14,14,14,16,16,16,16,18,18,18,19
