"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Pop 2026","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025","Densité 2026"
"kaz",87,"Asie","Kazakhstan","Kazakhastan",2720000,2720000,15300000,15500000,15700000,15900000,15800000,16600000,16400000,17000000,17000000,17500000,17800000,18100000,18400000,18600000,18800000,19000000,19400000,19600000,20500000,20800000,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8
"ken",88,"Afrique","Kenya","Kenya",581000,581000,34700000,35000000,38000000,39100000,40900000,41600000,42700000,44200000,44200000,44300000,47200000,48500000,50900000,52600000,53800000,54900000,54000000,55100000,56400000,57300000,60,60,65,67,70,72,73,76,76,76,81,83,88,91,93,94,93,95,97,99
"kgz",89,"Asie","Kyrgyzstan","Kirghizstan",199000,199000,5200000,5200000,5200000,5300000,5600000,5600000,5400000,5700000,5700000,6000000,6000000,6100000,6100000,6400000,6500000,6600000,6600000,6700000,7100000,7200000,26,26,26,27,28,28,27,29,29,30,30,31,31,32,33,33,33,34,36,36
"kir",90,"Océanie","Kiribati","Kiribati",700,700,,,,,,,,110000,110000,110000,114000,116000,118000,120000,119000,121000,130000,134000,135000,137000,,,,,,,,157,157,157,163,166,169,171,170,173,186,191,193,196
"ksv",91,"Europe","Kosovo","Kosovo",11000,11000,,,,,,,2300000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1700000,1600000,1600000,1600000,1600000,,,,,,,209,164,164,164,164,164,164,164,164,155,145,145,145,145
"kwt",92,"Asie","Kuwait","Koweït",18000,18000,2700000,2800000,2700000,3000000,3000000,2800000,2900000,3500000,3500000,3800000,4000000,4100000,4200000,4200000,4300000,4300000,4200000,4300000,4900000,5000000,150,156,150,167,167,156,161,194,194,211,222,228,233,233,239,239,233,239,272,278
"brb",93,"Amérique","Barbados","La Barbade",400,400,300000,300000,300000,300000,300000,300000,300000,250000,250000,280000,285000,286000,286000,287000,290000,280000,282000,282000,282000,283000,750,750,750,750,750,750,750,625,625,700,712,715,715,718,725,700,705,705,705,708
"lao",94,"Asie","Laos","Laos",237000,237000,6100000,5900000,5900000,6300000,6400000,6300000,6400000,6700000,6700000,6900000,6900000,7000000,7000000,7200000,7300000,7400000,7500000,7600000,7700000,7800000,26,25,25,27,27,27,27,28,28,29,29,30,30,30,31,31,32,32,32,33
"lso",95,"Afrique","Lesotho","Lesotho",30000,30000,1800000,1800000,1800000,2100000,2100000,2200000,2200000,2200000,2200000,1900000,2100000,2200000,2300000,2100000,2100000,2100000,2300000,2300000,2300000,2300000,60,60,60,70,70,73,73,73,73,63,70,73,77,70,70,70,77,77,77,77
"lva",96,"Europe","Latvia","Lettonie",65000,65000,2300000,2300000,2300000,2300000,2200000,2200000,2200000,2000000,2000000,2000000,2000000,1900000,1900000,1900000,1900000,1800000,1800000,1800000,1800000,1800000,35,35,35,35,34,34,34,31,31,31,31,29,29,29,29,28,28,28,28,28
"lbn",97,"Asie","Lebanon","Liban",10000,10000,3900000,3900000,4000000,3900000,4300000,4300000,4300000,4800000,4800000,6200000,6000000,6000000,6100000,6900000,6800000,6700000,5400000,5300000,5800000,5800000,390,390,400,390,430,430,430,480,480,620,600,600,610,690,680,670,540,530,580,580
"lbr",98,"Afrique","Liberia","Liberia",111000,111000,3400000,3800000,3900000,4000000,4100000,4100000,4200000,4400000,4400000,4500000,4600000,4700000,4800000,4900000,5000000,5100000,5300000,5400000,5600000,5700000,31,34,35,36,37,37,38,40,40,41,41,42,43,44,45,46,48,49,50,51
"lby",99,"Afrique","Libya","Libye",1762000,1762000,5900000,6200000,6300000,6300000,6500000,6400000,6500000,6500000,6500000,6300000,6300000,6400000,6500000,6800000,6900000,6900000,6800000,6800000,7800000,7400000,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"lie",100,"Europe","Liechtenstein","Liechtenstein",160,160,,,,,,,,40000,40000,40000,40000,40000,37366,40000,40000,38000,38200,39000,39800,40900,,,,,,,,250,250,250,250,250,234,250,250,238,239,244,249,256
"ltu",101,"Europe","Lithuania","Lituanie",65000,65000,3400000,3400000,3400000,3300000,3300000,3200000,3300000,3000000,3000000,2900000,2850000,2800000,2900000,2800000,2700000,2700000,2700000,2700000,2800000,2800000,52,52,52,51,51,49,51,46,46,45,44,43,45,43,42,42,42,42,43,43
"lux",102,"Europe","Luxembourg","Luxembourg",3000,3000,500000,500000,500000,500000,500000,500000,500000,540000,540000,600000,576000,584000,590000,616000,626000,635000,648000,655000,673000,680000,167,167,167,167,167,167,167,180,180,200,192,195,197,205,209,212,216,218,224,227
"mkd",103,"Europe","Macedonia","Macédoine du Nord",26000,26000,2000000,2000000,2000000,2000000,2000000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2080000,2080000,2000000,1800000,1800000,77,77,77,77,77,81,81,81,81,81,81,81,81,81,81,80,80,77,69,69
"mdg",104,"Afrique","Madagascar","Madagascar",588000,588000,17800000,18300000,18900000,19500000,20100000,21300000,21900000,22500000,22500000,23000000,24900000,25600000,26300000,27000000,27700000,28400000,29600000,30300000,31900000,32700000,30,31,32,33,34,36,37,38,38,39,42,44,45,46,47,48,50,52,54,56
"mys",105,"Asie","Malaysia","Malasie",330000,330000,26900000,27200000,27700000,28300000,27900000,28900000,29300000,29800000,29800000,30800000,30800000,31200000,32000000,31900000,32400000,32700000,33900000,34300000,35500000,35900000,82,82,84,86,85,88,89,90,90,93,93,95,97,97,98,99,103,104,108,109
"mwi",106,"Afrique","Malawi","Malawi",119000,119000,12800000,13100000,13600000,14200000,15700000,15900000,15900000,16300000,16300000,17200000,17700000,18300000,19200000,18600000,19100000,19600000,20400000,20900000,21600000,22200000,108,110,114,119,132,134,134,137,137,145,149,154,161,156,161,165,171,176,182,187
"mdv",107,"Asie","Maldives","Maldives",300,300,300000,300000,300000,300000,300000,300000,300000,360000,360000,350000,370000,376000,382000,500000,540000,544000,524000,34300000,528000,530000,1000,1000,1000,1000,1000,1000,1000,1200,1200,1167,1233,1253,1273,1667,1800,1813,1747,114333,1760,1767
"mli",108,"Afrique","Mali","Mali",1242000,1242000,13900000,12300000,12700000,13000000,13300000,15400000,16300000,15500000,15500000,16700000,18100000,18700000,19100000,19700000,20000000,20800000,22600000,23200000,24400000,25100000,11,10,10,10,11,12,13,12,12,13,15,15,15,16,16,17,18,19,20,20
"mlt",109,"Europe","Malta","Malte",300,300,400000,400000,400000,400000,400000,400000,400000,450000,450000,400000,420000,421000,432000,440000,442000,443000,533000,535000,540000,545000,1333,1333,1333,1333,1333,1333,1333,1500,1500,1333,1400,1403,1440,1467,1473,1477,1777,1783,1800,1817
"mar",110,"Afrique","Morocco","Maroc",447000,447000,31700000,31700000,31200000,31500000,32400000,32300000,32600000,33000000,33000000,34100000,34800000,35200000,36200000,36500000,36900000,37300000,37500000,37800000,38000000,38400000,71,71,70,70,72,72,73,74,74,76,78,79,81,82,83,83,84,85,85,86
"mhl",111,"Océanie","Marshall Islands","Marshall",200,200,,,,,,,,60000,60000,60000,60000,60000,60000,60000,60000,59000,59000,60000,60000,39000,,,,,,,,300,300,300,300,300,300,300,300,295,295,300,300,195
"mus",112,"Afrique","Mauritius","Maurice",2000,2000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1200000,1300000,1300000,1200000,1200000,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,600,650,650,600,600
"mrt",113,"Afrique","Mauritania","Mauritanie",1027000,1027000,3200000,3100000,3200000,3300000,3300000,3500000,3600000,3700000,3700000,3600000,4200000,4300000,4500000,4500000,4600000,4700000,4700000,4800000,5100000,5300000,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5
"mex",114,"Amérique","Mexico","Mexique",1960000,1960000,108300000,106500000,107700000,109600000,110600000,114800000,116700000,117600000,117600000,127000000,128000000,128000000,130700000,127600000,129000000,130000000,128500000,128400000,130800000,131900000,55,54,55,56,56,59,60,60,60,65,65,65,67,65,66,66,66,66,67,67
"mda",115,"Europe","Moldova","Moldavie",34000,34000,4000000,3900000,4100000,4100000,3600000,4100000,3500000,4100000,4100000,4100000,4100000,4100000,4000000,4000000,4000000,4000000,3200000,3400000,3000000,2900000,118,115,121,121,106,121,103,121,121,121,121,121,118,118,118,118,94,100,88,85
"mco",116,"Europe","Monaco","Monaco",2,2,,,,,,,,33000,33000,40000,38400,38400,38308,40000,38308,38350,39500,39050,38300,38400,,,,,,,,16500,16500,20000,19200,19200,19154,20000,19154,19175,19750,19525,19150,19200
"mng",117,"Asie","Mongolia","Mongolie",1568000,1568000,2600000,2600000,2700000,2700000,2700000,2800000,2800000,2800000,2800000,3000000,3000000,3000000,3100000,3200000,3300000,3300000,3400000,3400000,3400000,3500000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"mne",118,"Europe","Montenegro","Monténégro",13812,13812,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,626000,626000,622387,628000,622400,628000,627000,626000,638000,633000,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,46,46
"moz",119,"Afrique","Mozambique","Mozambique",803000,803000,19900000,20400000,20400000,22000000,23400000,23100000,24500000,24300000,24300000,25700000,28700000,29500000,30500000,30400000,31200000,31100000,33000000,33900000,34600000,35600000,25,25,25,27,29,29,31,30,30,32,36,37,38,38,39,39,41,42,43,44
"mmr",120,"Asie","Myanmar","Myanmar",677000,677000,51000000,49800000,49200000,50000000,50500000,54000000,48700000,53300000,53300000,52100000,54400000,54800000,53800000,54000000,54400000,54800000,54200000,54500000,54500000,54800000,75,74,73,74,75,80,72,79,79,77,80,81,79,80,80,81,80,81,81,81
"nam",121,"Afrique","Namibia","Namibie",825000,825000,2100000,2100000,2100000,2200000,2200000,2300000,2400000,2400000,2400000,2500000,2500000,2600000,2600000,2500000,2500000,2500000,2500000,2600000,3000000,3000000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"nru",122,"Océanie","Nauru","Nauru",21,21,,,,,,,,10000,10000,10000,10000,11000,13000,13000,10800,10800,11000,12600,11900,11900,,,,,,,,476,476,476,476,524,619,619,514,514,524,600,567,567
"npl",123,"Asie","Nepal","Népal",147000,147000,26000000,27800000,27000000,27500000,29900000,30500000,31000000,26800000,26800000,28000000,28800000,29200000,29500000,28600000,29000000,29600000,30500000,30900000,29600000,29600000,177,189,184,187,203,207,211,182,182,190,196,199,201,195,197,201,207,210,201,201
"nic",124,"Amérique","Nicaragua","Nicaragua",130000,130000,5600000,5600000,5700000,5700000,5800000,5900000,6000000,6000000,6000000,6300000,6100000,6200000,6300000,6500000,6600000,6700000,6900000,7000000,6900000,7000000,43,43,44,44,45,45,46,46,46,48,47,48,48,50,51,52,53,54,53,54
"ner",125,"Afrique","Niger","Niger",1268000,1268000,14400000,14200000,14700000,15300000,15900000,16100000,16700000,16900000,16900000,18900000,20700000,21600000,22300000,23300000,24000000,25100000,26200000,27200000,27000000,27900000,11,11,12,12,13,13,13,13,13,15,16,17,18,18,19,20,21,21,21,22
"nga",126,"Afrique","Nigeria","Nigeria",925000,925000,134500000,144400000,148100000,152600000,158200000,162300000,166600000,174900000,174900000,181800000,186900000,191800000,195900000,201000000,206000000,211400000,218500000,223800000,232600000,237500000,145,156,160,165,171,175,180,189,189,197,202,207,212,217,223,229,236,242,251,257
"nor",127,"Europe","Norway","Norvège",324000,324000,4700000,4700000,4800000,4800000,4800000,5000000,5000000,5100000,5100000,5200000,5300000,5300000,5300000,5400000,5400000,5400000,5400000,5400000,5500000,5600000,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17
"nzl",128,"Océanie","New Zealand","Nouvelle-Zélande",271000,271000,4100000,4200000,4300000,4300000,4300000,4400000,4500000,4500000,4500000,4600000,4500000,4600000,4700000,4800000,4800000,4900000,5200000,5200000,5200000,5200000,15,15,16,16,16,16,17,17,17,17,17,17,17,18,18,18,19,19,19,19
"omn",129,"Asie","Oman","Oman",213000,213000,2600000,2700000,2700000,3100000,2900000,3000000,2900000,4000000,3500000,4200000,4600000,4700000,4800000,4700000,5100000,5200000,4500000,4600000,5200000,5400000,12,13,13,15,14,14,14,19,16,20,22,22,23,22,24,24,21,22,24,25
"uga",130,"Afrique","Uganda","Ouganda",241000,241000,27700000,28500000,29200000,30700000,33800000,34500000,35600000,36900000,36900000,40100000,40300000,41700000,44300000,44300000,45700000,47100000,47200000,48500000,50000000,51300000,115,118,121,127,140,143,148,153,153,166,167,173,184,184,190,195,196,201,207,213
"uzb",131,"Asie","Uzbekistan","Ouzbékistan",448000,448000,26200000,26500000,27200000,27600000,27800000,28500000,28100000,30200000,30200000,31300000,30300000,30700000,32400000,33000000,33500000,33900000,34600000,35100000,36300000,37000000,58,59,61,62,62,64,63,67,67,70,68,69,72,74,75,76,77,78,81,83
"pak",132,"Asie","Pakistan","Pakistan",797000,797000,165800000,169300000,172800000,180600000,184800000,176900000,176900000,190700000,190700000,199000000,193000000,196700000,200700000,216600000,220900000,225200000,235800000,240500000,251200000,255200000,208,212,217,227,232,222,222,239,239,250,242,247,252,272,277,283,296,302,315,320
"plw",133,"Océanie","Palau","Palaos",500,500,,,,,,,,20000,20000,20000,20000,20000,21500,21500,18000,18000,18000,18000,18000,17700,,,,,,,,40,40,40,40,40,43,43,36,36,36,36,36,35
"","Round["""", 1]","Asie","","Palestine",6000,6000,,,,,,,,,,,,,,,,,,,,5500000,,,,,,,,"$Failed","$Failed","$Failed","$Failed","$Failed","$Failed","$Failed","$Failed","$Failed","$Failed","$Failed","$Failed",917
"pan",134,"Amérique","Panama","Panama",76000,76000,3300000,3300000,3400000,3500000,3500000,3600000,3600000,3900000,3900000,4000000,4000000,4000000,4200000,4200000,4300000,4300000,4400000,4400000,4500000,4500000,43,43,45,46,46,47,47,51,51,53,53,53,55,55,57,57,58,58,59,59
"png",135,"Océanie","Papua New Guinea","Papouasie-Nouvelle-Guinée",463000,463000,6000000,6300000,6500000,6600000,6900000,6900000,7200000,7200000,7200000,7700000,7700000,7900000,8400000,8800000,8900000,9100000,10100000,10300000,10500000,10700000,13,14,14,14,15,15,16,16,16,17,17,17,18,19,19,20,22,22,23,23
"pry",136,"Amérique","Paraguay","Paraguay",407000,407000,6300000,6100000,6200000,6200000,6500000,6600000,6700000,6800000,6800000,7000000,6700000,6800000,6900000,7000000,7100000,7200000,6800000,6800000,6900000,7000000,15,15,15,15,16,16,16,17,17,17,16,17,17,17,17,18,17,17,17,17
"nld",137,"Europe","Netherlands","Pays-Bas",41000,41000,16400000,16400000,16400000,16500000,16600000,16700000,16700000,16800000,16800000,16900000,16900000,17000000,17100000,17100000,17100000,17100000,17600000,17600000,18200000,18300000,400,400,400,402,405,407,407,410,410,412,412,415,417,417,417,417,429,429,444,446
"per",138,"Amérique","Peru","Pérou",1287000,1287000,28400000,27900000,27900000,29200000,29500000,29000000,29700000,30500000,30500000,31200000,31800000,32200000,32600000,32500000,33000000,33300000,33300000,34300000,34200000,34500000,22,22,22,23,23,23,23,24,24,24,25,25,25,25,26,26,26,27,27,27
"phl",139,"Asie","Philippines","Philippines",300000,300000,86300000,88700000,90500000,92200000,93600000,95700000,96500000,96200000,96200000,103000000,102200000,103800000,106500000,108100000,109600000,111000000,115600000,117300000,115800000,116000000,288,296,302,307,312,319,322,321,321,343,341,346,355,360,365,370,385,391,386,387
"pol",140,"Europe","Poland","Pologne",324000,324000,38100000,38100000,38100000,38100000,38100000,38200000,38300000,38500000,38500000,38500000,38500000,38600000,38100000,37900000,37800000,37800000,39900000,41000000,38500000,38100000,118,118,118,118,118,118,118,119,119,119,119,119,118,117,117,117,123,127,119,118
"prt",141,"Europe","Portugal","Portugal",92000,92000,10600000,10700000,10600000,10600000,10600000,10700000,10700000,10500000,10500000,10300000,10300000,10300000,10300000,10200000,10200000,10200000,10300000,10200000,10400000,10400000,115,116,115,115,115,116,116,114,114,112,112,112,112,111,111,111,112,111,113,113
"qat",142,"Asie","Qatar","Qatar",11000,11000,800000,900000,900000,1400000,1500000,1700000,1900000,2200000,2200000,2400000,2300000,2300000,2700000,2800000,2900000,2900000,2700000,2700000,3000000,3100000,73,82,82,127,136,155,173,200,200,218,209,209,245,255,264,264,245,245,273,282
"caf",143,"Afrique","Central African Republic","République centrafricaine",624000,624000,4300000,4300000,4400000,4500000,4500000,5000000,4600000,4700000,4700000,5600000,5000000,5100000,4700000,4700000,4800000,4900000,5600000,5700000,5300000,5500000,7,7,7,7,7,8,7,8,8,9,8,8,8,8,8,8,9,9,8,9
"cod",144,"Afrique","Democratic Republic of the Congo","République démocratique du Congo",2348000,2348000,62700000,62600000,66500000,68700000,67800000,67800000,69600000,71100000,71100000,73300000,79700000,82200000,84000000,86800000,89600000,92300000,99000000,102200000,109000000,112800000,27,27,28,29,29,29,30,30,30,31,34,35,36,37,38,39,42,44,46,48
"dom",145,"Amérique","Dominican Republic","République dominicaine",49000,49000,9000000,9400000,9900000,10100000,10200000,10000000,10200000,10300000,10300000,10500000,10600000,10800000,10900000,10700000,10800000,10900000,11200000,11300000,11400000,11500000,184,192,202,206,208,204,208,210,210,214,216,220,222,218,220,222,229,231,233,235
"cze",146,"Europe","Czech Republic","République tchèque",79000,79000,10300000,10300000,10400000,10500000,10500000,10500000,10600000,10500000,10500000,10600000,10600000,10600000,10600000,10700000,10700000,10700000,10500000,10400000,10700000,10600000,130,130,132,133,133,133,134,133,133,134,134,134,134,135,135,135,133,132,135,134
"rou",147,"Europe","Romania","Roumanie",239000,239000,21600000,21600000,21500000,21500000,21500000,21400000,21400000,21300000,21300000,19800000,19300000,19200000,19600000,19400000,19600000,19100000,19700000,19900000,19000000,18900000,90,90,90,90,90,90,90,89,89,83,81,80,82,81,82,80,82,83,79,79
"gbr",148,"Europe","United Kingdom","Royaume-Uni",245000,245000,60500000,61000000,61300000,6180000,61800000,62700000,62800000,64100000,64100000,65100000,65100000,65500000,66600000,67500000,67900000,68200000,67500000,67700000,69100000,69500000,247,249,250,25,252,256,256,262,262,266,266,267,272,276,277,278,276,276,282,284
"rus",149,"Europe","Russia","Russie",17095000,17095000,142300000,141700000,141900000,141800000,141200000,142800000,142700000,143500000,143500000,144300000,143400000,143400000,144000000,145900000,146000000,146000000,144700000,144400000,144800000,143900000,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,8,8,8,8
"rwa",150,"Afrique","Rwanda","Rwanda",26000,26000,9100000,9300000,9600000,9900000,10300000,10900000,11300000,11100000,11100000,11300000,11800000,12200000,12500000,12600000,12900000,13200000,13800000,14000000,14200000,14500000,350,358,369,381,396,419,435,427,427,435,454,469,481,485,496,508,531,538,546,558
"lca",151,"Amérique","Saint Lucia","Sainte-Lucie",1000,1000,,,,,,,,170000,170000,180000,186000,188000,4200000,183000,184000,184000,180000,180000,180000,180000,,,,,,,,170,170,180,186,188,4200,183,184,184,180,180,180,180
"kna",152,"Amérique","Saint Kitts and Nevis","Saint-Christophe-et-Niévès",400,400,,,,,,,,50000,50000,50000,50000,50000,54821,54000,53000,53000,53500,54700,54700,50000,,,,,,,,125,125,125,125,125,137,135,132,132,134,137,137,125
"vct",153,"Amérique","Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines",500,500,,,,,,,,110000,110000,110000,110000,110000,110000,111000,111000,111000,104000,104000,111000,100000,,,,,,,,220,220,220,220,220,220,222,222,222,208,208,222,200
"slb",154,"Océanie","Solomon Islands","Salomon",29000,29000,,,,520000,530000,600000,600000,580000,580000,600000,595000,606000,623000,670000,690000,704000,724000,740000,819000,839000,,,,18,18,21,21,20,20,21,21,21,21,23,24,24,25,26,28,29
"slv",155,"Amérique","El Salvador","Salvador",21000,21000,7000000,6900000,7200000,7300000,6200000,6200000,6300000,6300000,6300000,6400000,6100000,6200000,6400000,6500000,6500000,6500000,6300000,6300000,6300000,6300000,333,329,343,348,295,295,300,300,300,305,290,295,305,310,310,310,300,300,300,300
"wsm",156,"Océanie","Samoa","Samoa",28000,28000,,,,190000,180000,200000,200000,190000,190000,190000,195000,196000,198000,197000,198000,200000,222000,226000,218000,219000,,,,7,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8
"smr",157,"Europe","San Marino","Saint-Marin",66,66,,,,,,,,30000,30000,30000,32000,32000,33328,33400,33600,34000,34000,35000,33600,34130,,,,,,,,455,455,455,485,485,505,506,509,515,515,530,509,517
"stp",158,"Afrique","Sao Tome and Principe","São-Tomé-et-Principe",1000,1000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,194000,198000,209000,220000,220000,223000,223000,232000,236000,240000,200,200,200,200,200,200,200,200,200,200,194,198,209,220,220,223,223,232,236,240
"sen",159,"Afrique","Senegal","Sénégal",197000,197000,11900000,12400000,12700000,12500000,12900000,12800000,13100000,13500000,13500000,14700000,15600000,16100000,16300000,16300000,16700000,17100000,17300000,17700000,18500000,18900000,60,63,64,63,65,65,66,69,69,75,79,82,83,83,85,87,88,90,94,96
"srb",160,"Europe","Serbia","Serbie",102000,102000,9500000,9500000,7400000,7300000,7300000,7300000,7300000,7100000,7100000,7100000,8800000,8800000,8800000,8800000,8700000,8700000,7200000,7100000,6700000,6600000,93,93,73,72,72,72,72,70,70,70,86,86,86,86,85,85,71,70,66,65
"syc",161,"Afrique","Seychelles","Seychelles",500,500,100000,100000,100000,100000,100000,100000,100000,90000,90000,90000,97000,98000,95000,100000,100000,90000,107000,108000,130000,133000,200,200,200,200,200,200,200,180,180,180,194,196,190,200,200,180,214,216,260,266
"sle",162,"Afrique","Sierra Leone","Sierra Leone",72000,72000,5700000,5300000,5500000,5700000,5800000,5400000,6100000,6200000,6200000,6500000,6600000,6700000,7700000,7800000,8000000,8100000,8600000,8700000,8600000,8800000,79,74,76,79,81,75,85,86,86,90,92,93,107,108,111,112,119,121,119,122
"sgp",163,"Asie","Singapore","Singapour",600,600,4500000,4600000,4800000,5100000,4800000,5200000,5200000,5400000,5400000,5500000,5700000,5800000,5800000,5800000,5800000,5900000,6000000,6000000,5800000,5800000,7500,7667,8000,8500,8000,8667,8667,9000,9000,9167,9500,9667,9667,9667,9667,9833,10000,10000,9667,9667
"svk",164,"Europe","Slovakia","Slovaquie",49000,49000,5400000,5400000,5400000,5400000,5400000,5400000,5500000,5400000,5400000,5400000,5400000,5400000,5400000,5500000,5500000,5400000,5600000,5700000,5500000,5400000,110,110,110,110,110,110,112,110,110,110,110,110,110,112,112,110,114,116,112,110
"svn",165,"Europe","Slovenia","Slovénie",20000,20000,2000000,2000000,2000000,2000000,2000000,2100000,2000000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,100,100,100,100,100,105,100,105,105,105,105,105,105,105,105,105,105,105,105,105
"som",166,"Afrique","Somalia","Somalie",638000,638000,8900000,8800000,9000000,9100000,9400000,9900000,9800000,10400000,10400000,11100000,11000000,11400000,15100000,15400000,15900000,16300000,16300000,18100000,19000000,19600000,14,14,14,14,15,16,15,16,16,17,17,18,24,24,25,26,26,28,30,31
"sdn",167,"Afrique","Sudan","Soudan",2509000,1861500,40200000,38600000,39400000,42300000,43200000,34900000,34900000,34200000,34200000,40900000,41100000,42200000,41500000,42800000,42800000,44900000,46900000,48100000,50400000,51600000,16,15,16,17,17,19,19,18,18,22,22,23,22,23,23,24,25,26,27,28
"ssd",168,"Afrique","South Sudan","Soudan du Sud",,647500,,,,,,8300000,8300000,9800000,9800000,12200000,12700000,13100000,12900000,11100000,11200000,11300000,10900000,11000000,11900000,12100000,,,,,,13,13,15,15,19,20,20,20,17,17,17,17,17,18,19
"lka",169,"Asie","Sri Lanka","Sri Lanka",66000,66000,19900000,20100000,20300000,20500000,20400000,20900000,20900000,20500000,20500000,20900000,20800000,20900000,21000000,21300000,21400000,21400000,21800000,21900000,23100000,23200000,302,305,308,311,309,317,317,311,311,317,315,317,318,323,324,324,330,332,350,352
"swe",170,"Europe","Sweden","Suède",450000,450000,9100000,9100000,9200000,9300000,9300000,9400000,9500000,9600000,9600000,9800000,10500000,10500000,10000000,10000000,10100000,10100000,10500000,10600000,10600000,10600000,20,20,20,21,21,21,21,21,21,22,23,23,22,22,22,22,23,24,24,24
"che",171,"Europe","Switzerland","Suisse",41000,41000,7500000,7500000,7600000,7800000,7600000,7900000,7700000,8100000,8100000,8300000,8400000,8500000,8500000,8600000,8600000,8700000,8700000,8700000,8900000,8900000,183,183,185,190,185,193,188,198,198,202,205,207,207,210,210,212,212,212,217,217
"sur",172,"Amérique","Suriname","Suriname",163000,163000,500000,500000,500000,500000,500000,500000,500000,600000,600000,600000,548000,552000,556000,581000,587000,592000,592000,623000,634000,640000,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4
"swz",173,"Afrique","Eswatini (ex-Swaziland)","Eswatini (ex-Swaziland)",17000,17000,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1300000,1300000,1300000,1400000,1100000,1100000,1100000,1200000,1200000,1200000,2500000,65,65,65,71,71,71,71,71,71,76,76,76,82,65,65,65,71,71,71,147
"syr",174,"Asie","Syria","Syrie",185000,185000,19500000,19900000,19900000,21900000,22500000,22500000,21100000,21900000,21900000,17100000,18600000,18900000,18300000,17100000,19400000,18200000,22100000,23200000,24600000,25600000,105,108,108,118,122,122,114,118,118,92,101,102,99,92,105,98,119,125,133,138
"tjk",175,"Asie","Tajikistan","Tadjikistan",143000,143000,7000000,7100000,7300000,7500000,7000000,7500000,7100000,8100000,8100000,8500000,8600000,8900000,9100000,9300000,9500000,9700000,10000000,10100000,10500000,10700000,49,50,51,52,49,52,50,57,57,59,60,62,64,65,66,68,70,71,73,75
"twn",176,"Asie","Taiwan","Taïwan",36000,36000,22800000,22900000,23000000,23100000,23100000,23200000,23300000,23400000,23400000,23500000,23400000,23400000,23700000,23800000,23800000,23800000,23900000,23900000,23200000,23100000,633,636,639,642,642,644,647,650,650,653,650,650,658,661,661,661,664,664,644,642
"tza",177,"Afrique","Tanzania","Tanzanie",946000,946000,36500000,38700000,40200000,43700000,45000000,46200000,47700000,49100000,49100000,52300000,55100000,56900000,59100000,58000000,58000000,61500000,65500000,67400000,68500000,70500000,39,41,42,46,48,49,50,52,52,55,58,60,62,61,61,65,69,71,72,75
"tcd",178,"Afrique","Chad","Tchad",1285000,1285000,10000000,10800000,10100000,10300000,11500000,11500000,11800000,12200000,12200000,13700000,14500000,15000000,15300000,15900000,16400000,16900000,17700000,18200000,20200000,21000000,8,8,8,8,9,9,9,9,9,11,11,12,12,12,13,13,14,14,16,16
"tha",179,"Asie","Thailand","Thaïlande",514000,514000,65200000,65700000,66100000,67800000,68100000,69500000,69900000,66200000,66200000,65100000,68100000,68300000,69200000,69600000,69800000,69900000,71700000,71800000,71600000,71900000,127,128,129,132,132,135,136,129,129,127,132,133,135,135,136,136,139,140,139,140
"tls",180,"Asie","Timor-Leste","Timor-Oriental",15000,15000,1000000,1000000,1100000,1100000,1200000,1200000,1200000,1100000,1100000,1200000,1200000,1200000,1300000,1300000,1300000,1300000,1300000,1300000,1400000,1400000,67,67,73,73,80,80,80,73,73,80,80,80,87,87,87,87,87,87,93,93
