"year","origin_id","export_val","import_val","Export_ton","Import_ton"
1998,"ago",3817972759,1932848936,29837327,1301745
1998,"bdi",74821380,201420646,26758,224850
1998,"ben",422471871,1228189970,406494,2034825
1998,"bfa",308761455,1014923016,409673,1548895
1998,"caf",273528083,133739026,131322,158695
1998,"civ",5426710775,3410284375,7961576,9407347
1998,"cmr",2050636557,1748303972,7991900,3616247
1998,"cod",1067721321,769327701,1040692,705244
1998,"cog",1537430378,881453075,9706035,677496
1998,"com",12302256,154431909,3017,161897
1998,"cpv",51186313,266659771,64753,444834
1998,"dji",25866401,423500173,105421,418034
1998,"dza",11150747376,10863997085,82692674,14971791
1998,"egy",5876572221,21304073551,28270551,39749916
1998,"eri",29659079,256529166,55940,423734
1998,"eth",707254966,2049766785,297950,3736240
1998,"gab",2609760531,1395854191,21794535,977605
1998,"gha",1932606427,3511052264,2430595,10184332
1998,"gin",1062851240,769029161,16168905,1298417
1998,"gmb",163702665,409216407,74772,693477
1998,"gnb",65417988,69638656,113711,273356
1998,"gnq",447095575,223062166,3619113,144291
1998,"ken",2248164617,3770544869,3017930,7407971
1998,"lbr",1273850923,5488600393,1743449,5100374
1998,"lby",7354941395,4329873917,68775081,6822762
1998,"mar",8508123813,11265137345,24101516,25755137
1998,"mdg",772792715,769326099,674895,1295610
1998,"mli",615573985,1019631156,479436,1920427
1998,"moz",260046531,782592591,549271,802205
1998,"mrt",591921075,547435149,10930217,1620500
1998,"mus",1921218608,2469925918,1404176,2969687
1998,"mwi",612480517,429448118,676379,139711
1998,"ner",570276329,534239955,1061976,901069
1998,"nga",11819019252,8044735483,106174146,14295486
1998,"rwa",115929510,392634871,49274,429562
1998,"sdn",780320584,2713819015,1200837,4419420
1998,"sen",875598576,1886211759,2423878,4046292
1998,"shn",7769860,33085171,2069,53417
1998,"sle",119704679,151337030,25914,180213
1998,"som",58886772,135241953,91869,413480
1998,"stp",14471490,44559173,10965,56592
1998,"syc",145284950,487635725,98508,7716644
1998,"tcd",140960854,120068525,86242,92282
1998,"tgo",480122965,906517030,3726214,2555191
1998,"tun",7020431533,9362497203,10059432,12624080
1998,"tza",962065559,2109557202,832759,3105077
1998,"uga",727215599,1250034706,743692,3334446
1998,"za1",31492250462,24419352993,107721940,19635701
1998,"zmb",1097844661,1231304977,809443,14518976
1998,"zwe",1761490418,1771276987,4857305,397688
