"year","origin_id","export_val","import_val","Export_ton","Import_ton"
1996,"ago",4658473365,1843979101,27257106,1123221
1996,"bdi",104619176,180010851,97788,160069
1996,"ben",274512373,1018065194,397275,1042626
1996,"bfa",319233199,676253120,336105,1070576
1996,"caf",185067439,169537044,91199,106124
1996,"civ",5349479687,3143297960,8547613,7275902
1996,"cmr",2396552175,1412783725,8150076,2472933
1996,"cod",1611287058,1118294946,1404837,825914
1996,"cog",1596285742,1341300061,5612486,403072
1996,"com",22353658,164083806,4896,142846
1996,"cpv",16996978,292092874,5689,498331
1996,"dji",18098186,256934212,10392,236047
1996,"dza",13949405010,10102097108,91644904,12053559
1996,"egy",6899617315,17397818310,31733992,29035157
1996,"eri",27879222,166707339,5255,166126
1996,"eth",461221913,1120524425,189516,819321
1996,"gab",3681380218,1014100897,22124598,520343
1996,"gha",2630323073,3061809015,2566592,3590930
1996,"gin",1049000259,863392040,15843469,1776046
1996,"gmb",179221063,352354675,39998,764203
1996,"gnb",71154996,89023576,56127,239819
1996,"gnq",192565545,140818986,955064,283752
1996,"ken",1819171037,2370060574,2211862,1983797
1996,"lbr",1131128994,3156891323,308085,14163054
1996,"lby",10924272182,4787898959,67960896,6047034
1996,"mar",7947962295,9353531894,21593156,22165917
1996,"mdg",709224207,761656088,499998,1228313
1996,"mli",486370865,959452454,295779,1497201
1996,"moz",227262724,921619371,252327,2883676
1996,"mrt",683040410,540025758,10871998,1399404
1996,"mus",1794902611,2637912219,977924,2572599
1996,"mwi",570098081,399679123,2864931,99696
1996,"ner",474842873,427676772,570033,585336
1996,"nga",17624812965,7147958607,103544024,11107269
1996,"rwa",70889836,339330994,29484,451703
1996,"sdn",571497152,1435936054,903117,3317903
1996,"sen",820897245,2173671223,2326760,4375734
1996,"shn",6889154,37859426,8505,126821
1996,"sle",213071922,234879532,93279,519565
1996,"som",140835529,101139645,187342,265725
1996,"stp",8519327,34909494,5798,50332
1996,"syc",160953735,396369148,143984,219703
1996,"tcd",120959229,142594496,61271,178223
1996,"tgo",512898466,901516702,4116674,2065606
1996,"tun",6315614426,8406865165,10983714,13173380
1996,"tza",671025413,1554932200,685256,2874851
1996,"uga",1038814581,1079356374,637745,1388411
1996,"za1",30988126661,26364521679,87633503,19889789
1996,"zmb",1272039679,991550502,489414,171375
1996,"zwe",1915274935,2234273704,2075964,370236
