"Country Name","Country Code","Continent","SE.PRM.ENRL","SE.PRM.UNE","SE.SEC.ENRL"
"Mariannes","mnp","Océanie","","",""
"Mozambique","moz","Afrique","","",""
"Mauritanie","mrt","Afrique",861768,"",""
"Maurice","mus","Afrique",89001,1399,""
"Malawi","mwi","Afrique",4623698,"",1160938
"Malaisie","mys","Asie",3092312,308987,2626044
"Namibie","nam","Afrique",564723,3788,228486
"Nouvelle-Calédonie","ncl","Océanie","","",""
"Niger","ner","Afrique",3022704,1779825,910184
"Nigéria","nga","Afrique",33415352,9070702,15198844
"Nicaragua","nic","Amérique",880080,53481,463660
"Pays-Bas","nld","Europe",1143261,5698,1610754
"Norvège","nor","Europe",437855,5825,466864
"Népal","npl","Asie",3610603,57234,3695560
"Naoero","nru","Océanie",2054,8,1438
"Nouvelle-Zélande","nzl","Océanie",378663,8998,540275
"Oman","omn","Asie",345401,"",513330
"Pakistan","pak","Asie",24613073,8389473,16970015
"Panama","pan","Amérique",442354,41370,""
"Pérou","per","Amérique",3775989,"",3209642
"Philippines","phl","Asie",12953380,1470794,12594216
"Palaos","plw","Océanie",1401,114,1398
"Papouasie-Nouvelle-Guinée","png","Asie",1654794,"",655030
"Pologne","pol","Europe",1598937,1874,3283716
"Puerto Rico (US)","pri","Amérique",150261,22174,236258
"Corée, République démocratique de","prk","Asie","","",""
"Portugal","prt","Europe",598661,2741,741752
"Paraguay","pry","Amérique",706905,97283,569965
"Cisjordanie et Gaza","pse","Asie",514700,53793,868232
"Polynésie française","pyf","Océanie","","",""
"Qatar","qat","Asie",171563,12367,142105
"Roumanie","rou","Europe",873154,160246,1425336
"Fédération de Russie","rus","Asie",7554896,187975,10798220
"Rwanda","rwa","Afrique",2838343,9134,819262
"Arabie saoudite","sau","Asie","","",""
"Soudan","sdn","Afrique","","",""
"Sénégal","sen","Afrique",2340219,658669,1283240
"Singapour","sgp","Asie",238816,504,163746
"Îles Salomon","slb","Océanie",95872,38710,""
"Sierra Leone","sle","Afrique",2017170,"",1162280
"El Salvador","slv","Amérique",608681,95913,442494
"Saint-Marin","smr","Europe",1462,104,1715
"République fédérale de Somalie","som","Afrique",464607,"",115828
"Serbie","srb","Europe","","",""
"Soudan du Sud","ssd","Afrique","","",""
"Sao Tomé-et-Principe","stp","Afrique","","",""
"Suriname","sur","Amérique",54706,26242,63941
"République slovaque","svk","Europe",242236,2889,466120
"Slovénie","svn","Europe",132709,1904,160956
"Suède","swe","Europe",867281,3210,988482
"Eswatini","swz","Afrique",222351,"",""
"Sint Maarten (Dutch part)","sxm","Amérique",3913,196,""
"Seychelles","syc","Afrique",9598,329,7861
"République arabe syrienne","syr","Asie",2172256,745174,1353625
"Îles Turques-et-Caïques","tca","Amérique",3511,"",2846
"Tchad","tcd","Afrique",2955477,893810,750180
"Togo","tgo","Afrique",1664472,10944,915214
"Thaïlande","tha","Asie",4611695,72338,4424066
"Tadjikistan","tjk","Asie",994877,"",1257135
"Turkménistan","tkm","Asie",633319,17294,1024078
"Timor-Leste","tls","Asie",227656,13085,""
"Tonga","ton","Océanie",16114,"",15981
"Trinité-et-Tobago","tto","Amérique",128993,38105,88408
"Tunisie","tun","Afrique",1337527,14015,""
"Turquie","tur","Asie",5535531,32563,12313798
"Tuvalu","tuv","Océanie",1418,5,1179
"Tanzanie","tza","Afrique",11428969,1682043,""
"Ouganda","uga","Afrique","","",""
"Ukraine","ukr","Europe",1524174,193616,2645164
"Uruguay","ury","Amérique",287527,98,337808
"États-Unis","usa","Amérique",23832746,"",25345304
"Ouzbékistan","uzb","Asie",2543859,130836,4112120
"Saint-Vincent-et-les Grenadines","vct","Amérique",12163,"",9707
"Venezuela","ven","Amérique",3540946,17643,2695688
"Îles Vierges britanniques","vgb","Amérique",2499,441,2162
"Îles Vierges (EU)","vir","Amérique","","",""
"Viet Nam","vnm","Asie",9192690,147000,""
"Vanuatu","vut","Océanie",55233,1407,61360
"Samoa","wsm","Océanie",35003,1246,""
"Yémen, Rép. du","yem","Asie","","",""
"Afrique du Sud","zaf","Afrique",7521185,448146,5500042
"Zambie","zmb","Afrique","","",""
"Zimbabwe","zwe","Afrique",2953307,289420,""
