"Key","Isolation Index","Island","Country","Territory","ISO_3","ISO_3","ISO_3","Ancien ISO_3","Island or Archipelago","Nearest Island distance","Group distance","Continent","Nearest Continent distance","Area","Area (km²)","Shoreline (km)","Coastal Index","Altitude (m)","Scale","Latitude","Longitude","Population","Alternate Names 1","Alternate Names 2","Alternate Names 3","Alternate Names 4","Alternate Names 5","Alternate Names 6","Alternate Names 7","Alternate Names 8","Ordination PNUE","Ordination Mathematica","Characteristic","Claimed by","Included Islands","Percent Country 1","Percent Country 2","Percent Country 3","Type","Nombre d'identifiants - Ile"
24.,94.69084410423059,"Tutuila Island","United States of America","American Samoa","asm","","","","Samoa Islands",60.,600.,"Australia",3900.,"Pacific region",142.3,101.3,0.7118763176387912,653.,1.e6,-14.295,-170.7,55876.,"","","","","","","","",1856.,1.,"","","","","","","sur la carte",1.
25.,"inc","Adams Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-66.549357,92.58297,0.,"","","","","","","","","",3.,"","","","","","","pas sur la carte",1.
26.,9.486832980505138,"Adelaide Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","",10.,10.,"Antarctica",10.,"Southern region",4463.1,369.1,0.08270036521700164,2317.,2.5e6,-67.2,-68.5,100.,"Isla Adelaida","Isla Belgrano","","","","","","",340.,4.,"","","","","","","sur la carte",1.
27.,13.416407864998739,"Alexander Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","",20.,20.,"Antarctica",20.,"Southern region",49070.,2185.4,0.044536376604850214,2987.,1.2e7,-71.099106,-70.070599,0.,"Alexander I Island","Alexander I Land","Alexander Land","Alexander the First Island","Isla Alejandro I","","","",341.,5.,"","","","","","","sur la carte",1.
28.,9.486832980505138,"Anvers Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","Palmer Archipelago",10.,10.,"Antarctica",10.,"Southern region",2432.1,378.9,0.15579129147650178,2821.,2.5e6,-64.6,-63.5,50.,"Antwerp Island","Antwerpen Island","Isla Amberes","","","","","",342.,6.,"","","","","","","sur la carte",1.
29.,"inc","Ash Point","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region",2.01,"inc","inc","inc","inc",-62.46806,-59.65528,0.,"","","","","","","","","",84.,"","","","","","","pas sur la carte",1.
30.,"inc","Avian Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-67.770833,-68.886111,0.,"","","","","","","","",1927.,"","","","","","","","pas sur la carte",1.
31.,"inc","Bear Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",3500.,"inc","inc","inc","inc",-68.18,-67.06,0.,"Isla Teniente Gonzalez","","","","","","","","",7.,"","","","","","","pas sur la carte",1.
32.,"inc","Beaver Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-67.116667,50.783333,0.,"","","","","","","","","",8.,"","","","","","","pas sur la carte",1.
33.,26.32455532033676,"Berkner Island","Administered under the Antarctic Treaty System by Argentina and United Kingdom","Antarctic Islands","ata","","","","",40.,100.,"Antarctica",100.,"Southern region",43873.1,1040.2,0.023709288835299994,975.,1.2e7,-79.34,-48.12,"inc","Berkner","","","","","","","",343.,9.,"","","","","","","pas sur la carte",1.
