"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2006,"ago",32634006929,12330742067,70075117,6792705
2006,"bdi",262982923,438916607,69519,326568
2006,"ben",654239866,2158269699,901184,3193439
2006,"bfa",688202186,1658447153,878666,2330508
2006,"bwa",4289620181,3134111639,835977,3035038
2006,"caf",167367136,254498687,191325,303775
2006,"civ",9415034451,5958424025,10655459,8701669
2006,"cmr",4880234965,3658162457,8331954,5159546
2006,"cod",1498526270,2985570094,941767,2253577
2006,"cog",9493719609,1854309885,18910336,1331175
2006,"com",51238784,173718733,13839,375635
2006,"cpv",145211543,618397900,195751,735676
2006,"dji",207203937,1120797351,190022,1235969
2006,"dza",57555977289,24222191442,137108156,25729863
2006,"egy",22786789228,32013035249,49039182,46919317
2006,"eri",18751532,212142953,12076,229508
2006,"eth",967879295,5798990604,592255,5044001
2006,"gab",4615381698,1965985080,18946673,1489983
2006,"gha",4199218195,6172416992,5042416,10664315
2006,"gin",1468052768,1622645496,16288866,2349266
2006,"gmb",48715367,705486665,59586,1304265
2006,"gnb",53706570,154388272,74554,211220
2006,"gnq",8422894089,1453870193,17895033,796356
2006,"ken",4044918343,8253575879,3413192,9548630
2006,"lbr",1719652707,5867054185,1283531,4083196
2006,"lby",38452716230,9012844929,77572336,10519796
2006,"lso",743175138,1000259273,101454,490404
2006,"mar",16201510235,25824329244,30234730,39419849
2006,"mdg",1275451535,1830334914,504192,1874028
2006,"mli",1683441440,2138831640,457590,2936383
2006,"moz",2945074377,3002882832,3053204,5673296
2006,"mrt",1747959705,1474928811,12729561,2290774
2006,"mus",2488957136,3975390089,1063385,4923082
2006,"mwi",813341864,1393579037,460979,1265502
2006,"myt",9107380,385497452,3171,303671
2006,"nam",3974307329,2965529191,2107445,2386461
2006,"ner",592396772,1095826777,1736737,1185687
2006,"nga",62807916478,30083409222,126370076,42529040
2006,"rwa",187733161,564943865,76898,567036
2006,"sdn",9617330428,9680674728,16161606,6807905
2006,"sen",1350375760,4204848466,2563582,6109203
2006,"shn",14562526,76875243,1928,67660
2006,"sle",293988170,456438025,977522,989807
2006,"som",153672280,405048959,220412,918262
2006,"stp",22511323,102082036,6744,140530
2006,"swz",1725226657,1376334575,1611764,1898763
2006,"syc",895943130,2194196759,412230,862138
2006,"tcd",2506408550,397973196,5864001,286080
2006,"tgo",719212108,2529358850,3334509,3535621
2006,"tun",13774473504,16198664211,13151794,16979284
2006,"tza",2554410651,5010694524,1603889,5547543
2006,"uga",1116630402,2817929928,726940,3647548
2006,"zaf",76341066490,70547336036,170682907,56320850
2006,"zmb",5203325861,3280790757,1533476,2871133
2006,"zwe",3901067004,2316618543,2598266,2571379
