"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2004,"ago",14033113838,7057847643,46273321,4573524
2004,"bdi",87954132,251045512,29820,327306
2004,"ben",531192158,1637118286,3417825,2446822
2004,"bfa",698543358,1190078691,825669,1829716
2004,"bwa",3651700335,3255636280,987678,2470777
2004,"caf",230854224,140651099,230536,132831
2004,"civ",7854785805,5012506874,8786356,8340490
2004,"cmr",3405841865,2645055843,7812119,4438396
2004,"cod",1210327450,1367003928,809558,1603757
2004,"cog",4229780877,1137077745,10104147,952436
2004,"com",40089130,119858528,14948,181691
2004,"cpv",24461092,465664566,5834,650803
2004,"dji",27295159,622983081,94375,688699
2004,"dza",34523959608,20679248620,120209716,23469626
2004,"egy",12914108250,22005609545,36250382,36051310
2004,"eri",10923330,255645091,7866,487886
2004,"eth",797495564,3270079015,686484,3757916
2004,"gab",4494587659,1211710439,13090614,843993
2004,"gha",2304504383,3823059126,3707167,5776325
2004,"gin",1025296579,1229830822,14040670,2227339
2004,"gmb",57354611,573933926,54326,1226001
2004,"gnb",117582392,123267821,199305,299016
2004,"gnq",4262681534,668804085,12789506,603621
2004,"ken",3208294453,3755276165,4210003,5569867
2004,"lbr",1084195636,3880246825,1149069,3448877
2004,"lby",19320157337,6958253283,64733599,8645368
2004,"lso",1002263435,1058546968,150881,713983
2004,"mar",13062469979,19069048209,25364208,33354393
2004,"mdg",1430838953,1893955799,461280,1986346
2004,"mli",1038477745,1641441433,399534,2551221
2004,"moz",2802195512,1965457988,2483284,6677831
2004,"mrt",943420493,1818387196,12305687,2306952
2004,"mus",2204313456,3272132024,1089316,5492110
2004,"mwi",666514236,1073707651,509055,1026565
2004,"myt",7800356,305909894,2242,260604
2004,"nam",2400747045,2591729115,1228169,1683229
2004,"ner",555385528,861230426,417331,1290639
2004,"nga",34765180282,14995600329,112877820,19839675
2004,"rwa",432330892,426885992,1045864,489633
2004,"sdn",5320964669,5430099117,13828340,5899488
2004,"sen",1273989420,3318776756,2635026,6037217
2004,"shn",15663549,38250608,3228,35062
2004,"sle",233798560,443246291,84799,745182
2004,"som",114698956,264569735,158099,965520
2004,"stp",14098363,70016961,12179,117130
2004,"swz",1985386241,1921603231,1383061,2379219
2004,"syc",666825502,1376532969,420737,670559
2004,"tcd",1384036270,320873636,5155772,182477
2004,"tgo",708492421,1687624377,3560033,2699899
2004,"tun",11317003641,13583798213,11628376,16459764
2004,"tza",2018907386,3127099450,1717595,4313761
2004,"uga",875489625,1956786264,693675,3010940
2004,"zaf",62510109489,48177323922,155097571,52318054
2004,"zmb",2362531326,2123006468,1651616,2426220
2004,"zwe",2580227067,2791599369,3370225,3079921
