"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2010,"ago",54162750081,19489416365,96441124,12597441
2010,"bdi",127947432,532116419,54986,439852
2010,"ben",1630684663,4718972211,1986812,5063735
2010,"bfa",1790691487,2490152718,1114838,2722722
2010,"bwa",3256257940,7037098365,4684472,3990469
2010,"caf",159269616,500844490,143566,484295
2010,"civ",11544576973,8479247835,8839440,9331649
2010,"cmr",5123850895,5473894346,6450459,6272551
2010,"cod",5502429213,4165551408,2953680,3301496
2010,"cog",13286777206,5317369947,19431080,1841758
2010,"com",35213030,283212546,25820,909299
2010,"cpv",195829324,872659349,135538,872021
2010,"dji",87118290,1954178173,24380,2033967
2010,"dza",61402412307,43943213018,134492986,30709791
2010,"egy",34614143180,65633957959,57791535,86750133
2010,"eri",15533781,425267381,8206,315791
2010,"eth",1903646032,9320072181,879636,7441729
2010,"gab",7845629374,3627078279,15176002,1883077
2010,"gha",7981189492,10558759694,3711412,8752210
2010,"gin",2080004503,2036712547,18126025,2499115
2010,"gmb",119701092,802452559,198934,1210622
2010,"gnb",167016387,226750945,226257,357104
2010,"gnq",9493269114,5060397236,16281313,1581491
2010,"ken",5531409473,13174572617,4060124,11549319
2010,"lbr",981202705,13638101165,1424407,6047022
2010,"lby",39048817866,20702908260,68776417,17805511
2010,"lso",777832483,1300654626,103848,751209
2010,"mar",21301255581,37087490320,26147053,44646596
2010,"mdg",1267322504,2708075551,811867,2037123
2010,"mli",2131749278,4621348613,645682,4667771
2010,"moz",4312437856,4524712168,4217021,5405510
2010,"mrt",3097625480,2637306879,17008186,3443697
2010,"mus",2520782006,4961389748,1185515,5110253
2010,"mwi",1442888502,2255662215,611545,1486033
2010,"myt",9479104,340135134,4375,181518
2010,"nam",5843564474,6516600669,3089608,5129595
2010,"ner",796255244,2464808664,335889,3545517
2010,"nga",95980885835,53572806744,139272166,82036827
2010,"rwa",346686858,1486190863,142858,1239401
2010,"sdn",11300521142,14196976601,16583060,10801135
2010,"sen",2297530148,5688026391,3922084,7739983
2010,"shn",20605735,58205345,1686,46156
2010,"sle",356216809,767187480,1523080,848669
2010,"som",293733634,689951800,282585,1163915
2010,"stp",19115919,194827614,3731,826178
2010,"swz",2274118874,1940938552,1591094,1208733
2010,"syc",549697953,2987806425,160943,1331564
2010,"tcd",3097947225,1320013512,5162054,897969
2010,"tgo",1474488911,2987365375,3340602,3788468
2010,"tun",18827492506,23687140853,14633114,21648031
2010,"tza",4449641229,8535775425,2267070,8422294
2010,"uga",1840571073,4907542031,1845009,4876529
2010,"zaf",100389537602,89055530035,181266792,55695896
2010,"zmb",9859094340,5564275398,2312260,3056199
2010,"zwe",2773118425,5470520659,2022245,3880837
