"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2018,"ago",43991184764,16100102283,78491710,9674980
2018,"bdi",272947870,872575286,88178,1015223
2018,"ben",1651009091,5721129810,1544191,6678754
2018,"bfa",5748859515,4779269479,1276564,6264837
2018,"bwa",6917315103,6661412246,1238000,4067701
2018,"caf",153977372,552353693,299342,372591
2018,"civ",14162391465,12056981703,10813603,16193526
2018,"cmr",5421526357,7305991571,7720115,8762427
2018,"cod",18669953517,9362145389,4110046,6635074
2018,"cog",13471262574,4196480127,18973383,2278722
2018,"com",107985762,331217021,36454,452742
2018,"cpv",131452716,887278821,39203,924108
2018,"dji",144174217,5659417998,40809,7116232
2018,"dza",42062468189,44993471279,83740852,38536636
2018,"egy",37577711055,92026263464,52501858,107021657
2018,"eri",510178759,412487769,316340,504624
2018,"eth",2791674150,16396357204,1412559,11566612
2018,"gab",10762217124,3640797855,16641208,2653621
2018,"gha",21827803179,14296057364,17158717,17320077
2018,"gin",6185714106,4261291384,53837570,5490342
2018,"gmb",128739313,1408817212,132747,2111061
2018,"gnb",238295326,357283848,167024,641236
2018,"gnq",6590759870,1031225413,13187745,735059
2018,"ken",7059413489,19373992327,5130400,20876682
2018,"lbr",1641929858,6046464304,4647244,3709292
2018,"lby",31795632158,13251535344,65190937,12652587
2018,"lso",1011014026,1562853840,142207,1254054
2018,"mar",35007548855,51956346345,38205059,62253301
2018,"mdg",3960073094,4328890390,1217399,6164903
2018,"mli",5214426929,5386806980,1066949,6566498
2018,"moz",10098540463,10774770007,29914099,26868237
2018,"mrt",4650042431,4282550065,23742299,5492053
2018,"mus",3011024620,6145596176,1321074,5837590
2018,"mwi",1002784929,2694052138,585514,1977623
2018,"nam",8074031201,8567004240,2221212,4076991
2018,"ner",966280744,2765041804,828356,2824075
2018,"nga",65088503225,45596590737,113588520,31606318
2018,"rwa",1457582002,2993996594,315781,2985919
2018,"sdn",4728711351,12650071502,4306934,13918275
2018,"sen",4816960144,10524243063,6926949,14825754
2018,"shn",24133804,37686127,1643,21191
2018,"sle",842803203,1362266124,4521707,1931524
2018,"som",490241030,3486590000,109596,3491358
2018,"ssd",1733617360,830196251,3669187,894177
2018,"stp",24152968,157321134,8818,141336
2018,"swz",2158611292,2015801529,1905970,1932875
2018,"syc",978139040,1842098718,269577,709580
2018,"tcd",1706778873,871139525,2923094,520386
2018,"tgo",3783935879,8086508781,6669386,9198204
2018,"tun",18556681488,23467783741,11443146,18397907
2018,"tza",6059318269,10740798566,3272910,9956776
2018,"uga",4349881533,7210453282,3464755,8040746
2018,"zaf",127806835389,92412200476,244944625,65997482
2018,"zmb",12355400716,10119668651,5188577,5918670
2018,"zwe",4684177228,6688299713,3142113,4728420
