"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2000,"abw",53910552,133426508,1728777433,712573787,1782687985,846000295
2000,"afg",41999710,110897606,72731535,309273453,114731245,420171059
2000,"ago",43760129,540487207,7928382977,1367543112,7972143106,1908030319
2000,"aia",1262098,16899310,5554731,71550488,6816829,88449798
2000,"alb",41114783,254720978,304298966,939432587,345413749,1194153565
2000,"and",5748545,205500024,49908479,841702247,55657024,1047202271
2000,"ant",73341625,253896689,1649409782,4035923274,1722751407,4289819963
2000,"are",1351840526,2933103482,34459311680,29010342562,35811152206,31943446044
2000,"arg",12723424627,1406192293,15338531825,24040095116,28061956452,25446287409
2000,"arm",28646866,242599709,319253151,695171680,347900017,937771389
2000,"asm",6485620,21998361,9474708,82991165,15960328,104989526
2000,"atf",636,845310,113811,6024140,114447,6869450
2000,"atg",8429763,79893345,142661396,829871054,151091159,909764399
2000,"aus",14573404834,3545414969,54259609186,68563559874,68833014020,72108974843
2000,"aut",3250645195,4204525462,55652774759,64880194749,58903419954,69084720211
2000,"aze",93786214,284741780,1723841118,1375445823,1817627332,1660187603
2000,"bdi",52182336,39560700,9374462,140766088,61556798,180326788
2000,"bel",14639892513,16182394581,138624972920,167588883272,153264865433,183771277853
2000,"ben",58721336,242324247,251715813,914907019,310437149,1157231266
2000,"bfa",62916320,118227928,252082933,713044848,314999253,831272776
2000,"bgd",491514699,1382363316,6753889627,7523423930,7245404326,8905787246
2000,"bgr",596364146,399924711,4850672262,5102430202,5447036408,5502354913
2000,"bhr",58146385,469982147,3537849218,2791704620,3595995603,3261686767
2000,"bhs",197196857,396867765,732116126,3679767621,929312983,4076635386
2000,"bih",33144917,570563507,857678609,2007046199,890823526,2577609706
2000,"blr",505875152,1055904764,6598023400,7382846953,7103898552,8438751717
2000,"blz",286985331,73294703,84720137,489370136,371705468,562664839
2000,"bmu",15505132,98272953,158300476,2759497773,173805608,2857770726
2000,"bol",448995432,275899377,1181324134,1849075275,1630319566,2124974652
2000,"bra",14986690118,4119845268,45639348452,58722889025,60626038570,62842734293
2000,"brb",80562127,188136359,564262367,1831372442,644824494,2019508801
2000,"brn",2453114,189394667,3611370130,1153118257,3613823244,1342512924
2000,"btn",2292921,1803847,21889328,26416664,24182249,28220511
2000,"bwa",76913096,312718120,3187077043,1816261408,3263990139,2128979528
2000,"caf",14086758,25590861,247109004,76945755,261195762,102536616
2000,"can",20382814073,12575078299,249826385511,222178942373,270209199584,234754020672
2000,"cck",73116,693533,1328772,5459759,1401888,6153292
2000,"che",2526666458,5231315851,90969726497,88455265376,93496392955,93686581227
2000,"chl",5336797512,1327107867,14192688896,16650938788,19529486408,17978046655
2000,"chn",18371716357,9511917112,372366878925,197043132195,390738595282,206555049307
2000,"civ",2465061581,583409190,2299816511,2468167874,4764878092,3051577064
