"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2023,"abw",69720655,433569121,98846230,997955165,168566885,1431524286
2023,"afg",1190670695,3022945811,489152222,3584694917,1679822917,6607640728
2023,"ago",190788504,2557743953,42156021711,14522762195,42346810215,17080506148
2023,"aia",787963,105946538,24748478,127201415,25536441,233147953
2023,"alb",529461001,1453365710,3795456301,7319042388,4324917302,8772408098
2023,"and",5031216,426012248,257513739,1541532156,262544955,1967544404
2023,"are",15719401865,23652244496,360781890091,367907447833,376501291956,391559692329
2023,"arg",40274169382,8120266109,29689852162,65490078434,69964021544,73610344543
2023,"arm",1148181116,1361033715,8082009316,12464328343,9230190432,13825362058
2023,"asm",8738817,75719735,16597518,126579592,25336335,202299327
2023,"atf",7372549,2656405,6832378,20746555,14204927,23402960
2023,"atg",24611698,191128813,194443310,704521394,219055008,895650207
2023,"aus",49474479094,17890381199,350345211853,267415290935,399819690947,285305672134
2023,"aut",17889985345,18574367359,189649920883,195326401359,207539906228,213900768718
2023,"aze",999783749,2670663353,31093845627,16057125534,32093629376,18727788887
2023,"bdi",87530103,168325303,253047803,1005317086,340577906,1173642389
2023,"bel",53447154796,45134809019,362107328607,392220382673,415554483403,437355191692
2023,"ben",404449870,1590105977,1500760087,3568236535,1905209957,5158342512
2023,"bes",662753,42505308,204886522,687972496,205549275,730477804
2023,"bfa",571970574,924444513,7745238825,5449297196,8317209399,6373741709
2023,"bgd",1146511505,9977790849,56548501631,59477901692,57695013136,69455692541
2023,"bgr",8405145425,6590981536,42381663325,46039612347,50786808750,52630593883
2023,"bhr",922551579,2232807615,20574823517,16051944817,21497375096,18284752432
2023,"bhs",133378320,885139275,2659737981,6886881422,2793116301,7772020697
2023,"bih",582072794,2557465378,9169626709,13240814869,9751699503,15798280247
2023,"blm",3301130,51718915,26376103,193823548,29677233,245542463
2023,"blr",2020338743,1541132033,5862930489,16510454059,7883269232,18051586092
2023,"blz",304652474,287198895,80111986,1429302178,384764460,1716501073
