"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
1997,"abw",24201969,294533562,986496828,574134735,1010698797,868668297
1997,"afg",41151975,76103759,78860391,310594187,120012366,386697946
1997,"ago",48344124,500375313,4648650469,1686227806,4696994593,2186603119
1997,"aia",897629,10130648,5681583,31139476,6579212,41270124
1997,"alb",53076043,223378746,255738300,550602016,308814343,773980762
1997,"and",5267669,326845917,54547226,781081306,59814895,1107927223
1997,"ant",134123822,245000845,1223050199,2699411753,1357174021,2944412598
1997,"are",634304531,2459772878,25884489923,23559390332,26518794454,26019163210
1997,"arg",14511578466,1865096256,14307294049,28622285927,28818872515,30487382183
1997,"arm",27123632,265728321,231546222,608533239,258669854,874261560
1997,"atf",56531,834088,23943725,1726290,24000256,2560378
1997,"atg",5669609,45915923,80764719,231259346,86434328,277175269
1997,"aus",13899657509,3309435534,52658975690,58252440081,66558633199,61561875615
1997,"aut",2722912153,4576743561,52394053954,60858732456,55116966107,65435476017
1997,"aze",103005616,309143872,845630776,1039795180,948636392,1348939052
1997,"bdi",95006055,29231918,8241087,118820341,103247142,148052259
1997,"ben",46331498,205847626,269614194,865867178,315945692,1071714804
1997,"bfa",47055163,133151473,199692499,682650980,246747662,815802453
1997,"bgd",423580773,1167136255,5252472324,6257211461,5676053097,7424347716
1997,"bgr",749162874,483304129,4765000802,5233078522,5514163676,5716382651
1997,"bhr",16125318,203059964,1966393883,1648213325,1982519201,1851273289
1997,"bhs",127265772,291406046,546443126,2420977967,673708898,2712384013
1997,"bih",51798511,685177961,650550252,1829004782,702348763,2514182743
1997,"blr",60873439,508153255,1982306041,4635747814,2043179480,5143901069
1997,"blx",16694117982,18480795518,135930005908,144825195806,152624123890,163305991324
1997,"blz",258834765,79581397,57120918,387019920,315955683,466601317
1997,"bmu",6504500,236662540,258677186,1318525717,265181686,1555188257
1997,"bol",426860520,252677976,1039667776,2576784261,1466528296,2829462237
1997,"bra",18410497197,6152951724,39684619372,61634525165,58095116569,67787476889
1997,"brb",99043354,193898739,194143463,1121695025,293186817,1315593764
1997,"brn",4290184,333993274,2794700512,2845554862,2798990696,3179548136
1997,"btn",6245248,5421511,16438116,36740904,22683364,42162415
1997,"caf",30625810,28266365,161227847,100316012,191853657,128582377
1997,"can",19754585165,11300792518,193699815391,179613806676,213454400556,190914599194
1997,"cck",4021284,2958638,3761454,10816272,7782738,13774910
1997,"che",2694178089,5443106844,87287161245,78275376704,89981339334,83718483548
1997,"chl",5031093280,1362773154,13089612671,17707410686,18120705951,19070183840
1997,"chn",16715107653,8570340520,261864144782,131670846533,278579252435,140241187053
1997,"civ",2821289086,616522453,2330933001,2433587577,5152222087,3050110030
1997,"cmr",519958915,256252491,2201094302,1523650538,2721053217,1779903029
1997,"cod",82858118,211183585,1201053411,613488588,1283911529,824672173
1997,"cog",28867393,127156590,2444235064,598440399,2473102457,725596989
1997,"cok",1648847,9306797,6503467,34018372,8152314,43325169
1997,"col",4590131959,1921061396,7955988646,13912425831,12546120605,15833487227
