"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2020,"abw",28213348,288634690,136276008,686581909,164489356,975216599
2020,"afg",1023121978,3314819533,790412322,5306733989,1813534300,8621553522
2020,"ago",109519349,2308797129,25985418269,7519822183,26094937618,9828619312
2020,"aia",845461,85254660,32974852,57960478,33820313,143215138
2020,"alb",335696915,926224462,2214900402,4423181042,2550597317,5349405504
2020,"and",2577268,304374826,189747970,1194280923,192325238,1498655749
2020,"are",13888899327,17031850999,199007504860,210726989004,212896404187,227758840003
2020,"arg",40538083014,3812910761,17664701420,39090254311,58202784434,42903165072
2020,"arm",720765917,859177147,2533380567,3786415985,3254146484,4645593132
2020,"asm",13432262,60585688,7086146,73790474,20518408,134376162
2020,"atf",20217631,4106067,4965864,21952734,25183495,26058801
2020,"atg",9521752,138924947,213460905,569337142,222982657,708262089
2020,"aus",32089803926,16201353416,233272248858,194677464416,265362052784,210878817832
2020,"aut",14780781203,14822069753,143438093126,148627742350,158218874329,163449812103
2020,"aze",777072783,1916699413,12924557009,9443154905,13701629792,11359854318
2020,"bdi",81814987,161054880,131581878,836908786,213396865,997963666
2020,"bel",41595978642,36080429460,288331436701,276831932110,329927415343,312912361570
2020,"ben",456869330,1290234224,1182866271,2400840291,1639735601,3691074515
2020,"bes",1239446,37959764,31636145,254869596,32875591,292829360
2020,"bfa",345834499,750305888,7977374431,3822657317,8323208930,4572963205
2020,"bgd",1046345017,8523316677,40441297467,40630659609,41487642484,49153976286
2020,"bgr",5389403856,4477229603,28113931132,30364695790,33503334988,34841925393
2020,"bhr",563411252,1863687277,12357921405,15116781426,12921332657,16980468703
2020,"bhs",70063612,490287813,1357911696,4471813136,1427975308,4962100949
2020,"bih",523518526,1800588364,6203987456,8397117237,6727505982,10197705601
2020,"blm",436943,1114473,47114062,32963744,47551005,34078217
2020,"blr",5713197718,4382891294,22405182174,28729362737,28118379892,33112254031
2020,"blz",256390150,236971677,207402209,721040869,463792359,958012546
2020,"bmu",16171206,209093931,246633771,2300505719,262804977,2509599650
2020,"bol",1706777638,792024241,5438794821,6369470431,7145572459,7161494672
2020,"bra",88110595812,11226462236,137520962400,155082494971,225631558212,166308957207
2020,"brb",105746533,369739519,232799442,1386139459,338545975,1755878978
2020,"brn",22675273,591729666,7445035618,5441796066,7467710891,6033525732
2020,"btn",35461759,174322893,241258437,777374551,276720196,951697444
2020,"bwa",117573981,885749650,4382338092,5814907283,4499912073,6700656933
2020,"caf",1973125,124125568,168359514,587493909,170332639,711619477
2020,"can",57956453809,38972697520,310835387319,355183817900,368791841128,394156515420
2020,"cck",82858,253835,4904697,4590243,4987555,4844078
2020,"che",11074626803,14018687700,282520643620,284472496059,293595270423,298491183759
2020,"chl",20562679287,7639782371,55169585997,50241116632,75732265284,57880899003
2020,"chn",62489903707,163085549712,2603374945258,1538265371705,2665864848965,1701350921417
2020,"civ",8138064821,2405812872,6328062480,9162287583,14466127301,11568100455
2020,"cmr",1094225143,1385498876,3909517588,6399780097,5003742731,7785278973
2020,"cod",144243107,1357154036,19188230953,7243155699,19332474060,8600309735
2020,"cog",89382594,741617589,7743869017,2215549825,7833251611,2957167414
2020,"cok",20755693,26574908,7628697,69482169,28384390,96057077
2020,"col",8551224931,6937523505,25586921489,36590204301,34138146420,43527727806
2020,"com",34578359,122167342,31866589,213645407,66444948,335812749
2020,"cpv",83471968,264261340,21202224,903598904,104674192,1167860244
2020,"cri",5969037572,2071855630,9508382164,12500368650,15477419736,14572224280
2020,"cub",698929002,1845964280,1429634826,5470737231,2128563828,7316701511
2020,"cuw",41806672,320579555,187112545,940125034,228919217,1260704589
2020,"cxr",27977,1740438,15592917,17212676,15620894,18953114
2020,"cym",737234,255266303,1982004254,3950385185,1982741488,4205651488
2020,"cyp",903807549,1520892005,3466549257,8825691514,4370356806,10346583519
2020,"cze",8934213229,10901076926,164845903366,157143747586,173780116595,168044824512
2020,"deu",86762894757,102474973458,1211111344204,999649125364,1297874238961,1102124098822
2020,"dji",106250326,1155760010,101022948,4275337581,207273274,5431097591
2020,"dma",8025980,60938236,41728790,202420119,49754770,263358355
2020,"dnk",22446879442,14634694000,78775824217,82312021495,101222703659,96946715495
2020,"dom",2504585952,3507274740,8674125906,15524126684,11178711858,19031401424
2020,"dza",487515250,8247046994,21495698711,23733581055,21983213961,31980628049
2020,"ecu",12979518654,2548196594,9785221965,15798553775,22764740619,18346750369
2020,"egy",6568530118,18726887583,29886460904,61096143831,36454991022,79823031414
2020,"eri",782629,76718352,646373701,237427278,647156330,314145630
2020,"esp",62076814629,40522934988,239814404758,276686902756,301891219387,317209837744
2020,"est",1872451508,2117047497,14356523238,15725420916,16228974746,17842468413
2020,"eth",2397029425,2035306038,1253286190,12377693441,3650315615,14412999479
2020,"fin",2150178287,6070903655,67847919063,58768640149,69998097350,64839543804
2020,"fji",558074099,402581371,391075501,1510582519,949149600,1913163890
2020,"flk",276342718,10730005,141180384,99348298,417523102,110078303
2020,"fra",73096987131,63851963154,416672926719,511489882473,489769913850,575341845627
2020,"fsm",148068544,43944553,3055065,89033029,151123609,132977582
2020,"gab",60288479,604988658,7389092623,3308440932,7449381102,3913429590
2020,"gbr",32048738339,66890166788,331797940585,544451879271,363846678924,611342046059
2020,"geo",988700567,1326185421,3201330244,7275556292,4190030811,8601741713
2020,"gha",3400945312,2871852031,10626300428,13750765456,14027245740,16622617487
2020,"gib",22828336,123533534,187592669,7093876297,210421005,7217409831
2020,"gin",152819958,1036381522,11979261990,3741558551,12132081948,4777940073
2020,"gmb",91981497,490438950,276096414,1078811104,368077911,1569250054
2020,"gnb",177323696,143544201,3908577,185080046,181232273,328624247
2020,"gnq",3248753,254035207,3043326787,1026669701,3046575540,1280704908
2020,"grc",7861379499,7594566534,27411568461,49192142410,35272947960,56786708944
2020,"grd",25241931,105986426,8938464,320696682,34180395,426683108
2020,"grl",1296599901,169028028,39623850,608695621,1336223751,777723649
2020,"gtm",6912904245,3275552797,5404277827,15209705014,12317182072,18485257811
2020,"gum",1023713,78726289,32896588,527929581,33920301,606655870
2020,"guy",629838170,375779863,3541414076,2208677785,4171252246,2584457648
2020,"hkg",6223374658,24530878024,117079410192,553093007279,123302784850,577623885303
2020,"hnd",3379755426,1816794424,5119218465,7945470663,8498973891,9762265087
2020,"hrv",2525735462,3745415528,13924576747,23280048689,16450312209,27025464217
2020,"hti",62576915,1226412231,969549917,2523984179,1032126832,3750396410
2020,"hun",11143077578,6918788701,103883815937,103279268032,115026893515,110198056733
2020,"idn",43822499838,17719672202,148607031229,128289063724,192429531067,146008735926
2020,"ind",38206529871,21268634186,258362876903,359567405015,296569406774,380836039201
2020,"iot",6154598,10208732,7174921,22223371,13329519,32432103
2020,"irl",18347433419,11299557426,183711680009,85302798326,202059113428,96602355752
2020,"irn",5838812757,12838933284,26619206644,28426852278,32458019401,41265785562
2020,"irq",127724429,10662260973,64765163924,41234896842,64892888353,51897157815
2020,"isl",2221250693,768818881,2987100753,5047730216,5208351446,5816549097
2020,"isr",3472408451,7999957075,49453971608,61185020427,52926380059,69184977502
2020,"ita",53476784806,48819790234,434023524600,377400711479,487500309406,426220501713
2020,"jam",433124742,1099377411,809653708,4038829256,1242778450,5138206667
2020,"jor",1282179833,4483123451,9040412855,13628487383,10322592688,18111610834
2020,"jpn",8021083183,67241422349,686880764657,554738426684,694901847840,621979849033
2020,"kaz",3340300214,4275260400,42653119187,32918681096,45993419401,37193941496
2020,"ken",3934356281,2815650406,3113258382,14089176386,7047614663,16904826792
2020,"kgz",266869185,924584127,2657797683,4252826972,2924666868,5177411099
2020,"khm",1859971203,2628271848,26930271291,21372796398,28790242494,24001068246
2020,"kir",108265812,52672839,2736627,121806034,111002439,174478873
2020,"kna",8170176,46902020,51249386,234507684,59419562,281409704
2020,"kor",9553569159,33177427381,556500664151,430841710391,566054233310,464019137772
2020,"kwt",429966880,5628874953,45603881269,24162577259,46033848149,29791452212
2020,"lao",1219212270,1001763066,5956216508,5453472440,7175428778,6455235506
