"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2024,"abw",36010803,351074418,120206383,943522047,156217186,1294596465
2024,"afg",1182928894,2370296829,432510911,3353234936,1615439805,5723531765
2024,"ago",161626283,2517259600,41742957591,12245349648,41904583874,14762609248
2024,"aia",822316,114647079,21682848,99136617,22505164,213783696
2024,"alb",535593661,1622658770,3258113111,7593451279,3793706772,9216110049
2024,"and",1642044,411037430,108709230,1459241890,110351274,1870279320
2024,"are",5403675533,23692000543,305543224437,286022821766,310946899970,309714822309
2024,"arg",44217798312,5738788178,32033165679,54759856580,76250963991,60498644758
2024,"arm",1310221885,1534479906,12094034616,16031044325,13404256501,17565524231
2024,"asm",17100265,66585922,16766566,188994171,33866831,255580093
2024,"atf",8550527,3808953,4513905,23613606,13064432,27422559
2024,"atg",14774441,190921630,286846191,733102811,301620632,924024441
2024,"aus",45451826031,19463706107,317820630397,269475015703,363272456428,288938721810
2024,"aut",17701769198,19930864609,176041838383,180828851189,193743607581,200759715798
2024,"aze",1129730613,2888907046,25277632614,20256587607,26407363227,23145494653
2024,"bdi",39761346,100196918,28407647,383861925,68168993,484058843
2024,"bel",54208108799,47537992447,333238824378,341173414235,387446933177,388711406682
2024,"ben",666869951,1512336573,756808121,2871260717,1423678072,4383597290
2024,"bes",611955,42754681,30849815,683978641,31461770,726733322
2024,"bfa",579545727,1014605190,8890871155,5535085664,9470416882,6549690854
2024,"bgd",1162064688,9333017492,57643063629,54230395730,58805128317,63563413222
2024,"bgr",7539632778,7168435446,43400676456,45133406160,50940309234,52301841606
2024,"bhr",972494403,2358307148,17278399064,14640568287,18250893467,16998875435
2024,"bhs",70273347,921817739,2309920632,8023511739,2380193979,8945329478
2024,"bih",632180723,2812233232,8720271258,13572406350,9352451981,16384639582
2024,"blm",2494353,52704654,10527152,183993211,13021505,236697865
2024,"blr",1886801247,1640595305,4535482735,14860869429,6422283982,16501464734
2024,"blz",344666464,298056045,78975755,1320235367,423642219,1618291412
2024,"bmu",4576947,263864505,244214100,2908110489,248791047,3171974994
2024,"bol",2241644377,738771324,7845531951,8792326384,10087176328,9531097708
2024,"bra",144208373531,16166493586,213960118146,261408599154,358168491677,277575092740
2024,"brb",151051754,499884317,293309334,2020297344,444361088,2520181661
2024,"brn",11977831,608175536,11382528626,7232198813,11394506457,7840374349
2024,"btn",30511099,212351735,430574657,1225563157,461085756,1437914892
2024,"bwa",99270550,972202533,4074898058,5490013587,4174168608,6462216120
2024,"caf",1691759,198295064,243744724,673717180,245436483,872012244
2024,"can",74079078995,50489488175,472943644972,468169714554,547022723967,518659202729
2024,"cck",135583,1297183,3861977,12067478,3997560,13364661
2024,"che",13184780217,17570142993,386088912780,361352864407,399273692997,378923007400
2024,"chl",25835320576,10277965965,75912167632,72590927740,101747488208,82868893705
2024,"chn",85702810055,192596607799,3505095657886,1968113265376,3590798467941,2160709873175
2024,"civ",11548761600,3960725111,13895439840,14264317190,25444201440,18225042301
2024,"cmr",2246293295,1872150497,4671752956,6382810715,6918046251,8254961212
2024,"cod",426191449,2476327645,29173329004,9046202915,29599520453,11522530560
2024,"cog",138857077,1026695397,8405366219,3843444537,8544223296,4870139934
2024,"cok",18402538,47644302,15899656,216671405,34302194,264315707
2024,"col",12376338003,9191618393,41197873471,53622028016,53574211474,62813646409
2024,"com",24158337,141535870,25768626,211127921,49926963,352663791
2024,"cpv",55294889,315002813,24283559,709087505,79578448,1024090318
2024,"cri",7775158180,3202792465,19407557522,20502097435,27182715702,23704889900
2024,"cub",590636993,1680649476,401345872,2055647440,991982865,3736296916
2024,"cuw",29959656,316959307,310873104,1308639021,340832760,1625598328
2024,"cxr",599975,2630647,11486109,42595942,12086084,45226589
2024,"cym",3441848,333568601,2340573352,6475494350,2344015200,6809062951
2024,"cyp",1060757246,2449510387,4402484205,11705626067,5463241451,14155136454
2024,"cze",13078610342,15988058327,210915988648,208262966407,223994598990,224251024734
2024,"deu",105185935984,126010458704,1400841428091,1195432027742,1506027364075,1321442486446
2024,"dji",129907661,1474277362,64305964,5430920851,194213625,6905198213
2024,"dma",7647530,70562393,26940154,220573551,34587684,291135944
2024,"dnk",25636161816,18027177965,88844600639,105231382014,114480762455,123258559979
2024,"dom",3611973838,5843367850,10900148151,27110232318,14512121989,32953600168
2024,"dza",408497506,10654422299,47750223834,32990046935,48158721340,43644469234
2024,"ecu",18469363421,3638491436,19321372188,25750936889,37790735609,29389428325
2024,"egy",10978934138,19382807618,43655835701,79004339345,54634769839,98387146963
2024,"eri",4567861,96172281,569354362,249510690,573922223,345682971
2024,"esp",79214576279,57963862587,315513962476,382405509663,394728538755,440369372250
2024,"est",3073753412,3302129761,16582896035,18269399815,19656649447,21571529576
2024,"eth",2473447135,298749640,737731221,6926282456,3211178356,7225032096
2024,"fin",2602353133,7219125653,76638314925,69279432923,79240668058,76498558576
2024,"fji",679803879,581767761,496372164,2671891756,1176176043,3253659517
2024,"flk",367918105,13899080,11064098,225014869,378982203,238913949
2024,"fra",87011910972,82493658174,541507976288,663585540432,628519887260,746079198606
2024,"fsm",322852016,48184687,6966274,110786142,329818290,158970829
2024,"gab",120803694,620008637,7932245757,2096286721,8053049451,2716295358
2024,"gbr",33875583784,83754838826,369734044784,639649652765,403609628568,723404491591
2024,"geo",1704706687,2307658700,4841042653,15684757901,6545749340,17992416601
2024,"gha",3842335557,3190074355,12187734111,17200877786,16030069668,20390952141
2024,"gib",265282,137007650,158076231,9748272931,158341513,9885280581
2024,"gin",701346429,1639540713,8943583225,6120852119,9644929654,7760392832
2024,"gmb",130342511,661733528,75750112,1213102797,206092623,1874836325
2024,"gnb",213355424,201042948,3188682,328978652,216544106,530021600
2024,"gnq",2373142,263562924,4469815930,751932463,4472189072,1015495387
2024,"grc",11828625366,11969477765,39535811204,79180626807,51364436570,91150104572
2024,"grd",20778467,167243263,22595043,577593395,43373510,744836658
2024,"grl",1490915421,202518056,89230395,789047208,1580145816,991565264
2024,"gtm",8196646354,5744222361,7232346939,27094307903,15428993293,32838530264
2024,"gum",1313586,98726802,24260696,752325478,25574282,851052280
2024,"guy",404263803,597899659,22566558088,6788936400,22970821891,7386836059
2024,"hkg",6539291771,22975305059,137486509367,659100484295,144025801138,682075789354
2024,"hnd",4190607186,2996378076,7414506955,13983994471,11605114141,16980372547
2024,"hrv",3560018521,6737148793,19066359501,39101703519,22626378022,45838852312
2024,"hti",34088915,1404057262,781205468,2006715519,815294383,3410772781
2024,"hun",14235195760,10779243004,137592653352,135479435975,151827849112,146258678979
2024,"idn",58884688946,27303234961,243749113189,204195377555,302633802135,231498612516
2024,"ind",51589525662,36836449593,407649770627,651883729102,459239296289,688720178695
2024,"iot",11537756,8263376,10684352,77301021,22222108,85564397
2024,"irl",20756077902,13899986302,239048688468,124967951453,259804766370,138867937755
2024,"irn",2733317552,7050027713,10558007328,15558223949,13291324880,22608251662
2024,"irq",248549161,13149994749,108920960142,38637481868,109169509303,51787476617
2024,"isl",3124485292,1223119128,4380194262,8758632360,7504679554,9981751488
2024,"isr",2871391152,10335974794,65823053419,75305061852,68694444571,85641036646
2024,"ita",72305181206,68140767101,560258887159,521298117338,632564068365,589438884439
2024,"jam",521897359,1400716751,712396263,4935612468,1234293622,6336329219
2024,"jor",1119495265,4266653765,9346076598,16822385896,10465571863,21089039661
2024,"jpn",9029052683,71820308801,749787629048,649057890253,758816681731,720878199054
2024,"kaz",5157400365,6917291966,85029008990,55813301459,90186409355,62730593425
2024,"ken",4857179842,3464254267,3949267996,18764384255,8806447838,22228638522
2024,"kgz",411382807,1420612975,9180470548,13411487069,9591853355,14832100044
2024,"khm",4268737294,3243620103,35837651971,33769860034,40106389265,37013480137
2024,"kir",100187265,55252768,9201642,131636750,109388907,186889518
2024,"kna",7716691,63679176,38080923,276410623,45797614,340089799
2024,"kor",12322546729,40518652758,751658344937,583091257519,763980891666,623609910277
2024,"kwt",496819442,6508413575,67255724637,31515224284,67752544079,38023637859
2024,"lao",1186895346,1241764626,9509617182,7500917005,10696512528,8742681631
2024,"lbn",791869683,3556061971,3413115490,14620688164,4204985173,18176750135
2024,"lbr",308780397,491224530,2262663771,22460106212,2571444168,22951330742
2024,"lby",52205795,4327604375,30540043902,16590495935,30592249697,20918100310
2024,"lca",21200629,156127417,69369349,1312819365,90569978,1468946782
2024,"lka",3524753634,2821767635,10768295287,16359009384,14293048921,19180777019
2024,"lso",66010187,429567350,999420372,1446557836,1065430559,1876125186
2024,"ltu",8238895296,5875934375,28957873069,36084982380,37196768365,41960916755
2024,"lux",1591219513,3584222480,15240345665,22059390697,16831565178,25643613177
2024,"lva",4472995485,4502293531,13896296765,17743647283,18369292250,22245940814
2024,"mac",84610641,3282238844,1778108566,10157879846,1862719207,13440118690
2024,"mar",10792307485,10854878630,49062582472,84246371536,59854889957,95101250166
2024,"mda",1791104718,1478006390,2512221403,7879544339,4303326121,9357550729
2024,"mdg",1087510935,925746617,2407625066,4076225981,3495136001,5001972598
2024,"mdv",139801931,775899423,130397379,3478241921,270199310,4254141344
2024,"mex",58107523061,36253695918,586990870290,514966594307,645098393351,551220290225
2024,"mhl",98712862,57390108,970109192,12716330030,1068822054,12773720138
2024,"mkd",980465716,1429056226,8515609085,10865697948,9496074801,12294754174
2024,"mli",134105834,978598711,1130076697,5160450878,1264182531,6139049589
2024,"mlt",456969311,1238393567,7032075777,14468945817,7489045088,15707339384
2024,"mmr",5847220549,2584218014,15142756891,17258354736,20989977440,19842572750
2024,"mne",121738623,1073328894,1060021759,3881970159,1181760382,4955299053
2024,"mng",263749100,799984363,14533662662,7576594724,14797411762,8376579087
2024,"mnp",213044,23556243,2697998,111810877,2911042,135367120
2024,"moz",1574957069,2433951948,12376447090,13122002401,13951404159,15555954349
2024,"mrt",1283325247,1473065499,3096100040,3868396014,4379425287,5341461513
2024,"msr",374091,8898111,11438668,42534531,11812759,51432642
2024,"mus",923143360,1462481033,1543316257,5507205074,2466459617,6969686107
2024,"mwi",813137466,372094055,99075964,2896822025,912213430,3268916080
2024,"mys",34566738837,25472053693,375129538881,274618824790,409696277718,300090878483
2024,"nam",1409624369,1202602572,6490147432,7960236619,7899771801,9162839191
2024,"ncl",10953028,363776367,1363641537,1345716609,1374594565,1709492976
2024,"ner",776268123,643574389,796658152,1067383102,1572926275,1710957491
2024,"nfk",1159540,6882098,1905907,30067270,3065447,36949368
2024,"nga",4355693943,6838111624,59605114648,41237207888,63960808591,48075319512
2024,"nic",3422397896,1930091072,5345678050,9795351748,8768075946,11725442820
2024,"niu",239008,4195130,6792032,32181672,7031040,36376802
2024,"nld",114463580666,88788866476,436850289116,549893539842,551313869782,638682406318
2024,"nor",18687336306,11471073471,152770606538,89352031529,171457942844,100823105000
2024,"npl",451686819,1425362688,787793326,8868676027,1239480145,10294038715
2024,"nru",163387173,15835779,38939526,44724085,202326699,60559864
2024,"nzl",29950338654,6015742591,15379036067,40844247068,45329374721,46859989659
2024,"omn",1140623532,3092812311,68512140570,21522425044,69652764102,24615237355
2024,"pak",8469720614,8210325466,28396253067,52565807448,36865973681,60776132914
2024,"pan",1103332062,2589157388,2722138955,35278881172,3825471017,37868038560
2024,"pcn",33043,704683,1057874,3487893,1090917,4192576
2024,"per",17324281978,6700999782,59514911628,48048472961,76839193606,54749472743
2024,"phl",8294928515,21553457479,91076579164,116996673330,99371507679,138550130809
2024,"plw",619991,20379404,19052440,152085422,19672431,172464826
2024,"png",1943775514,948794315,11936894224,4526769028,13880669738,5475563343
