"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2002,"abw",28209976,128855973,1027606032,723041266,1055816008,851897239
2002,"afg",32835849,164853034,34691565,573944000,67527414,738797034
2002,"ago",52056322,794967703,7879601134,2116225764,7931657456,2911193467
2002,"aia",1123904,17285331,6058562,47332761,7182466,64618092
2002,"alb",43536775,322132580,391211743,1299564440,434748518,1621697020
2002,"and",3490458,235999773,73301790,995092053,76792248,1231091826
2002,"ant",48212946,231120830,1158456394,3512796186,1206669340,3743917016
2002,"are",1638889551,3559959305,31925369727,38663939182,33564259278,42223898487
2002,"arg",13517155385,474868652,14712958196,8634457473,28230113581,9109326125
2002,"arm",58355727,203585438,487290395,879590966,545646122,1083176404
2002,"asm",8231683,70546971,27854609,105398415,36086292,175945386
2002,"atf",1135850,1859823,1439075,7177813,2574925,9037636
2002,"atg",13517953,47745668,238997465,381956788,252515418,429702456
2002,"aus",15548988293,3777442800,55321100627,69383704673,70870088920,73161147473
2002,"aut",4041170901,5063507834,65967329801,69259988653,70008500702,74323496487
2002,"aze",76031874,305545651,2059176559,1828522720,2135208433,2134068371
2002,"bdi",24161255,26021082,20333574,145360884,44494829,171381966
2002,"bel",17075734160,18195323312,151832822229,186640817763,168908556389,204836141075
2002,"ben",77446090,327042383,228825454,1003255818,306271544,1330298201
2002,"bfa",98952278,156532020,216133751,578956227,315086029,735488247
2002,"bgd",421472445,1545811967,6906487504,7199635213,7327959949,8745447180
2002,"bgr",822362092,529082391,5680834262,6590887464,6503196354,7119969855
2002,"bhr",63349876,586766090,3536036849,3261488139,3599386725,3848254229
2002,"bhs",229100663,394394816,905569775,5163908075,1134670438,5558302891
2002,"bih",53043220,791517925,1074712299,2507387210,1127755519,3298905135
2002,"blr",593126316,1017018450,7117087652,7611292699,7710213968,8628311149
2002,"blz",142326046,74028805,53390758,450707488,195716804,524736293
2002,"bmu",5679516,82622300,117192799,4094354572,122872315,4176976872
2002,"bol",453207431,248707676,1043581481,1657097218,1496788912,1905804894
2002,"bra",20089072298,3498235981,46873590292,48701397294,66962662590,52199633275
2002,"brb",81627850,201956763,341882503,928967816,423510353,1130924579
2002,"brn",2961431,223241480,3769240886,1766698083,3772202317,1989939563
2002,"btn",2793082,5439335,28223803,39939374,31016885,45378709
2002,"bwa",86093140,532116603,4160227121,2797561691,4246320261,3329678294
2002,"caf",5851029,22175142,200859653,79867230,206710682,102042372
2002,"can",21403202374,13803506521,223718717688,205257555074,245121920062,219061061595
2002,"cck",123131,4640470,7606248,7134016,7729379,11774486
2002,"che",2861086625,5811321167,96117507713,89744112156,98978594338,95555433323
2002,"chl",6114366189,1321323988,12894552805,14823842456,19008918994,16145166444
2002,"chn",20155226830,11350022944,466403266381,260831078023,486558493211,272181100967
2002,"civ",3187065673,645182564,2359086847,2745862403,5546152520,3391044967
2002,"cmr",432107062,347527106,1740817668,1782158462,2172924730,2129685568
2002,"cod",19650855,223226752,1437438611,527453950,1457089466,750680702
2002,"cog",43469579,190182850,2168140961,746478358,2211610540,936661208
2002,"cok",2539824,11193479,6189546,27663536,8729370,38857015
2002,"col",3280207195,1647579469,9979391340,10999928932,13259598535,12647508401
2002,"com",27445311,29528525,5320181,62480996,32765492,92009521
2002,"cpv",1452565,90870714,21618655,270259794,23071220,361130508
2002,"cri",2680768247,610256728,5129728010,7003036174,7810496257,7613292902
2002,"cub",899548957,896670212,1006593883,3315608160,1906142840,4212278372
2002,"cxr",17053922,3173124,18701290,28174577,35755212,31347701
2002,"cym",3306635,142054002,230979722,862393661,234286357,1004447663
2002,"cyp",330996567,622121468,965162934,5598375054,1296159501,6220496522
2002,"cze",1566052585,2275418745,40361228413,46138224863,41927280998,48413643608
2002,"deu",30293552635,42879463691,574154992208,435415306797,604448544843,478294770488
2002,"dji",15154601,188442737,14591080,302912333,29745681,491355070
2002,"dma",19930183,33219378,49482593,161349469,69412776,194568847
2002,"dnk",11999506317,6223344647,39944755042,43744265109,51944261359,49967609756
2002,"dom",827292464,1209630776,4906274655,8494625834,5733567119,9704256610
2002,"dza",56710113,3167231586,20713468426,10713654019,20770178539,13880885605
2002,"ecu",3283422024,610814954,2880830794,6266028841,6164252818,6876843795
2002,"egy",954585422,4087175262,6797544881,13344634422,7752130303,17431809684
2002,"eri",2368554,61691256,8539707,142945125,10908261,204636381
2002,"esp",19814918015,17461989397,107319440930,153286152296,127134358945,170748141693
2002,"est",491635150,658724442,4424857459,5256636604,4916492609,5915361046
2002,"eth",369827306,196959543,174936890,1727571551,544764196,1924531094
2002,"fin",971466728,2173730789,45708017397,31982336496,46679484125,34156067285
2002,"fji",285508404,153006822,385983026,738880024,671491430,891886846
2002,"flk",76745788,6697579,10554685,35052779,87300473,41750358
2002,"fra",36703540732,28501765065,279461622050,287807377595,316165162782,316309142660
2002,"fsm",60219556,23802629,21504584,76455030,81724140,100257659
2002,"gab",24252661,165510828,3033697323,898675841,3057949984,1064186669
2002,"gbr",16182495514,33140120415,251001453190,334435291892,267183948704,367575412307
2002,"geo",123525786,235997501,569688443,796211040,693214229,1032208541
2002,"gha",893998817,651329973,834093878,2657774704,1728092695,3309104677
2002,"gib",2097871,74202481,104764457,1563562014,106862328,1637764495
2002,"gin",56066060,235576733,1037981260,702719184,1094047320,938295917
2002,"gmb",29543451,135971845,10441852,296851799,39985303,432823644
2002,"gnb",53803472,20364525,33901751,60619459,87705223,80983984
2002,"gnq",3259520,50955187,1899258326,366769996,1902517846,417725183
2002,"grc",2932016159,4369222127,9116649211,29020815322,12048665370,33390037449
2002,"grd",30779553,46730474,28703689,175209394,59483242,221939868
2002,"grl",373986736,64922244,18115289,291261923,392102025,356184167
2002,"gtm",1748102666,856058958,2494434105,6337911503,4242536771,7193970461
2002,"gum",17600862,67231865,21081178,422471528,38682040,489703393
2002,"guy",272034273,116596499,364266159,566099349,636300432,682695848
2002,"hkg",2056989309,9181999872,66083303034,208109600198,68140292343,217291600070
2002,"hnd",999819738,537379282,3166567580,3195884575,4166387318,3733263857
2002,"hrv",586327309,1032982589,4734799192,9980048695,5321126501,11013031284
2002,"hti",27321345,388512673,262700551,725775900,290021896,1114288573
2002,"hun",2803920829,1405139613,34263828310,37243307812,37067749139,38648447425
2002,"idn",8668844845,3694460659,66554441680,31377528855,75223286525,35071989514
2002,"ind",7938895784,3790410163,52829320879,47024982154,60768216663,50815392317
2002,"iot",38188998,12520865,1433309,38712017,39622307,51232882
2002,"irl",7503636917,3910524633,93897850578,50291909566,101401487495,54202434199
2002,"irn",1411621296,2914605859,18827124447,22054253386,20238745743,24968859245
2002,"irq",40754989,1165276158,9697476269,4194481527,9738231258,5359757685
2002,"isl",1571036318,317563102,1058038163,2244341117,2629074481,2561904219
2002,"isr",1335323475,2218378456,28997591918,30895618554,30332915393,33113997010
2002,"ita",18113548253,23651351598,231612251365,220971290053,249725799618,244622641651
2002,"jam",374189194,629517826,1162269671,3220969153,1536458865,3850486979
2002,"jor",389001254,1129716346,2988035289,5256738908,3377036543,6386455254
2002,"jpn",2801840634,45359240403,458155492694,283372808042,460957333328,328732048445
2002,"kaz",538103674,575661544,11751827341,6601372312,12289931015,7177033856
2002,"ken",1123856957,487456299,954509245,3231201028,2078366202,3718657327
2002,"kgz",61888853,83623713,454082466,626552930,515971319,710176643
2002,"khm",29061805,266716751,3207382296,2466332848,3236444101,2733049599
2002,"kir",28316530,11146173,1778101,29334159,30094631,40480332
2002,"kna",12871573,44351633,62431901,187745977,75303474,232097610
2002,"kor",2876995383,9878440730,180440911868,141911701134,183317907251,151790141864
2002,"kwt",69261178,1315145075,15745773477,7478950436,15815034655,8794095511
2002,"lao",27192791,109054577,308267227,517305284,335460018,626359861
2002,"lbn",273889717,1295789308,1256792872,5751166687,1530682589,7046955995
2002,"lbr",3718181,48275591,804274453,3706211386,807992634,3754486977
2002,"lby",10703277,891243162,10071653270,4104993029,10082356547,4996236191
2002,"lca",40738831,77024292,41211188,507001710,81950019,584026002
2002,"lka",1106003295,915597775,4779745471,5667009760,5885748766,6582607535
2002,"lso",26609993,155704019,545169956,557381148,571779949,713085167
2002,"ltu",604796767,720031829,5238820689,7433500032,5843617456,8153531861
2002,"lux",494316048,1247668755,8420849727,11358917144,8915165775,12606585899
2002,"lva",257342203,557117727,2877967273,3461901324,3135309476,4019019051
2002,"mac",35764098,409490699,2573828724,2639377643,2609592822,3048868342
2002,"mar",2253541591,1689033275,7704999474,11177752606,9958541065,12866785881
2002,"mda",446335773,184996500,424069729,1074000766,870405502,1258997266
2002,"mdg",509865655,130928936,383043930,626757845,892909585,757686781
2002,"mdv",79575488,104360270,145098214,371884925,224673702,476245195
2002,"mex",8910140670,10743202312,153289523461,155242372513,162199664131,165985574825
2002,"mhl",80876741,12196612,136983863,1422153435,217860604,1434350047
2002,"mkd",218699312,339248054,978321187,1542459512,1197020499,1881707566
2002,"mli",66876448,179906739,850538753,895220830,917415201,1075127569
2002,"mlt",115061972,351069173,3080468796,4025557632,3195530768,4376626805
