"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
1996,"abw",19633201,254887242,781230895,528410193,800864096,783297435
1996,"afg",20453582,85801885,75672473,362633643,96126055,448435528
1996,"ago",39663410,608903439,4618809955,1235075662,4658473365,1843979101
1996,"aia",2202891,14616411,3883814,21438275,6086705,36054686
1996,"alb",53774094,404544693,336664278,776498728,390438372,1181043421
1996,"and",9298668,322539452,49417688,777038412,58716356,1099577864
1996,"ant",184508736,281525448,1367331238,3069557107,1551839974,3351082555
1996,"are",733079343,2135201156,22313110942,21917368682,23046190285,24052569838
1996,"arg",13188093471,1398353936,12312190432,22799642206,25500283903,24197996142
1996,"arm",14563492,148556670,107130196,249805486,121693688,398362156
1996,"atf",0,893346,982660,1710828,982660,2604174
1996,"atg",4637601,40398935,48027825,248697372,52665426,289096307
1996,"aus",13648094513,3217776264,50520736186,58283559378,64168830699,61501335642
1996,"aut",2580808620,4567804046,52055551464,62576573997,54636360084,67144378043
1996,"aze",50851731,467434594,660245176,861920148,711096907,1329354742
1996,"bdi",66810281,27718287,37808895,152292564,104619176,180010851
1996,"ben",46902296,204908110,227610077,813157084,274512373,1018065194
1996,"bfa",41544023,139557297,277689176,536695823,319233199,676253120
1996,"bgd",418501290,1064583064,4579944990,6172594707,4998446280,7237177771
1996,"bgr",853496263,473248921,4491248124,5084580698,5344744387,5557829619
1996,"bhr",39698752,257532132,1828678917,1426367529,1868377669,1683899661
1996,"bhs",166763040,185912564,502127431,3037663275,668890471,3223575839
1996,"bih",65336870,711027771,355664160,1405413998,421001030,2116441769
1996,"blr",86730074,734631828,1634182696,2171259514,1720912770,2905891342
1996,"blx",16708746994,18751081239,134847087784,140425533754,151555834778,159176614993
1996,"blz",235403197,81024852,56690518,332203689,292093715,413228541
1996,"bmu",12824120,140786906,217524753,790090331,230348873,930877237
1996,"bol",367651291,262464853,1040615924,2006774252,1408267215,2269239105
1996,"bra",16871604058,6383184631,36978712765,51427141856,53850316823,57810326487
1996,"brb",73738457,109899613,151700319,437557984,225438776,547457597
1996,"brn",875573,265136046,2812386629,3772560270,2813262202,4037696316
1996,"btn",5042797,8241800,35541666,22853171,40584463,31094971
1996,"caf",25330481,30718694,159736958,138818350,185067439,169537044
1996,"can",19348202101,10239302891,182760958326,154634951701,202109160427,164874254592
1996,"cck",1719841,1769611,3307141,7338918,5026982,9108529
1996,"che",2715497622,5921671024,88760508159,83356307184,91476005781,89277978208
1996,"chl",5041108849,1347269140,12433052349,16359019648,17474161198,17706288788
1996,"chn",15368721358,9773776074,228355401424,129570832753,243724122782,139344608827
1996,"civ",2935719668,659936855,2413760019,2483361105,5349479687,3143297960
1996,"cmr",608669745,193126995,1787882430,1219656730,2396552175,1412783725
1996,"cod",150069264,256062430,1461217794,862232516,1611287058,1118294946
1996,"cog",12016580,114310214,1584269162,1226989847,1596285742,1341300061
1996,"cok",3277909,9604217,4252330,37205487,7530239,46809704
1996,"col",3778905541,1965105509,7744554207,12161233924,11523459748,14126339433
1996,"com",10969528,45373353,11384130,118710453,22353658,164083806
1996,"cpv",3243782,64782323,13753196,227310551,16996978,292092874
1996,"cri",2573588741,500380009,1674720540,3312554602,4248309281,3812934611
1996,"cub",1359889493,611424412,419647755,2103346439,1779537248,2714770851
1996,"cxr",343330,2934313,18883672,15653716,19227002,18588029
1996,"cym",26408263,52212405,132762322,426024535,159170585,478236940
1996,"cyp",708051256,1065896820,1237016171,3820037529,1945067427,4885934349
1996,"cze",1312619517,2059847499,21275388011,25503659924,22588007528,27563507423
1996,"deu",29087965009,49331123931,468660543676,391311791259,497748508685,440642915190
1996,"dji",2025723,93287071,16072463,163647141,18098186,256934212
1996,"dma",33741901,51254509,65718902,176133748,99460803,227388257
1996,"dnk",12414611001,5696560010,33221710882,35877473311,45636321883,41574033321
1996,"dom",740543510,697818334,3570885124,4281981427,4311428634,4979799761
1996,"dza",130498534,3050445359,13818906476,7051651749,13949405010,10102097108
1996,"ecu",3344618252,454812782,2411710038,3767939984,5756328290,4222752766
1996,"egy",691152702,3487496223,6208464613,13910322087,6899617315,17397818310
1996,"eri",2687854,29602160,25191368,137105179,27879222,166707339
1996,"esp",16378655724,15859548096,84970308263,109820493298,101348963987,125680041394
1996,"est",285819725,564955474,2415100478,3114742896,2700920203,3679698370
1996,"eth",324881964,98614798,136339949,1021909627,461221913,1120524425
