"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2019,"abw",31218087,364873229,114722140,983825277,145940227,1348698506
2019,"afg",1086655494,3760940284,1393299024,9166482066,2479954518,12927422350
2019,"ago",156527866,2860608369,38619747451,12159618983,38776275317,15020227352
2019,"aia",2040896,77009028,47058667,92563500,49099563,169572528
2019,"alb",306260771,862553311,2581116258,3970875610,2887377029,4833428921
2019,"and",4696523,347434009,169580437,1196598616,174276960,1544032625
2019,"are",12945665323,17987373162,241887332506,246253157756,254832997829,264240530918
2019,"arg",42339784636,3338001582,24724467546,46183592361,67064252182,49521593943
2019,"arm",777019012,888023527,2790939570,4550659945,3567958582,5438683472
2019,"asm",15827052,57173362,11955607,118200147,27782659,175373509
2019,"atf",8243023,4370077,1934899,18515634,10177922,22885711
2019,"atg",19277145,158489251,305929473,741910499,325206618,900399750
2019,"aus",34044372699,15909447213,262703668343,204906608436,296748041042,220816055649
2019,"aut",14025764790,14299249790,153841570754,160397742391,167867335544,174696992181
2019,"aze",789395431,1903070001,19276012165,14284845481,20065407596,16187915482
2019,"bdi",84455608,163152255,198478437,815227583,282934045,978379838
2019,"bel",40373694565,35498497915,299976438369,304627832079,340350132934,340126329994
2019,"ben",403053833,1558271858,1723766329,2552105709,2126820162,4110377567
2019,"bes",432171,39590023,134913434,406948328,135345605,446538351
2019,"bfa",371393029,659682691,5754657871,3902864287,6126050900,4562546978
2019,"bgd",1084228086,7659385242,46033305131,49256513800,47117533217,56915899042
2019,"bgr",5483158978,4135463427,29653124079,33662740025,35136283057,37798203452
2019,"bhr",611513646,1879851315,16208708707,18489528001,16820222353,20369379316
2019,"bhs",95365447,612335446,1595195945,8914503409,1690561392,9526838855
2019,"bih",483408658,1840405299,6696192414,9611787818,7179601072,11452193117
2019,"blm",2213707,31970311,33093638,171631422,35307345,203601733
2019,"blr",5447170616,4647443405,26559780694,33323682607,32006951310,37971126012
2019,"blz",255598492,229024281,103508405,937295636,359106897,1166319917
2019,"bmu",12772742,210595591,571426178,1187826721,584198920,1398422312
2019,"bol",1550638200,768053381,7576704962,9023898375,9127343162,9791951756
2019,"bra",82627099985,11379253537,155524721073,182609781991,238151821058,193989035528
2019,"brb",112106990,353518625,378071793,1279860442,490178783,1633379067
2019,"brn",13328271,531697057,6886703308,4897456368,6900031579,5429153425
2019,"btn",55039818,166254675,387546676,876008142,442586494,1042262817
2019,"bwa",96065458,874265544,5487489936,6047863687,5583555394,6922129231
2019,"caf",3932892,120919210,190226166,683229782,194159058,804148992
2019,"can",54157353023,38149761693,386916660309,404652482772,441074013332,442802244465
2019,"cck",146492,236770,4524230,5644865,4670722,5881635
2019,"che",10242730095,13074047388,278380465100,272247648632,288623195195,285321696020
2019,"chl",21338556695,7268394368,50554805460,62119277215,71893362155,69387671583
2019,"chn",64633158135,142919078653,2615902283997,1582218475783,2680535442132,1725137554436
2019,"civ",7938770483,2520229677,6687203444,8946765781,14625973927,11466995458
2019,"cmr",1141130488,1447024821,4610442845,6566639481,5751573333,8013664302
2019,"cod",133645008,1264705297,15356318795,9015005251,15489963803,10279710548
2019,"cog",69647814,725125921,11428555585,2129460795,11498203399,2854586716
