"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
1995,"abw",20009106,199034440,645748920,358863237,665758026,557897677
1995,"afg",17027236,72321805,68220167,225646337,85247403,297968142
1995,"ago",36053416,437791844,3563880910,1220238477,3599934326,1658030321
1995,"aia",123382,81516605,4465163,245197628,4588545,326714233
1995,"alb",30685616,234309891,204058014,602388791,234743630,836698682
1995,"and",4068649,308728576,58420099,756854338,62488748,1065582914
1995,"ant",151472944,252567334,1071921129,2263316982,1223394073,2515884316
1995,"are",580030197,2182533451,18765957842,20324579247,19345988039,22507112698
1995,"arg",12184540444,1217366279,11410228885,19362467363,23594769329,20579833642
1995,"arm",614946,95217047,64380109,55009160,64995055,150226207
1995,"atf",9207,882050,425991,3053570,435198,3935620
1995,"atg",7739945,39305349,43791861,210000269,51531806,249305618
1995,"aus",10851035851,3022501548,45337846638,54760151825,56188882489,57782653373
1995,"aut",2347933019,4177315965,50636055919,61349579543,52983988938,65526895508
1995,"aze",7760517,204603691,115505813,211354642,123266330,415958333
1995,"bdi",161040339,64143842,88626478,244005659,249666817,308149501
1995,"ben",34031278,214487317,176175679,719732375,210206957,934219692
1995,"bfa",51134997,104634726,224920911,452446569,276055908,557081295
1995,"bgd",399306465,988730831,4292080495,4998937512,4691386960,5987668343
1995,"bgr",632895258,637048756,3434657610,3444226498,4067552868,4081275254
1995,"bhr",27960427,270512813,1644541489,1383335249,1672501916,1653848062
1995,"bhs",135740667,163183705,498819004,1408976638,634559671,1572160343
1995,"bih",5989129,352380332,50437428,443113578,56426557,795493910
1995,"blr",75415702,478074517,1487342767,1502549565,1562758469,1980624082
1995,"blx",17006463020,18868361868,135565695686,133216223249,152572158706,152084585117
1995,"blz",204235808,62965884,56289672,322086484,260525480,385052368
1995,"bmu",24318165,241250045,210176839,916427694,234495004,1157677739
1995,"bol",268007453,230474127,1133061635,1806540174,1401069088,2037014301
1995,"bra",15321323277,7216865431,36600228924,49102903258,51921552201,56319768689
1995,"brb",54639972,91448397,95766951,370815637,150406923,462264034
1995,"brn",660506,234361540,2500033008,2741564424,2500693514,2975925964
1995,"btn",9418261,6830565,36003434,20872492,45421695,27703057
1995,"caf",42901188,34921648,178110640,192122410,221011828,227044058
1995,"can",17355729343,9678657018,173152554210,150254430919,190508283553,159933087937
1995,"cck",1718534,813069,6836111,6645052,8554645,7458121
1995,"che",2861339333,5997888722,88508253891,80599239103,91369593224,86597127825
1995,"chl",4563087311,1121810937,12409098500,14584477683,16972185811,15706288620
