"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2015,"abw",73260974,348664474,395569258,2058012934,468830232,2406677408
2015,"afg",707130644,3590269472,313159647,9314022788,1020290291,12904292260
2015,"ago",177829256,3206036887,37490129696,18714118427,37667958952,21920155314
2015,"aia",5700484,12714271,6790182,58257331,12490666,70971602
2015,"alb",180227826,737471338,1905176762,3618824091,2085404588,4356295429
2015,"and",1748736,308251880,122613665,1058987947,124362401,1367239827
2015,"are",8982685323,17009480802,180790319467,188979169288,189773004790,205988650090
2015,"arg",36613102223,1828768572,23402605666,59039745978,60015707889,60868514550
2015,"arm",391462348,667833700,1326401687,2804410502,1717864035,3472244202
2015,"asm",17693968,47765763,13941216,102149386,31635184,149915149
2015,"atf",5236566,6830580,1896832,27979633,7133398,34810213
2015,"atg",41766794,135361413,230139720,551181718,271906514,686543131
2015,"aus",34855674701,13525201125,177789673988,181376605295,212645348689,194901806420
2015,"aut",11341896806,12532429242,132175535369,133813743477,143517432175,146346172719
2015,"aze",779821756,1700891374,15768654590,9462587215,16548476346,11163478589
2015,"bdi",76205226,99337771,212185963,574111694,288391189,673449465
2015,"bel",34689179124,32651896109,255389845754,249486613330,290079024878,282138509439
2015,"ben",305923930,1737948686,992176695,4158586535,1298100625,5896535221
2015,"bes",7424,18787365,10286292,74536392,10293716,93323757
2015,"bfa",314631935,546499022,3363836752,3022890311,3678468687,3569389333
2015,"bgd",1103088154,8658140611,35754074653,40543881722,36857162807,49202022333
2015,"bgr",4462052479,3030140462,22910643257,26502761599,27372695736,29532902061
2015,"bhr",646157400,1940584816,17339621992,15128408326,17985779392,17068993142
2015,"bhs",95000553,601364551,2951899231,8659107853,3046899784,9260472404
2015,"bih",527285428,1666351227,4997174366,7522333062,5524459794,9188684289
2015,"blm",2863713,22525286,16062416,86608091,18926129,109133377
2015,"blr",4163730081,4579037137,21952880832,24767528806,26116610913,29346565943
2015,"blz",391785256,230409609,123832201,1005654588,515617457,1236064197
2015,"bmu",7288381,193374437,358438046,3407535555,365726427,3600909992
2015,"bol",1676679030,726436552,7444058629,9208226650,9120737659,9934663202
2015,"bra",77912666485,9971929416,126315153489,170849687881,204227819974,180821617297
2015,"brb",105542792,363188465,366157285,1355687752,471700077,1718876217
2015,"brn",9260948,541344709,6421668121,3277574499,6430929069,3818919208
2015,"btn",32089952,42551777,235380232,428794939,267470184,471346716
2015,"bwa",131630304,726542297,5422719298,7496117347,5554349602,8222659644
2015,"caf",5632722,91821084,151765936,528616085,157398658,620437169
