"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2018,"abw",29483116,343139800,246121998,1104916160,275605114,1448055960
2018,"afg",885785042,4179713355,450372580,9875972774,1336157622,14055686129
2018,"ago",289013727,3405689965,43702171037,12694412318,43991184764,16100102283
2018,"aia",2638989,20689713,122181320,118841903,124820309,139531616
2018,"alb",274216849,784685733,2566385826,3802823153,2840602675,4587508886
2018,"and",2179824,361608024,161136617,1259441693,163316441,1621049717
2018,"are",12757275138,18118125839,240429858309,237633660941,253187133447,255751786780
2018,"arg",37388072466,4706582821,26973495933,61030130283,64361568399,65736713104
2018,"arm",661086777,817729244,2538321211,4278278363,3199407988,5096007607
2018,"asm",20913963,53596277,50841085,96407025,71755048,150003302
2018,"atf",9507495,3520730,2016703,16772443,11524198,20293173
2018,"atg",21977281,171437292,239705735,692432145,261683016,863869437
2018,"aus",34289948305,15564441464,241422511202,215387095973,275712459507,230951537437
2018,"aut",13750933754,14490986171,157355883611,166014780200,171106817365,180505766371
2018,"aze",725502491,1730842569,21073373603,11569652172,21798876094,13300494741
2018,"bdi",79991204,154234713,192956666,718340573,272947870,872575286
2018,"bel",40688251852,37426902083,315224374646,323569312944,355912626498,360996215027
2018,"ben",505089463,2623655266,1145919628,3097474544,1651009091,5721129810
2018,"bes",130034,36812168,166867518,642139910,166997552,678952078
2018,"bfa",515750766,719941671,5233108749,4059327808,5748859515,4779269479
2018,"bgd",1244872540,10501580484,45154095736,71340021810,46398968276,81841602294
2018,"bgr",5097421290,3853605997,29589462575,33924193412,34686883865,37777799409
2018,"bhr",597691391,1929762276,14832708867,19865639847,15430400258,21795402123
2018,"bhs",104933244,643781935,1705077007,8179593000,1810010251,8823374935
2018,"bih",527754760,1887812192,7339290356,10020648302,7867045116,11908460494
2018,"blm",1303865,27138328,5438356,181287278,6742221,208425606
2018,"blr",5145575659,4480026182,28290058086,33161761248,33435633745,37641787430
2018,"blz",262201682,211750978,139194349,928136802,401396031,1139887780
2018,"bmu",9249672,218934335,248070476,1446034320,257320148,1664968655
2018,"bol",1636611305,780473770,7719255467,9564273089,9355866772,10344746859
2018,"bra",86940307080,11592834816,160922186843,179076162570,247862493923,190668997386
2018,"brb",120680174,381593045,381160424,1383782474,501840598,1765375519
2018,"brn",14321773,530321331,6461149366,4076050305,6475471139,4606371636
2018,"btn",64546599,165062989,395592314,933871807,460138913,1098934796
2018,"bwa",134602015,807998864,6782713088,5853413382,6917315103,6661412246
2018,"caf",2311352,100527313,151666020,451826380,153977372,552353693
2018,"can",53446524047,37424452676,389435893155,409275492741,442882417202,446699945417
2018,"cck",469203,261665,4678170,5315166,5147373,5576831
2018,"che",10789023805,13230256042,292903202422,278012759064,303692226227,291243015106
2018,"chl",21177011133,7463898213,56691994721,65145707529,77869005854,72609605742
2018,"chn",66364033940,128635385533,2676918676974,1624524529222,2743282710914,1753159914755
2018,"civ",8006801443,2632959945,6155590022,9424021758,14162391465,12056981703
2018,"cmr",1045392468,1317410609,4376133889,5988580962,5421526357,7305991571
2018,"cod",116985118,1063209065,18552968399,8298936324,18669953517,9362145389
2018,"cog",57719800,644407990,13413542774,3552072137,13471262574,4196480127
2018,"cok",24021670,38090022,19958623,109242673,43980293,147332695
2018,"col",7985115735,6612876633,38578322453,44213215292,46563438188,50826091925
2018,"com",73264952,122066678,34720810,209150343,107985762,331217021
