"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2017,"abw",54526038,335189105,291305412,1388822160,345831450,1724011265
2017,"afg",895116878,4338703607,388612702,10680406122,1283729580,15019109729
2017,"ago",250601386,3214494340,38351324294,11972761192,38601925680,15187255532
2017,"aia",3760833,9908640,78817868,83601780,82578701,93510420
2017,"alb",234695795,764682311,2270521990,3691496766,2505217785,4456179077
2017,"and",1731460,336557232,162735988,1176032842,164467448,1512590074
2017,"are",9795475047,19208882230,213549685109,250298690676,223345160156,269507572906
2017,"arg",38139360726,3013734819,23730867999,65280797818,61870228725,68294532637
2017,"arm",619929243,748403171,2043871468,3574177067,2663800711,4322580238
2017,"asm",16480870,53036988,23079417,92307162,39560287,145344150
2017,"atf",8581273,2968747,1506672,22343563,10087945,25312310
2017,"atg",23069123,155040803,248007051,651904823,271076174,806945626
2017,"aus",37690732731,14959544062,226339763226,204884455610,264030495957,219843999672
2017,"aut",12663403332,13681075293,143197342947,150989206291,155860746279,164670281584
2017,"aze",676710226,1729716269,15350051100,7475459374,16026761326,9205175643
2017,"bdi",74413656,187189901,117211481,702224619,191625137,889414520
2017,"bel",38645656447,36325920143,285076769959,290066408907,323722426406,326392329050
2017,"ben",447102806,2830940266,1197389897,2588415566,1644492703,5419355832
2017,"bes",71044,31660408,67127276,389903764,67198320,421564172
2017,"bfa",444456604,645834878,4828800492,3639685964,5273257096,4285520842
2017,"bgd",1157156316,12491044596,41232870721,53578299906,42390027037,66069344502
2017,"bgr",4861540621,3640550760,26960610631,31923963536,31822151252,35564514296
2017,"bhr",501990449,1809869910,11540851692,16656808248,12042842141,18466678158
2017,"bhs",110106505,664779559,1312129693,8280205777,1422236198,8944985336
2017,"bih",591032250,1825511717,6440961029,8878498066,7031993279,10704009783
2017,"blm",2872618,23705677,21539244,117256305,24411862,140961982
2017,"blr",4801987453,4691393118,24158727732,29326018114,28960715185,34017411232
2017,"blz",309579949,206663159,122634900,1015203164,432214849,1221866323
2017,"bmu",15733434,219125669,134355831,1778850982,150089265,1997976651
2017,"bol",1432930733,808718139,7060175651,8939055140,8493106384,9747773279
2017,"bra",84242977980,11643996837,147095492981,155790118959,231338470961,167434115796
2017,"brb",122125496,372745000,414040328,1442860806,536165824,1815605806
2017,"brn",14703530,488542118,5489838362,2861803919,5504541892,3350346037
2017,"btn",46982146,169510083,314272448,962025595,361254594,1131535678
2017,"bwa",109675596,692783333,6956724375,5063378671,7066399971,5756162004
2017,"caf",6467715,108550992,273496175,448516686,279963890,557067678
2017,"can",52514496193,36451482711,346302814570,381822075942,398817310763,418273558653
2017,"cck",169886,282198,3318480,7276851,3488366,7559049
2017,"che",11591243361,12768472567,288845380767,266031343456,300436624128,278799816023
2017,"chl",19048540549,6784147954,51327131897,56753168651,70375672446,63537316605
2017,"chn",61360158138,118555877067,2484165045546,1467612848797,2545525203684,1586168725864
2017,"civ",8265371195,2353001355,6410554673,8807011216,14675925868,11160012571
2017,"cmr",1100616400,1260128617,3710331563,5107678376,4810947963,6367806993
2017,"cod",101541124,1141329360,13248467273,5862020275,13350008397,7003349635
2017,"cog",58160960,739947642,10831738660,3971952808,10889899620,4711900450
2017,"cok",31058552,37305264,16482838,107930887,47541390,145236151
2017,"col",7994508204,5918519374,33542793064,40185415270,41537301268,46103934644
2017,"com",61929990,113650870,29716622,278889943,91646612,392540813
2017,"cpv",73514305,267880275,34577557,613874203,108091862,881754478
2017,"cri",6011911647,2058441501,7673188290,14110121364,13685099937,16168562865
2017,"cub",1201764201,2149895146,612750374,8317605669,1814514575,10467500815
2017,"cuw",58123700,346787059,1316112012,1607852199,1374235712,1954639258
2017,"cxr",600537,3882930,20894107,21383229,21494644,25266159
2017,"cym",919079,116280596,2251532210,5385147305,2252451289,5501427901
2017,"cyp",782651648,1580632765,3864374613,9723774225,4647026261,11304406990
2017,"cze",8292787570,9893499136,162381356896,153306856802,170674144466,163200355938
2017,"deu",83763473855,96531526148,1263812046866,997705756500,1347575520721,1094237282648
2017,"dji",83095362,844780341,42924626,3916211908,126019988,4760992249
2017,"dma",14400351,54305278,61750300,230269062,76150651,284574340
2017,"dnk",21953815857,13725628177,70573731725,80063170625,92527547582,93788798802
2017,"dom",2453985103,3132590947,8256691577,16864314617,10710676680,19996905564
2017,"dza",455986499,9427049921,38677804518,39988018310,39133791017,49415068231
2017,"ecu",11334529006,2164319700,9826310660,17937611309,21160839666,20101931009
2017,"egy",5939764973,15612749249,27239732376,61710903462,33179497349,77323652711
2017,"eri",855299,151936493,432886475,248121491,433741774,400057984
2017,"esp",55140971516,41031806667,252459719670,307209904242,307600691186,348241710909
2017,"est",1564354898,2057481318,14304523373,15164633051,15868878271,17222114369
2017,"eth",2137499694,2046262466,1151989203,15296527823,3289488897,17342790289
2017,"fin",1896113927,6015378875,70922755183,61232808530,72818869110,67248187405
2017,"fji",636303414,462841580,452555361,2205131091,1088858775,2667972671
2017,"flk",196492161,10032520,14406373,104223107,210898534,114255627
2017,"fra",71084024943,60454437145,473670041111,550202026269,544754066054,610656463414
2017,"fsm",94901718,38068186,1374560,161640156,96276278,199708342
2017,"gab",16592643,587216040,7373177493,3686684477,7389770136,4273900517
2017,"gbr",32425427421,64179967553,366784010743,567124753139,399209438164,631304720692
2017,"geo",797061843,1254134059,2625803274,7344721671,3422865117,8598855730
2017,"gha",3942318925,2758909636,13409580552,12486905191,17351899477,15245814827
2017,"gib",846530,145968223,362370614,8513382085,363217144,8659350308
2017,"gin",332035689,803983130,5795202691,3117775960,6127238380,3921759090
2017,"gmb",94706906,468326031,124914138,831949949,219621044,1300275980
2017,"gnb",380203898,165822260,4906308,210536512,385110206,376358772
2017,"gnq",2556128,254151212,5153577203,614417945,5156133331,868569157
2017,"grc",6460173282,7775942869,24324378114,47900129217,30784551396,55676072086
2017,"grd",35266133,107709342,15570928,343966873,50837061,451676215
2017,"grl",937566802,159393075,41309103,689382673,978875905,848775748
2017,"gtm",6539220638,2732165111,5949071889,16017636050,12488292527,18749801161
2017,"gum",3177628,86475890,23538491,1085812882,26716119,1172288772
2017,"guy",599713625,304105107,1503212786,1651586419,2102926411,1955691526
2017,"hkg",9102802787,29026960392,103725734781,606384887117,112828537568,635411847509
2017,"hnd",3359510909,1617177288,5919680918,8849775791,9279191827,10466953079
2017,"hrv",2079545089,3349170097,13255661149,22143682981,15335206238,25492853078
2017,"hti",42773304,1312970786,1092809219,2639554875,1135582523,3952525661
2017,"hun",9946807266,6016315801,100961778270,95768211550,110908585536,101784527351
2017,"idn",45068356489,17670040430,159683832968,143482655408,204752189457,161152695838
2017,"ind",36575423804,25688365612,271132756231,421232110148,307708180035,446920475760
2017,"iot",5425057,10587937,12420170,64903357,17845227,75491294
2017,"irl",16899159618,10356872289,150376573279,79994265012,167275732897,90351137301
2017,"irn",6105484957,14575157002,76388631749,50883560816,82494116706,65458717818
2017,"irq",171462895,10738206396,69254481350,38624865059,69425944245,49363071455
2017,"isl",2322451608,719471383,3577757066,6955795316,5900208674,7675266699
2017,"isr",3502707391,7189505293,57316603117,65162688893,60819310508,72352194186
